cha,case_date,report_date,address,legaldong,raised,infected,published_on,source,위도,경도
,20190917,,경기도 파주시 연다산동,4148012100,,2,,mafra_api,37.744188,126.712878
,20190918,,경기도 연천군 백학면 전동리,4180033024,,2,,mafra_api,38.01169,126.890215
,20190923,,경기도 김포시 통진읍 가현리,4157025025,,9,,mafra_api,37.674762,126.585287
,20190924,,인천광역시 강화군 송해면 신당리,2871039022,,2,,mafra_api,37.767103,126.478215
,20190924,,경기도 파주시 적성면 자장리,4148037036,,2,,mafra_api,37.965173,126.875731
,20190925,,인천광역시 강화군 불은면 고능리,2871032022,,4,,mafra_api,37.688115,126.502541
,20190926,,인천광역시 강화군 강화읍 월곳리,2871025028,,1,,mafra_api,37.770305,126.503661
,20190926,,인천광역시 강화군 삼산면 석포리,2871041024,,2,,mafra_api,37.685141,126.365729
,20190927,,인천광역시 강화군 하점면 신삼리,2871037025,,9,,mafra_api,37.755057,126.39839
,20191002,,경기도 파주시 파평면 마산리,4148036023,,6,,mafra_api,37.895006,126.852452
,20191002,,경기도 파주시 적성면 주월리,4148037031,,1,,mafra_api,37.987781,126.900677
,20191003,,경기도 파주시 문산읍 마정리,4148025027,,6,,mafra_api,37.894234,126.751306
,20191003,,경기도 김포시 통진읍 고정리,4157025028,,9,,mafra_api,37.715201,126.59468
,20191009,,경기도 연천군 신서면 답곡리,4180036025,,4,,mafra_api,38.182474,127.066464
,20201009,,강원도 화천군 상서면 다목리,4279033030,,1,,mafra_api,38.181234,127.54531
,20201010,,강원도 화천군 상서면 봉오리,4279033029,,2,,mafra_api,38.191423,127.590498
,20210505,,강원도 영월군 주천면 용석리,4275036026,,6,,mafra_api,37.223566,128.282692
,20210808,,강원도 고성군 간성읍 해상리,4282025028,,7,,mafra_api,38.396237,128.411862
,20210816,,강원도 인제군 인제읍 가리산리,4281025029,,2,,mafra_api,38.06725,128.323353
,20210826,,강원도 홍천군 내촌면 물걸리,4272033021,,2,,mafra_api,37.773842,128.138613
,20211006,,강원도 인제군 남면 어론리,4281031023,,3,,mafra_api,37.921844,128.082035
,20220526,,강원도 홍천군 화촌면 굴운리,4272031028,,15,,mafra_api,37.725345,127.974473
,20220818,,강원도 양구군 국토정중앙면 창리,4280031528,,10,,mafra_api,38.082265,128.033043
,20220919,,강원도 춘천시 동산면 조양리,4211032021,,15,,mafra_api,37.752088,127.796541
,20220919,,강원도 춘천시 동산면 군자리,4211032024,,13,,mafra_api,37.764224,127.73985
,20220928,,경기도 파주시 문산읍 내포리,4148025029,,9,,mafra_api,37.842547,126.761191
,20220928,,경기도 김포시 하성면 시암리,4157036024,,12,,mafra_api,37.767278,126.641814
,20221109,,강원도 철원군 동송읍 양지리,4278025928,,6,,mafra_api,38.263251,127.284057
,20230106,,경기도 포천시 관인면 중리,4165040021,,6,,mafra_api,38.099574,127.19726
,20230111,,강원도 철원군 동송읍 양지리,4278025928,,4,,mafra_api,38.263251,127.284057
,20230122,,경기도 김포시 통진읍 고정리,4157025028,,10,,mafra_api,37.715201,126.59468
,20230212,,강원도 양양군 손양면 삽존리,4283032026,,11,,mafra_api,38.025603,128.634831
,20230320,,경기도 포천시 영중면 영송리,4165036026,,69,,mafra_api,38.020883,127.229588
,20230329,,경기도 포천시 창수면 주원리,4165035022,,15,,mafra_api,38.007864,127.172014
,20230331,,경기도 포천시 영중면 영송리,4165036026,,11,,mafra_api,38.020883,127.229588
,20230413,,경기도 포천시 창수면 가양리,4165035023,,7,,mafra_api,37.97431,127.203289
,20230718,,강원특별자치도 철원군 갈말읍 토성리,5178025628,,3,,mafra_api,38.260449,127.339187
