시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,비고
가평군,KT목장,소,7,경기도 가평군 설악면 한서로375번길 41,경기도 가평군 설악면 위곡리 145번지 5호,37.6736655377,127.5318195163,20260520,
가평군,가골 2목장,소,50,경기도 가평군 북면 가화로 833-47,경기도 가평군 북면 이곡리 242번지,37.8782833767,127.5347159986,20260520,
가평군,가골목장A,소,60,경기도 가평군 북면 가화로 819,경기도 가평군 북면 이곡리 155번지 23호,37.8771117356,127.5345107722,20260520,
가평군,가골목장B,소,0,경기도 가평군 북면 이곡둑길 3,"경기도 가평군 북면 이곡리 179번지 3호 외 3필지(180-1,180-2,180-3)",37.8759472978,127.5400364085,20260520,
가평군,가덕목장,소,46,경기도 가평군 북면 화악지암길 72-36,경기도 가평군 북면 화악리 369번지 외 1필지(369-1),37.9321566787,127.5699946734,20260520,
가평군,가평흑염소농장,염소,60,경기도 가평군 북면 내촌길 46-159,경기도 가평군 북면 이곡리 152번지 외 1필지(153),37.8788421038,127.5350005405,20260520,
가평군,갈현목장,소,33,경기도 가평군 설악면 장수로79번길 64-6,경기도 가평군 설악면 묵안리 688번지 외1필지(582),37.6092051992,127.5101290586,20260520,
가평군,강만목장,소,8,경기도 가평군 설악면 한서로 111-1,경기도 가평군 설악면 창의리 438번지 11호,37.6726872952,127.5041730236,20260520,
가평군,개누리목장,소,79,경기도 가평군 상면 청군로 794,"경기도 가평군 상면 임초리 495번지 2호 495-4, 504-1, 505",37.7822544141,127.3706850505,20260520,
가평군,건호목장,소,10,경기도 가평군 조종면 비득재길 192-134,"경기도 가평군 조종면 현리 445번지 4호 ,444-6번지",37.8123126780,127.3406283333,20260520,
가평군,경반 목장,소,66,경기도 가평군 가평읍 석봉로191번길 199,경기도 가평군 가평읍 경반리 74번지 외 1필지 (70번지),37.8302030396,127.4898295048,20260520,
가평군,경반농장,돼지,880,경기도 가평군 가평읍 석봉로191번길 193-22,"경기도 가평군 가평읍 경반리 64번지 외7필지(59,61,64-1,66,67,67-2,산19-1)",37.8288781432,127.4902842272,20260520,
가평군,경반농장2,소,0,경기도 가평군 가평읍 석봉로191번길 193-33,경기도 가평군 가평읍 경반리 66번지,37.8288961918,127.4905569492,20260520,
가평군,경반농장3,소,93,경기도 가평군 가평읍 석봉로191번길 193-22,"경기도 가평군 가평읍 경반리 67번지 ,67-2",37.8288781432,127.4902842272,20260520,
가평군,경반목장,소,66,,경기도 가평군 가평읍 경반리 359번지 1호,,,20260520,
