도본부,시군,소,돼지,닭,오리,염소,사슴,기타
경기,수원,98,6,173,34,79,18,195
경기,성남,0,0,35,2,15,0,42
경기,안양,6,0,6,0,6,0,10
경기,과천,7,15,26,29,7,21,53
경기,오산,78,2,127,6,15,21,56
경기,군포,76,0,140,14,64,23,108
경기,의왕,31,0,242,16,34,39,128
경기,화성,12699,3306,6254,420,1916,245,2368
경기,하남,18,0,33,1,19,11,78
경기,이천,7239,3629,2913,141,640,110,689
경기,양평,2901,688,1980,84,299,141,875
경기,광주,865,3,678,27,233,105,400
경기,여주,3625,2018,2867,146,569,62,881
경기,부천,13,0,79,21,23,0,73
경기,광명,182,47,566,60,260,53,314
경기,안산,383,4,392,52,254,28,251
경기,시흥,1123,86,1342,104,606,56,521
경기,김포,5021,279,3134,284,1246,267,1318
경기,서울,5,0,64,2,5,12,44
경기,평택,5531,1878,3962,337,922,95,1390
경기,용인,1849,2674,2570,156,584,83,906
경기,안성,14997,3586,6275,564,1813,230,1642
경기,구리,25,0,63,2,19,0,17
경기,남양주,1324,13,732,47,330,94,378
경기,가평,1732,103,1265,38,313,83,803
경기,포천,6249,4517,6746,158,1214,200,1602
경기,강화,10687,698,4462,373,2188,221,1632
경기,인천,490,61,1167,235,632,120,872
경기,의정부,39,0,66,5,67,13,39
경기,동두천,156,136,231,0,46,6,84
경기,고양,2543,400,1454,216,542,174,1297
경기,파주,5603,1366,2715,210,924,219,1563
경기,연천,3176,2550,3784,92,674,70,687
경기,양주,2170,933,1376,38,424,73,277
강원,영월,1831,255,2681,166,954,92,1097
강원,평창,2093,285,2239,194,689,70,1086
강원,정선,2100,0,2215,124,748,18,899
강원,강릉,1467,691,1908,190,738,110,783
강원,동해,265,0,482,45,141,6,185
강원,태백,309,35,341,41,128,28,159
강원,삼척,2461,106,2051,112,641,55,563
강원,춘천,3191,375,3461,328,625,51,1043
강원,철원,4204,3198,4405,128,377,66,456
강원,화천,2634,580,2493,89,359,230,449
강원,양구,2352,15,2098,90,311,42,597
강원,원주,3190,1132,4742,226,766,58,1207
강원,홍천,6503,548,4571,213,775,96,1253
강원,횡성,14681,678,7322,150,739,75,1371
강원,속초,44,0,230,7,39,31,120
강원,인제,2328,145,1881,24,298,48,454
강원,고성,3281,137,2178,106,409,52,520
강원,양양,1417,325,1650,90,322,21,759
충북,청주,12945,1007,7258,574,2533,308,1969
충북,진천,2456,1013,5523,863,1249,238,1590
충북,괴산,2671,842,3821,191,1564,112,884
충북,증평,1739,160,1108,55,407,36,352
충북,제천,3081,322,3759,246,1253,110,1385
충북,단양,751,99,2089,109,894,27,609
충북,보은,4499,371,2807,121,1049,52,810
충북,옥천,3889,113,2461,89,1178,47,828
충북,영동,1387,175,1848,152,770,65,595
충북,충주,4046,622,7127,449,2465,208,2379
충북,음성,4418,588,6671,1313,1157,161,1657
충남,천안,7013,1977,12627,1213,1919,176,2907
충남,아산,8119,1411,14838,657,2459,567,4040
충남,공주,10362,1075,8328,379,2180,410,1943
충남,금산,1706,222,1649,106,582,38,456
충남,계룡,57,1,123,12,48,0,83
충남,보령,8308,2907,8819,645,3587,282,2076
충남,청양,5200,722,4485,285,1401,160,1105
충남,홍성,17843,7844,17954,1412,6229,599,4838
충남,논산,7475,1931,6889,412,1806,203,1310
충남,부여,6079,634,6387,198,2354,106,1021
충남,서천,3262,263,3226,127,1650,145,704
충남,서산,5765,595,7008,589,3086,193,2160
충남,예산,12921,1745,7853,311,2472,204,2075
충남,태안,1776,163,2011,161,1099,52,576
충남,당진,8868,2951,11646,549,4067,186,2498
충남,세종,7502,1044,5716,84,863,64,1126
충남,대전,1046,52,974,84,461,34,548
전북,전주,110,65,305,28,70,26,182
전북,김제,12896,4489,8633,736,1718,173,1377
전북,완주,5190,1433,3518,256,902,114,1127
전북,진안,2181,1219,3825,291,1062,51,925
전북,무주,1476,264,1129,70,454,18,292
전북,장수,5659,617,3153,530,1410,58,1106
전북,정읍,23584,6355,11214,2050,2400,250,2294
전북,고창,5173,1469,3977,908,606,38,458
전북,부안,4768,878,5344,1210,831,145,976
