순번,도본부,사무소,지역,소속기관,축종,임상증상,발견일자,사육두수,이상두수,임상증상조치방법
1,강원,동부,강릉,강원,소,설사,2026-03-31,256,1,시료채취(분변)
2,강원,남부,횡성,강원,소,설사,2026-03-31,57,1,시료채취(분변)
3,강원,북부,인제,강원,소,설사,2026-03-31,20,1,시료채취(분변)
4,충북,중부,청주,충북,꿀벌,식욕부진,2026-03-31,20,100,이상없음
5,충북,중부,청주,충북,꿀벌,식욕부진,2026-03-31,160,100,이상없음
6,충북,중부,청주,충북,꿀벌,설사,2026-03-31,120,100,이상없음
7,충북,중부,괴산,충북,꿀벌,폐사,2026-03-31,210,100,이상없음
8,충북,남부,보은,충북,소,설사,2026-03-31,11,1,시료채취(분변)
9,충북,남부,보은,충북,꿀벌,폐사,2026-03-31,50,100,이상없음
10,충북,북부,음성,충북,꿀벌,폐사,2026-03-31,30,500,이상없음
11,경북,북부,영주,경북,소,설사,2026-03-31,36,1,"시료채취(분변), 시료채취(비즙)"
12,경남,북부,거창,경남,소,설사,2026-03-31,57,1,시료채취(분변)
13,경기,동북부,포천,경기,닭,"산란율저하, 폐사",2026-03-30,6,2,이상없음
14,강원,서부,철원,강원,소,설사,2026-03-30,33,1,시료채취(분변)
15,강원,서부,양구,강원,닭,폐사,2026-03-30,18000,2,이상없음
16,강원,남부,횡성,강원,소,설사,2026-03-30,81,1,시료채취(분변)
17,강원,북부,인제,강원,닭,폐사,2026-03-30,36350,2,이상없음
18,강원,북부,고성(강원),강원,소,설사,2026-03-30,97,1,시료채취(분변)
19,충북,중부,청주,충북,꿀벌,"식욕부진, 폐사",2026-03-30,200,2,이상없음
20,충북,남부,보은,충북,소,설사,2026-03-30,16,1,시료채취(분변)
21,충북,남부,영동,충북,꿀벌,변형,2026-03-30,150,1,이상없음
22,충북,북부,음성,충북,꿀벌,폐사,2026-03-30,70,10,이상없음
23,충남,중부,천안,충남,닭,폐사,2026-03-30,5,1,이상없음
24,전북,서부,정읍,전북,소,유사산,2026-03-30,72,3,이상없음
25,전남,북부,곡성,전남,소,식욕부진,2026-03-30,5,1,이상없음
26,전남,북부,광주(전남),전남,소,유사산,2026-03-30,9,1,이상없음
27,전남,남부,완도,전남,염소,식욕부진,2026-03-30,5,1,이상없음
28,전남,남부,완도,전남,염소,폐사,2026-03-30,6,1,이상없음
29,전남,중부,나주,전남,소,식욕부진,2026-03-30,55,1,이상없음
30,경북,중부,영천,경북,닭,폐사,2026-03-30,3,1,이상없음
31,경남,북부,의령,경남,소,설사,2026-03-30,19,1,시료채취(분변)
32,경북,북부,봉화,경북,닭,폐사,2026-03-29,46000,1,이상없음
33,경기,중부,성남,경기,꿀벌,이상행동,2026-03-27,30,1,이상없음
34,경기,서부,시흥,경기,염소,설사,2026-03-27,17,1,이상없음
35,강원,중부,평창,강원,거위,폐사,2026-03-27,0,4,이상없음
36,강원,중부,평창,강원,기러기,폐사,2026-03-27,0,5,이상없음
37,강원,북부,고성(강원),강원,꿀벌,폐사,2026-03-27,0,15,이상없음
38,충북,중부,청주,충북,꿀벌,폐사,2026-03-27,300,1,이상없음
39,충북,북부,음성,충북,소,설사,2026-03-27,196,1,시료채취(분변)
40,충남,서부,청양,충남,소,설사,2026-03-27,46,1,이상없음
41,전북,중부,완주,전북,소,설사,2026-03-27,24,1,이상없음
42,전남,동부,보성,전남,소,식욕부진,2026-03-27,46,1,이상없음
43,전남,서부,영광,전남,소,식욕부진,2026-03-27,86,1,이상없음
44,전남,중부,영암,전남,소,식욕부진,2026-03-27,72,1,이상없음
45,경북,중부,고령,경북,닭,폐사,2026-03-27,22,1,이상없음
46,경북,서부,예천,경북,닭,폐사,2026-03-27,13,1,이상없음
47,경북,남부,구미,경북,염소,식욕부진,2026-03-27,29,1,이상없음
