순번,품종,시도,시군,년도,전체호수,전체두수,2000두 이상(호수),2000두 이상(두수),2000두-1000두 이상(호수),2000두-1000두 이상(두수),1000두-500두 이상(호수),1000두-500두 이상(두수),500두-60두 이상(호수),500두-60두 이상(두수),60두-0두 이상(호수),60두-0두 이상(두수)
1,실험용,세종,세종,2026,1,600,0,0,0,0,1,600,0,0,0,0
2,실험용,세종,세종,2025,1,540,0,0,0,0,1,540,0,0,0,0
3,실험용,세종,세종,2024,1,540,0,0,0,0,1,540,0,0,0,0
4,실험용,세종,세종,2023,1,420,0,0,0,0,0,0,1,420,0,0
5,실험용,세종,세종,2022,1,600,0,0,0,0,1,600,0,0,0,0
6,실험용,세종,세종,2021,1,600,0,0,0,0,1,600,0,0,0,0
7,실험용,세종,세종,2020,1,350,0,0,0,0,0,0,1,350,0,0
8,실험용,경기,안성시,2025,1,30,0,0,0,0,0,0,0,0,1,30
9,실험용,경기,안성시,2024,1,30,0,0,0,0,0,0,0,0,1,30
10,실험용,경기,안성시,2023,1,40,0,0,0,0,0,0,0,0,1,40
11,실험용,경기,안성시,2022,1,40,0,0,0,0,0,0,0,0,1,40
12,실험용,경기,안성시,2021,1,40,0,0,0,0,0,0,0,0,1,40
13,실험용,경기,여주시,2021,1,41,0,0,0,0,0,0,0,0,1,41
14,실험용,경기,여주시,2020,1,46,0,0,0,0,0,0,0,0,1,46
15,실험용,경기,용인시 처인구,2026,1,150,0,0,0,0,0,0,1,150,0,0
16,실험용,경기,용인시 처인구,2025,1,216,0,0,0,0,0,0,1,216,0,0
17,실험용,경기,용인시 처인구,2024,1,105,0,0,0,0,0,0,1,105,0,0
18,실험용,경기,용인시 처인구,2023,1,84,0,0,0,0,0,0,1,84,0,0
19,실험용,경기,용인시 처인구,2022,1,110,0,0,0,0,0,0,1,110,0,0
20,실험용,경기,용인시 처인구,2021,1,79,0,0,0,0,0,0,1,79,0,0
21,실험용,경기,용인시 처인구,2020,1,132,0,0,0,0,0,0,1,132,0,0
22,실험용,경기,이천시,2026,1,60,0,0,0,0,0,0,1,60,0,0
23,실험용,경기,이천시,2025,1,70,0,0,0,0,0,0,1,70,0,0
24,실험용,경기,이천시,2024,2,80,0,0,0,0,0,0,1,70,1,10
25,실험용,경기,이천시,2023,2,95,0,0,0,0,0,0,1,70,1,25
26,실험용,경기,이천시,2022,2,80,0,0,0,0,0,0,1,60,1,20
27,실험용,경기,이천시,2021,2,88,0,0,0,0,0,0,1,60,1,28
28,실험용,경기,이천시,2020,2,94,0,0,0,0,0,0,1,60,1,34
29,실험용,경기,평택시,2026,1,530,0,0,0,0,1,530,0,0,0,0
30,실험용,경기,평택시,2023,1,360,0,0,0,0,0,0,1,360,0,0
31,실험용,경기,평택시,2022,1,428,0,0,0,0,0,0,1,428,0,0
32,실험용,경기,평택시,2021,1,560,0,0,0,0,1,560,0,0,0,0
33,실험용,경기,평택시,2020,1,660,0,0,0,0,1,660,0,0,0,0
34,실험용,강원,평창군,2025,2,100,0,0,0,0,0,0,0,0,2,100
35,실험용,강원,평창군,2024,2,192,0,0,0,0,0,0,2,192,0,0
36,실험용,강원,평창군,2023,2,200,0,0,0,0,0,0,2,200,0,0
37,실험용,강원,평창군,2022,2,190,0,0,0,0,0,0,2,190,0,0
38,실험용,강원,평창군,2021,2,148,0,0,0,0,0,0,2,148,0,0
39,실험용,강원,평창군,2020,2,100,0,0,0,0,0,0,0,0,2,100
40,실험용,강원,홍천군,2025,2,2,0,0,0,0,0,0,0,0,2,2
41,실험용,강원,횡성군,2026,2,14,0,0,0,0,0,0,0,0,2,14
42,실험용,강원,횡성군,2025,2,16,0,0,0,0,0,0,0,0,2,16
43,실험용,강원,횡성군,2024,2,16,0,0,0,0,0,0,0,0,2,16
44,실험용,강원,횡성군,2023,2,80,0,0,0,0,0,0,0,0,2,80
45,실험용,강원,횡성군,2022,2,80,0,0,0,0,0,0,0,0,2,80
46,실험용,강원,횡성군,2021,2,80,0,0,0,0,0,0,0,0,2,80
47,실험용,충북,청주시,2024,1,44,0,0,0,0,0,0,0,0,1,44
48,실험용,충북,청주시,2023,1,24,0,0,0,0,0,0,0,0,1,24
49,실험용,충북,청주시,2022,1,62,0,0,0,0,0,0,1,62,0,0
50,실험용,충북,충주시,2026,1,0,0,0,0,0,0,0,0,0,1,0
51,실험용,충북,충주시,2025,1,30,0,0,0,0,0,0,0,0,1,30
52,실험용,충북,충주시,2024,1,30,0,0,0,0,0,0,0,0,1,30
53,실험용,충북,충주시,2023,1,30,0,0,0,0,0,0,0,0,1,30
54,실험용,충남,공주시,2026,1,700,0,0,0,0,1,700,0,0,0,0
