순번,품종,시도,시군,년도,전체호수,전체두수,2000두 이상(호수),2000두 이상(두수),2000두-1000두 이상(호수),2000두-1000두 이상(두수),1000두-500두 이상(호수),1000두-500두 이상(두수),500두-60두 이상(호수),500두-60두 이상(두수),60두-0두 이상(호수),60두-0두 이상(두수)
1,일반,부산,부산,2026,9,3394,0,0,0,0,3,2294,5,1085,1,15
2,일반,부산,부산,2025,9,3806,0,0,0,0,4,2787,4,994,1,25
3,일반,부산,부산,2024,9,3895,0,0,0,0,4,2811,4,1073,1,11
4,일반,부산,부산,2023,9,4125,0,0,1,1000,3,1800,4,1278,1,47
5,일반,부산,부산,2022,10,3980,0,0,0,0,3,2180,7,1800,0,0
6,일반,부산,부산,2021,10,4828,0,0,1,1300,2,1470,7,2058,0,0
7,일반,부산,부산,2020,13,6146,0,0,2,3025,2,1300,7,1796,2,25
8,일반,부산,부산,2019,16,7614,0,0,2,3165,3,2200,8,2140,3,109
9,일반,부산,부산,2018,15,7589,0,0,2,3125,4,2610,8,1812,1,42
10,일반,대구,대구,2026,43,105157,18,76255,16,22912,7,5390,2,600,0,0
11,일반,대구,대구,2025,45,106442,18,74671,19,26679,6,4800,1,270,1,22
12,일반,대구,대구,2024,46,103590,19,74747,19,25221,4,2720,3,884,1,18
13,일반,대구,대구,2023,46,103948,17,72172,18,24700,8,6318,2,730,1,28
14,일반,대구,대구,2022,46,106615,18,74730,20,28556,3,2040,3,1220,2,69
15,일반,대구,대구,2021,45,97562,17,67310,19,25250,6,4420,2,560,1,22
16,일반,대구,대구,2020,49,103575,17,69884,21,29055,6,3970,2,560,3,106
17,일반,대구,대구,2019,53,105576,16,67757,21,30899,8,5785,6,1091,2,44
18,일반,대구,대구,2018,53,103082,16,64908,22,31364,8,6092,3,596,4,122
19,일반,인천,인천,2026,12,26825,4,16565,6,8500,2,1760,0,0,0,0
20,일반,인천,인천,2025,12,25997,4,16237,6,8450,1,960,1,350,0,0
21,일반,인천,인천,2024,13,27081,4,15730,7,9986,1,900,1,465,0,0
22,일반,인천,인천,2023,14,26796,6,19317,2,2700,4,3949,2,830,0,0
