농장명,축종,농장주소, 사육두수 ,사업장 위도,사업장 경도
입압리 농원,한우,강원도 양양군 현남면 주리 산 93-2, 80 ,37.9198343950,128.7568391100
수리농장,한우,강원도 양양군 서면 수리 336-3  , 47 ,38.0260690443,128.6054851316
황금농장,한우,강원도 양양군 서면 논화리 220  , 19 ,38.0641756524,128.5657785197
화일리목장,한우,강원도 양양군 양양읍 화일리 466  , 23 ,38.0968870483,128.5720806193
서인농장,한우,강원도 양양군 현북면 말곡리 17-3  , 30 ,38.0276028791,128.6934741047
청산목장,한우,강원도 양양군 양양읍 감곡리 590  , 20 ,38.0928490478,128.6145134130
삽존농장,한우,강원도 양양군 손양면 삽존리 55-2  , 20 ,38.0298119075,128.6372537083
방우재목장,한우,강원도 양양군 손양면 상왕도리 380  , 60 ,38.0537883411,128.6318438735
고노골농장,한우,강원도 양양군 손양면 상왕도리 621  , 35 ,38.0555966795,128.6270680698
강선리한우농장,한우,강원도 양양군 강현면 강선리 135, 65 ,38.1536263138,128.5976018514
이레농장,한우,강원도 양양군 강현면 회룡리 598-6  , 25 ,38.1314413880,128.5676515961
상복농장,한우,강원도 양양군 강현면 상복리 603-1 , 2 ,38.1441990484,128.5590947172
소바우 농장,한우,강원도 양양군 손양면 우암리 162  , 25 ,,
우암농장,한우,강원도 양양군 손양면 우암리 123  , 26 ,38.0388202227,128.6397181015
우암목장,한우,강원도 양양군 손양면 우암리 32  , 27 ,38.0402206787,128.6421234389
한우농장,한우,강원도 양양군 현북면 원일전리 374  , 10 ,37.9772085137,128.6531437305
침교한우단지,한우,강원도 양양군 강현면 침교리 92-1  , 160 ,38.1149922293,128.5895777080
민재농장,한우,강원도 양양군 강현면 장산리 710  , 31 ,38.1433911272,128.5941111808
청밀목장,한우,강원도 양양군 강현면 정암리 141-16, 25 ,38.1381089924,128.6121246288
대신축산,한우,강원도 양양군 손양면 우암리 205-2  , 31 ,38.0378226034,128.6403275429
한재농장,한우,강원도 양양군 현북면 대치리 195-1  , 25 ,,
양양오성한우,한우,강원도 양양군 현북면 장리 289  , 250 ,37.9928048354,128.6276647168
손양목장,한우,강원도 양양군 손양면 상왕도리 619, 43 ,38.0559307269,128.6259928039
용천축산,한우,강원도 양양군 서면 용천리 438-6 , 18 ,,
초송농장,한우,강원도 양양군 손양면 주리 367  , 13 ,38.0313836558,128.6440775890
어깨동무 농장,한우,강원도 양양군 서면 영덕리 413  , 5 ,,
오성2단지,한우,강원도 양양군 현북면 말곡리 150  , 206 ,38.0230631493,128.6851684108
청우농장,한우,강원도 양양군 강현면 강선리 762  , 19 ,38.1552086885,128.5876733573
다산농장,한우,강원도 양양군 양양읍 화일리 661-1  , 16 ,38.1095112688,128.5643911939
어성전 농장,한우,강원도 양양군 현북면 어성전리 599 , 19 ,,
만월산목장,한우,강원도 양양군 현남면 정자리 150-3, 13 ,,
영통목장,한우,강원도 양양군 손양면 수여리 352-1, 24 ,38.0733782330,128.6495041948
정빈농장,한우,"강원도 양양군 손양면 수여리 291-1,353-1 ", 21 ,38.0744799914,128.6496870044
해성농장,한우,강원도 양양군 현남면 견불리 214  , 14 ,37.9365748407,128.7493416386
목우원 우리농장,한우,강원도 양양군 서면 논화리 253-2 , 80 ,38.0659740775,128.5642368964
양양목장,한우,강원도 양양군 서면 논화리 253-1, 42 ,38.0654846249,128.5645637476
호정목장,한우,강원도 양양군 서면 논화리 97-2 , 40 ,38.0626442952,128.5713413463
창성농장,한우,강원도 양양군 서면 수리 263-5  , 84 ,38.0324876274,128.5999408780
대성농장,한우,강원도 양양군 손양면 우암리 68  , 32 ,38.0405752011,128.6417462467
부소치농장,한우,강원도 양양군 손양면 부소치리 86-1  , 13 ,,
동희농장,한우,강원도 양양군 강현면 정암리 945-1, 12 ,38.1441154945,128.6042641141
실론농장,한우,강원도 양양군 손양면 주리 246  , 12 ,38.0376362042,128.6520989291
대청농장,한우,강원도 양양군 강현면 정암리 70 1, 3 ,,
큰골농장,한우,강원도 양양군 손양면 부소치리 110-2  , 16 ,,
선우농장,한우,강원도 양양군 현북면 도리 121  , 22 ,38.0065230138,128.6272355039
일광농장,한우,강원도 양양군 양양읍 감곡리 산 101  , 13 ,,
푸른농장,한우,강원도 양양군 강현면 장산리 139  , 29 ,,
너분들농장,한우,강원도 양양군 강현면 광석리 68  , 11 ,38.1197307581,128.6112632348
정자리농장,한우,강원도 양양군 현남면 정자리 40-4, 5 ,37.9679989110,128.7331010939
희망목장,한우,강원도 양양군 현북면 원일전리 322  , 8 ,37.9804894505,128.6578288695
독송정농장,한우,강원도 양양군 현북면 중광정리 131-15 , 8 ,38.0333276887,128.7049617073
감동골농장,한우,강원도 양양군 양양읍 감곡리 596-1 , 10 ,38.0928059427,128.6162004833
상복농장,한우,강원도 양양군 강현면 상복리 655 1, 12 ,,
수채골농장,한우,강원도 양양군 현북면 도리 135  , 15 ,38.0062246194,128.6263852672
기정농장,한우,강원도 양양군 양양읍 감곡리 296  , 10 ,38.0993757402,128.6024198819
진미농장,한우,강원도 양양군 강현면 장산리 71-2 , 7 ,38.1455414348,128.5989980179
정병균농장,한우,강원도 양양군 현남면 죽리 121  , 9 ,37.9705796941,128.7422529656
승도농장,한우,강원도 양양군 강현면 사교리 62-3, 5 ,38.1122891292,128.5860844690
사교 솔농장,한우,강원도 양양군 강현면 사교리 90-5, 26 ,38.1101248191,128.5884228146
복골농장,한우,강원도 양양군 강현면 상복리  366, 9 ,38.1465095479,128.5609483820
남억농장,한우,강원도 양양군 현북면 중광정리 131-1, 6 ,38.0327818840,128.7059049441
구래골농장,한우,강원도 양양군 양양읍 월리  467-6, 4 ,,
정손농장,한우,강원도 양양군 양양읍 정손리 211  , 20 ,38.0969009191,128.6249778145
승강농장,한우,강원도 양양군 강현면 석교리 134  , 3 ,38.1258909627,128.5744377581
택수농장,한우,강원도 양양군 강현면 상복리 644-1, 5 ,38.1448987652,128.5606240908
감천농장,한우,강원도 양양군 양양읍 감곡리 161  , 26 ,38.0952393503,128.6111834763
형제농장,한우,강원도 양양군 손양면 상왕도리 736 , 49 ,38.0476602717,128.6137111543
푸른농장,한우,강원도 양양군 서면 수리 549-2, 3 ,38.0377938379,128.5960182144
명성농장,한우,강원도 양양군 강현면 사교리 45  , 5 ,38.1132414739,128.5857117067
골말농장,한우,강원도 양양군 현남면 죽리 169  , 13 ,,
부산농장,한우,강원도 양양군 양양읍 감곡리 296-1, 11 ,,
만개골농장,한우,강원도 양양군 현남면 지경리 129-2, 35 ,37.9148035784,128.8033289424
금강농장,한우,강원도 양양군 현남면 인구리 262-6 , 109 ,,
월천농장,한우,강원도 양양군 현남면 하월천리 11  , 10 ,,
주삼농장,한우,강원도 양양군 손양면 수여리 22 1, 30 ,,
해성농장,한우,강원도 양양군 양양읍 정손리 84 1, 9 ,,
은석농장,한우,강원도 양양군 손양면 도화리 65  , 16 ,,
정손리농장,한우,강원도 양양군 양양읍 정손리 159-1 , 17 ,,
오대농장,한우,강원도 양양군 현남면 인구리 448  , 19 ,37.9628087674,128.7489888733
이텃골농장,한우,강원도 양양군 현북면 장리 123-2 , 8 ,37.9997356334,128.6374873944
절골농장,한우,강원도 양양군 서면 수리 519  , 4 ,38.0345619678,128.5945329069
송암농장,한우,강원도 양양군 양양읍 청곡리 472-2, 30 ,,
미래농장,한우,강원도 양양군 강현면 장산리 784-2, 6 ,,
전순복 한우농장,한우,강원도 양양군 강현면 강선리 103  , 14 ,,
장두골농장,한우,강원도 양양군 현남면 후포매리 274  , 32 ,37.9471450351,128.7605011593
금풍농장,한우,강원도 양양군 강현면 금풍리 221  , 13 ,,
청솔농장,한우,강원도 양양군 양양읍 청곡리 177-1, 10 ,,
장리농장,한우,강원도 양양군 현북면 장리 105-1 , 20 ,37.9996425804,128.6413505744
학포자연농장,한우,강원도 양양군 손양면 학포리 193-4, 51 ,38.0729643677,128.6549897919
대흥농장,한우,강원도 양양군 양양읍 송암리 463  , 99 ,38.0920528712,128.6340036952
복골농장,한우,강원도 양양군 강현면 중복리 187  , 100 ,38.1441948538,128.5716683097
용천농장,한우,강원도 양양군 서면 용천리 571-5, 7 ,38.0584880347,128.6059579403
상평농장,한우,강원도 양양군 서면 상평리 633  , 19 ,38.0612419992,128.5757383935
호수농장,한우,강원도 양양군 양양읍 화일리 146 , 50 ,38.1007851527,128.5733373185
삼성농장,한우,강원도 양양군 양양읍 내곡리 213-2  , 33 ,38.0844931633,128.6069019647
가든농장,한우,강원도 양양군 서면 수리 436-1  , 11 ,38.0289132866,128.6003967925
구룡한우농장,한우,강원도 양양군 서면 영덕리 436  , 27 ,38.0051749828,128.5406431198
송암리 농장,한우,강원도 양양군 양양읍 송암리 472-1  , 40 ,38.0916336679,128.6341690977
영덕리 마을 한우공동시설,한우,강원도 양양군 서면 영덕리 459, 12 ,,
갈천농장,한우,강원도 양양군 서면 갈천리 143, 19 ,37.9088660701,128.5109993104
목부원,한우,강원도 양양군 현북면 말곡리 156, 25 ,38.0234434066,128.6867374700
회룡축산,한우,강원도 양양군 강현면 회룡리 506, 14 ,38.1369036449,128.5797525921
용천농장,한우,강원도 양양군 서면 용천리 400-4, 41 ,,
설악한우,한우,강원도 양양군 현남면 죽리 258-4, 20 ,,
왕승현,한우,강원도 양양군 양양읍 화일리 280-1, 27 ,,
성택농장,한우,강원도 양양군 손양면 우암리 118, 15 ,38.0386900410,128.6380973387
명도농장,한우,강원도 양양군 현남면 북분리 411, 10 ,37.9877624282,128.7429202276
달래농장,한우,강원도 양양군 현남면 상월천리 122, 9 ,37.9456405246,128.7102693521
초이농장,한우,강원도 양양군 양양읍 조산리 725-21, 42 ,38.1028382786,128.6376913326
서림농장,한우,강원도 양양군 서면 서림리 195, 5 ,37.9785963819,128.5256676981
감동농장,한우,강원도 양양군 양양읍 감곡리 352, 20 ,38.0963423174,128.6030845412
삼성농장 1,한우,강원도 양양군 양양읍 내곡리 194, 35 ,,
늘푸른농장,한우,강원도 양양군 강현면 강선리 817, 69 ,38.1570320423,128.5893781048
서면농장,한우,강원도 양양군 서면 상평리 733, 16 ,38.0643792675,128.5835581013
솔광농장,한우,강원도 양양군 손양면 주리 152-1, 47 ,38.0328841847,128.6557953705
용천농장,한우,강원도 양양군 서면 용천리 423-2, 48 ,,
덕신농장,한우,강원도 양양군 강현면 정암리 929-14, 18 ,38.1437198526,128.6055956024
바다리목장,한우,강원도 양양군 현북면 대치리 40-2, 40 ,,
손씨농장,한우,강원도 양양군 서면 용천리 351, 12 ,38.0498787525,128.6028564094
늘푸른농원,한우,강원도 양양군 서면 용천리 313-6, 16 ,,
오대농장,한우,강원도 양양군 현남면 인구리 522, 15 ,37.9620545542,128.7503900622
문종기농장,한우,강원도 양양군 현북면 말곡리 589-2, 2 ,38.0209802972,128.6809053242
성훈목장,한우,강원도 양양군 강현면 장산리 705, 16 ,,
창조농장,한우,강원도 양양군 현남면 남애리 600-1, 3 ,37.9484597843,128.7749299203
금자농장,한우,강원도 양양군 현남면 북분리 393, 10 ,37.9870291214,128.7409156878
임주현농장,한우,강원도 양양군 현남면 상월천리 , 3 ,,
김주익농장,한우,강원도 양양군 현남면 상월천리 211, 2 ,37.9445901773,128.7117473634
박상환농장,한우,강원도 양양군 현남면 인구리 341-1, 4 ,37.9673290767,128.7553418146
임명식농장,한우,강원도 양양군 현남면 임호정리 225, 3 ,37.9260322314,128.7800735898
임관식농장,한우,강원도 양양군 현남면 임호정리 227, 9 ,37.9258175730,128.7786077280
이경숙농장,한우,강원도 양양군 현남면 죽리 15-1, 7 ,,
김동길농장,한우,강원도 양양군 현남면 창리 110, 5 ,,
상화농장,한우,강원도 양양군 서면 공수전리 20, 2 ,,
경래농장,한우,강원도 양양군 서면 내현리 228, 4 ,38.0308355751,128.6088708095
상현농장,한우,강원도 양양군 서면 서림리 385, 7 ,37.9583370766,128.5143152829
진수농장,한우,강원도 양양군 서면 수리 663, 2 ,38.0382241766,128.5957323234
김종한농장,한우,강원도 양양군 서면 수리 576-1, 1 ,38.0370319367,128.5941707378
수리농장,한우,"강원도 양양군 서면 수리 361-1,  ", 26 ,38.0255243583,128.6063715416
종화농장,한우,강원도 양양군 서면 오색리 92-7, 6 ,38.0759087750,128.4996604176
현산농장,한우,강원도 양양군 서면 용천리 454, 21 ,,
연석농장,한우,강원도 양양군 서면 용천리 106-1, 5 ,,
김창규농장,한우,강원도 양양군 현북면 대치리 62, 4 ,,
김진운농장,한우,강원도 양양군 현북면 말곡리 482, 3 ,38.0166778623,128.6813505146
김종섭농장,한우,강원도 양양군 현북면 중광정리 33, 1 ,,
소목원,한우,강원도 양양군 현북면 중광정리 147-1, 14 ,,
