구분,농가수(소),두수(소),농가수(한우),두수(한우),농가수(육우),두수(육우),농가수(돼지),두수(돼지),농가수(가금),두수(가금),농가수(육계,두수(육계),농가수(산란계),두수(산란계),농가수(염소),두수(염소)
영월읍 거운리,4,112,4,112,0,0,0,0,0,0,0,0,0,0,0,0
영월읍 덕포리,14,492,14,492,0,0,0,0,0,0,0,0,0,0,2,49
영월읍 문산리,4,33,4,33,0,0,0,0,0,0,0,0,0,0,1,6
영월읍 방절리,5,347,5,347,0,0,0,0,0,0,0,0,0,0,1,3
영월읍 삼옥리,10,153,10,153,0,0,0,0,0,0,0,0,0,0,2,32
영월읍 연하리,9,333,9,333,0,0,0,0,0,0,0,0,0,0,2,23
영월읍 영흥리,5,67,5,67,0,0,0,0,0,0,0,0,0,0,2,45
영월읍 정양리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월읍 팔괴리,3,149,3,149,0,0,0,0,1,150,1,150,0,0,2,24
영월읍 하송리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월읍 흥월리,2,154,2,154,0,0,0,0,0,0,0,0,0,0,3,9
상동읍 구래리,1,10,1,10,0,0,0,0,0,0,0,0,0,0,1,85
상동읍 내덕리,3,127,3,127,0,0,0,0,0,0,0,0,0,0,3,17
상동읍 덕구리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상동읍 천평리,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3,15
중동면 녹전리,5,120,5,120,0,0,1,90,0,0,0,0,0,0,1,30
중동면 석항리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중동면 연상리,11,529,11,529,0,0,0,0,0,0,0,0,0,0,0,0
중동면 이목리,5,178,5,178,0,0,0,0,0,0,0,0,0,0,1,7
중동면 직동리,2,40,2,40,0,0,0,0,0,0,0,0,0,0,5,30
중동면 화원리,2,19,2,19,0,0,0,0,1,0,1,0,0,0,2,22
삿갓면 각동리,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 내리,3,39,3,39,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 대야리,1,49,1,49,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 예밀리,3,166,3,166,0,0,1,"2,000",0,0,0,0,0,0,5,122
삿갓면 옥동리,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 와석리,1,53,1,53,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 외룡리,3,13,3,13,0,0,0,0,0,0,0,0,0,0,0,0
삿갓면 주문리,5,464,5,464,0,0,0,0,0,0,0,0,0,0,1,4
삿갓면 진별리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북면 공기리,13,655,13,655,0,0,0,0,0,0,0,0,0,0,1,6
북면 덕상리,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,5
북면 마차리,9,322,9,322,0,0,0,0,0,0,0,0,0,0,5,44
북면 문곡리,13,266,13,266,0,0,0,0,0,0,0,0,0,0,4,88
북면 연덕리,22,"1,259",22,"1,259",0,0,1,"1,100",0,0,0,0,0,0,6,57
남면 광천리,2,4,2,4,0,0,0,0,0,0,0,0,0,0,1,40
남면 북쌍리,13,327,13,327,0,0,0,0,0,0,0,0,0,0,3,12
남면 연당리,31,"1,375",31,"1,375",0,0,1,160,0,0,0,0,0,0,3,24
남면 조전리,8,338,8,338,0,0,0,0,0,0,0,0,0,0,6,26
남면 창원리,9,839,9,839,0,0,0,0,2,"22,500",0,0,2,"22,500",7,104
남면 토교리,8,227,8,227,0,0,0,0,0,0,0,0,0,0,13,116
한반도면 광전리,5,122,5,122,0,0,0,0,0,0,0,0,0,0,3,27
한반도면 신천리,4,92,4,92,0,0,0,0,0,0,0,0,0,0,4,56
한반도면 쌍용리,4,123,4,123,0,0,0,0,1,"6,000",1,"6,000",0,0,0,0
한반도면 옹정리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26
한반도면 후탄리,5,153,5,153,0,0,0,0,1,0,1,0,0,0,2,55
주천면 금마리,7,196,6,185,1,11,0,0,2,"200,200",1,"200,000",1,200,5,148
주천면 도천리,6,563,6,563,0,0,0,0,0,0,0,0,0,0,1,2
주천면 신일리,6,372,6,372,0,0,0,0,1,23,1,23,0,0,2,8
주천면 용석리,18,730,18,730,0,0,1,0,0,0,0,0,0,0,2,16
주천면 주천리,4,54,4,54,0,0,0,0,0,0,0,0,0,0,2,22
주천면 판운리,12,663,12,663,0,0,0,0,1,"16,500",0,0,1,"16,500",1,40
무릉도원면 도원리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
무릉도원면 두산리,1,16,1,16,0,0,0,0,0,0,0,0,0,0,1,80
무릉도원면 무릉리,2,177,2,177,0,0,0,0,0,0,0,0,0,0,0,0
무릉도원면 법흥리,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,13
무릉도원면 운학리,2,115,2,115,0,0,1,170,0,0,0,0,0,0,1,40
