번호,종류, 사육두수 ,소재지(도로명),위도,경도,데이터기준일
1,한우,17,강원도 인제군 기린면 방동리 1069-7,37.953522,128.337663,2022-10-24
2,한우,4,강원도 인제군 기린면 방동리 1069-7,37.953522,128.337663,2022-10-24
3,한우,54,강원도 인제군 기린면 둔덕동길 12-26,37.955682,128.366477,2022-10-24
4,한우,22,강원도 인제군 기린면 아래둔덕길 15-30,37.956121,128.365466,2022-10-24
5,한우,6,강원도 인제군 기린면 아래둔덕길 15-30,37.956121,128.365466,2022-10-24
6,한우,4,강원도 인제군 기린면 방태산길 13,37.948184,128.383909,2022-10-24
7,한우,2,강원도 인제군 기린면 방동리 244-13,37.941325,128.383553,2022-10-24
8,한우,7,강원도 인제군 기린면 오류동길 25,37.951399,128.350367,2022-10-24
9,한우,11,강원도 인제군 기린면 오류동길 25-20,37.950851,128.352195,2022-10-24
10,한우,5,강원도 인제군 기린면 오류동길 25-20,37.950851,128.352195,2022-10-24
11,한우,16,강원도 인제군 기린면 북리 1023,37.992059,128.337503,2022-10-24
12,한우,3,강원도 인제군 기린면 한석산로 2828-13,37.994747,128.341918,2022-10-24
13,한우,30,강원도 인제군 기린면 북리 105,38.014767,128.348728,2022-10-24
14,한우,17,강원도 인제군 기린면 한석산로 2434,38.013394,128.350564,2022-10-24
15,한우,12,강원도 인제군 기린면 한석산로 2944-24,37.987708,128.336611,2022-10-24
16,한우,7,강원도 인제군 기린면 한석산로 3022,37.980081,128.335141,2022-10-24
17,한우,31,강원도 인제군 기린면 상하답로 621-37,38.013697,128.342241,2022-10-24
18,한우,4,강원도 인제군 기린면 한석산로 2386-28,38.017382,128.352101,2022-10-24
19,한우,2,강원도 인제군 기린면 상하답로 159,38.007812,128.293009,2022-10-24
20,한우,3,강원도 인제군 기린면 상하답로 125,38.007869,128.289071,2022-10-24
21,한우,41,강원도 인제군 기린면 서리 1248-2,37.962172,128.275066,2022-10-24
22,한우,32,강원도 인제군 기린면 대내로 252-20,37.963489,128.297927,2022-10-24
23,한우,4,강원도 인제군 기린면 대내로 194,37.964299,128.304214,2022-10-24
24,한우,5,강원도 인제군 기린면 대내로 284,37.962467,128.295861,2022-10-24
25,한우,42,강원도 인제군 기린면 어은골길 30,37.959005,128.295996,2022-10-24
26,한우,3,강원도 인제군 기린면 어은골길 30,37.959005,128.295996,2022-10-24
27,한우,6,강원도 인제군 기린면 서리 79,37.960786,128.302089,2022-10-24
28,한우,14,강원도 인제군 기린면 진동리 714-9,37.963261,128.398711,2022-10-24
29,한우,5,강원도 인제군 기린면 진동리 산51-2,37.979088,128.452887,2022-10-24
30,한우,2,강원도 인제군 기린면 서호길 162,37.935308,128.307745,2022-10-24
31,한우,7,강원도 인제군 기린면 서호길 74,37.940089,128.308839,2022-10-24
32,한우,18,강원도 인제군 기린면  내린천로 3610,37.938528,128.301264,2022-10-24
33,한우,9,강원도 인제군 기린면 현리 1072-2,37.938507,128.300994,2022-10-24
34,한우,77,강원도 인제군 기린면 내린천로 3550,37.937941,128.297551,2022-10-24
35,한우,9,강원도 인제군 기린면 조침령로 130-7,37.944742,128.330519,2022-10-24
36,한우,6,강원도 인제군 기린면 서호길 137,37.934551,128.309935,2022-10-24
37,한우,45,강원도 인제군 기린면 서호길 137,37.934551,128.309935,2022-10-24
38,한우,12,강원도 인제군 남면 관대길 53,38.014959,128.106439,2022-10-24
39,한우,8,강원도 인제군 남면 설악로 1545,38.033973,128.133463,2022-10-24
40,한우,2,강원도 인제군 남면 남전리 526-13,38.037453,128.134918,2022-10-24
41,한우,11,강원도 인제군 남면 자작나무숲길 599,38.011483,128.177373,2022-10-24
42,한우,20,강원도 인제군 남면 자작나무숲길 611,38.011772,128.178724,2022-10-24
43,한우,2,강원도 인제군 남면 시댁골길 69,37.986441,128.093899,2022-10-24
44,한우,2,강원도 인제군 남면 부평정자로 293,37.978552,128.119231,2022-10-24
45,한우,8,강원도 인제군 남면 소치길 145,37.961844,128.150844,2022-10-24
46,한우,3,강원도 인제군  남면 소치길 89,37.958176,128.149993,2022-10-24
47,한우,23,강원도 인제군 남면 소치리 345,37.958204,128.144074,2022-10-24
48,한우,1,강원도 인제군 남면 부평정자로 837,37.958487,128.139843,2022-10-24
49,한우,16,강원도 인제군 남면 무학길 124,37.967208,128.012758,2022-10-24
50,한우,190,강원도 인제군 남면 신남로30번길 6-17,37.964171,128.078756,2022-10-24
51,한우,4,강원도 인제군 남면 신남리 84-1,37.980037,128.084107,2022-10-24
52,한우,16,강원도 인제군 남면 신남리 84-1,37.980037,128.084107,2022-10-24
53,한우,4,강원도 인제군 남면 신월리 118-1,38.021951,128.083181,2022-10-24
54,한우,43,강원도 인제군 남면 신월로 490,38.025505,128.081998,2022-10-24
55,한우,40,강원도 인제군 남면 신월리 188,38.027372,128.079486,2022-10-24
56,한우,29,강원도 인제군 남면 신월로 411,38.029233,128.074485,2022-10-24
57,한우,55,강원도 인제군 남면 신월로 391,38.029684,128.072475,2022-10-24
58,한우,94,강원도 인제군 남면 신월리 283,38.035809,128.071534,2022-10-24
59,한우,265,강원도 인제군 남면 신월로 310-11,38.032961,128.070746,2022-10-24
60,한우,48,강원도 인제군 남면 신월안길 18,38.030084,128.069901,2022-10-24
61,한우,32,강원도 인제군 남면 신월안길 18,38.030084,128.069901,2022-10-24
62,한우,47,강원도 인제군 남면 신월안길 102,38.026268,128.064635,2022-10-24
63,한우,124,강원도 인제군 남면 신월안길 70-11,38.027405,128.066645,2022-10-24
64,한우,12,강원도 인제군 남면 설악로 429-72,37.953345,128.068241,2022-10-24
65,한우,120,강원도 인제군 남면 설악로 429-72,37.953345,128.068241,2022-10-24
66,한우,11,강원도 인제군 남면 설악로 348-32,37.945624,128.067231,2022-10-24
67,한우,50,강원도 인제군 남면 설악로 348-22,37.946078,128.067226,2022-10-24
68,한우,2,강원도 인제군 남면 설악로 348-17,37.946707,128.068009,2022-10-24
69,한우,16,강원도 인제군 남면 설악로 348-17,37.946707,128.068009,2022-10-24
70,한우,94,강원도 인제군 남면  신풍리 821-5,37.945686,128.069296,2022-10-24
