업종,소재지(도로명),축종-품종,사육두수,위도,경도,담당부서,전화번호,기준일
가축사육업,강원도 횡성군 갑천면 구방리 860-3(태기로구방2길 30),소-한우,14,37.52963,128.05553,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 학담리 483-2(영서로학담1길 1-16),소-한우,35,37.525369,127.955533,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 구방리 891-1(태기로구방2길 64),소-한우,13,37.5266,128.056122,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 구방리 362(태기로 1073),소-한우,32,37.543116,128.073016,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 구방리 710(태기로구방6길 178-62),소-한우,7,37.524216,128.0671,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 496-7,소-한우,8,37.552377,128.027855,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 409(외갑천로107번길 8-19),소-한우,6,37.555216,128.02663,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 146-1(외갑천로107번길 8),소-한우,2,37.554413,128.027716,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 193-1(외갑천로107번길 21-34),소-한우,15,37.551386,128.026197,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 219-3(외갑천로107번길 24),소-한우,13,37.554697,128.026347,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 200-1(외갑천로107번길 21-20),소-한우,17,37.552544,128.02573,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 대관대리 82(섬강로 897-33),소-한우,166,37.538527,128.035216,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 255-2(갑천로10번길 189),소-한우,4,37.54728,128.117138,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 265,소-한우,6,37.548625,128.115647,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 298-1(갑천로10번길 90),소-한우,5,37.554344,128.113758,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 519(갑천로 73),소-한우,31,37.559322,128.119447,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 113(갑천로 282),소-한우,4,37.545722,128.133594,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 29-2(갑천로 199-6),소-한우,17,37.551388,128.12858,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 629-5(청정로매일7길 24),소-한우,74,37.561505,128.108891,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 244(갑천로10번길 160-12),소-한우,3,37.54963,128.115594,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 715(갑천로10번길 46-5),소-한우,3,37.556236,128.109694,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 매일리 211(갑천로10번길 129),소-한우,242,37.552533,128.118713,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 매일리 57-3(갑천로 224-9),소-한우,158,37.547325,128.129175,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 매일리 185-2(갑천로10번길 200),소-한우,8,37.547088,128.116961,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 병지방리 369-9(병지방길 29),소-한우,5,37.603761,128.086147,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 삼거리 125-1(외갑천로529번길 66-9),소-한우,108,37.569341,128.065313,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 삼거리 167-1(외갑천로529번길 69),소-한우,61,37.570183,128.063861,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 삼거리 206(외갑천로529번길 51),소-한우,34,37.568658,128.064055,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 삼거리 171(외갑천로479번길 110-1),소-한우,32,37.570672,128.062247,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 삼거리 120-1(외갑천로 561),소-한우,14,37.566708,128.066116,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 상대리 142(갑천로 892),소-한우,148,37.522477,128.181219,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 상대리 326(갑천로 804-7),소-한우,42,37.526222,128.172963,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 상대리 395(갑천로 780),소-한우,17,37.52673,128.170319,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 상대리 306(갑천로872번길 12),소-한우,22,37.52258,128.177169,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 상대리 600-2(갑천로760번길 133-5),소-한우,11,37.517108,128.163672,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 갑천면 상대리 537,소-한우,50,37.522088,128.164297,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 율동리 308-1(외갑천로 953),소-한우,110,37.567816,128.108902,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 율동리 203-3(율동로 90-19),소-한우,5,37.571241,128.112105,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 율동리 389-1(율동로 24),소-한우,75,37.566611,128.113163,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 율동리 219(율동로 107),소-한우,2,37.57305,128.107705,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 율동리 217-12(율동로 122),소-한우,3,37.574591,128.107941,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 전촌리 57-1(외갑천로 429),소-한우,11,37.565133,128.053333,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 중금리 508-4(태기로중금3길 97),소-한우,129,37.53528,128.045891,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 추동리 199-39(외갑천로223번길 22),소-한우,44,37.564475,128.03198,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 추동리 367-2(외갑천로257번길 42),소-한우,17,37.56675,128.036347,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 추동리 93(어답산로 73-11),소-한우,10,37.570852,128.0388,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 포동리 614-1(정포로373번길 29-9),소-한우,19,37.533602,128.099225,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 하대리 1000,소-한우,10,37.543769,128.148213,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 하대리 866(갑천로566번길 142-19),소-한우,24,37.536619,128.147969,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 하대리 106-1,소-한우,18,37.53095,128.161555,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 갑천면 하대리 1132-9(갑천로 24),소-한우,29,37.542005,128.142269,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 2511-15(태종로 49),소-한우,12,37.358997,128.125211,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 843-14(강림시장2길 12),소-한우,2,37.359341,128.128275,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 1645(태종로강림4길 38),소-한우,1,37.359361,128.118636,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 1369-1(강림길 71),소-한우,248,37.367694,128.121088,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 2558-7(태종로강림7길 ),소-한우,23,37.348377,128.119122,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 243-1(주천강로 1362-6),소-한우,5,37.37608,128.136866,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 231-8(강림북길 30-12),소-한우,124,37.377611,128.140461,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 227-5(강림북길 30-6),소-한우,200,37.377916,128.140983,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 1682(태종로강림6길 84),소-한우,75,37.358405,128.117825,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 강림리 2283(강림서길 158-8),소-한우,6,37.379513,128.121186,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 부곡리 1295-6(태종로 677),소-젖소,94,37.329683,128.087322,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 부곡리 344-6(태종로부곡5길 27),소-젖소,69,37.33095,128.094672,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 부곡리 287(태종로부곡4길 22),소-한우,2,37.33473,128.092677,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 부곡리 961-5,소-젖소,181,37.32673,128.07225,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 월현리 1203-1(주천강로 635),소-한우,22,37.359969,128.151969,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 강림면 월현리 433-1(월현속담길 49),소-한우,41,37.350816,128.170925,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 공근면 가곡리 413(가곡로76번길 77),소-한우,16,37.571883,127.975816,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 가곡리 419(가곡로76번길 86),소-한우,129,37.570977,127.976652,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 가곡리 280-6(금계로 458),소-한우,32,37.567675,127.984861,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 가곡리 530-9(가곡로76번길 1),소-한우,34,37.566319,127.977352,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 323-3(봉화마을2길 49),소-한우,15,37.5679,127.965033,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 153(봉화마을길 55-26),소-한우,40,37.562119,127.971958,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 203-1(가곡로 116),소-한우,27,37.565188,127.974141,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 254-1(봉화마을길 22-17),소-한우,47,37.564863,127.967805,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 공근면 공근리 74(가곡로 103),소-한우,52,37.564466,127.975538,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 256-1(봉화마을길 22-11),소-한우,13,37.565016,127.968563,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 147-2(봉화마을길 제1동),소-한우,22,37.561727,127.970222,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 239(봉화마을길 46),소-한우,23,37.562913,127.96965,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 340-7(항재로공근2길 176),소-한우,30,37.569094,127.966577,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 334(항재로 178),소-한우,19,37.569991,127.96685,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 공근리 132(봉화마을길 70-30),소-한우,152,37.56063,127.968613,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 덕촌리 330(공근남로300번길 29-12),소-한우,22,37.524416,127.995147,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 도곡리 47-15(도곡로14번길 17),소-한우,16,37.559252,127.957377,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 도곡리 288-2(도곡로96번길 62),소-한우,186,37.557866,127.947405,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 도곡리 274(도곡로42번길 32),소-한우,10,37.556644,127.952016,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 도곡리 328-7(도곡로 164),소-한우,81,37.550933,127.944919,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 도곡리 128(도곡로42번길 12),소-한우,64,37.557047,127.954138,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 228-2(공근남로162번길 10-4),소-한우,10,37.527527,127.979027,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 284(공근남로169번길 89-17),소-한우,13,37.536833,127.978372,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 205-1(공근남로 135),소-한우,2,37.529611,127.976488,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 119(공근남로169번길 22),소-한우,11,37.530016,127.979772,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 405(공근남로 78-17),소-한우,24,37.529894,127.970852,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 매곡리 146(공근남로162번길 10-23),소-한우,84,37.525983,127.979122,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 부창리 508(금계로 685),소-한우,13,37.58358,127.993113,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 부창리 64(금계동로 495-25),소-한우,4,37.589505,128.019469,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 부창리 6(금계동로 495-39),소-한우,21,37.59003,128.021055,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 336-4(금계로 413),소-한우,41,37.56528,127.982505,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 434-11(금계동로 41),소-한우,23,37.565686,127.987044,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 260(금계동로 25),소-한우,23,37.565286,127.985608,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 404-5(금계동로 157),소-한우,16,37.56593,128.000916,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 179(금계동로 193-16),소-한우,8,37.567338,128.002247,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 271-2(금계동로 23),소-한우,14,37.565,127.985866,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 삼배리 217-2(공근북로 346),소-한우,32,37.559402,127.996933,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 431(금계로상동2길 85),소-한우,18,37.605311,128.006736,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 645-1(금계로상동9길 64),소-한우,7,37.614963,127.989013,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 465(금계로상동2길 ),소-한우,7,37.599666,128.006194,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 422-1(금계로상동2길 45),소-한우,3,37.602972,128.004869,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 351(금계로상동4길 41),소-한우,4,37.604019,127.998244,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상동리 472-1(금계로상동2길 34),소-한우,9,37.601725,128.005736,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상창봉리 158-1(영서로상창5길 139),소-한우,22,37.573205,127.889588,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 상창봉리 291(영서로 1132),소-한우,17,37.580291,127.900688,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 136-1(공근북로 55),소-한우,11,37.539169,128.011533,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 242-2(공근북로 7),소-한우,6,37.535827,128.009022,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 352(공근북로3번길 14-5),소-한우,13,37.536377,128.007494,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 113(공근북로3번길 97),소-한우,11,37.542055,128.008758,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 204-9(공근북로 50-25),소-한우,25,37.537144,128.013591,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 363-4(공근남로419번길 39),소-한우,71,37.536402,128.003608,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 169-1(공근북로45번길 12),소-한우,17,37.539061,128.010333,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 16(공근북로 190-15),소-한우,4,37.551102,128.008683,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 159-1(공근북로 35),소-한우,9,37.537572,128.010036,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 252-1(공근북로 27-3),소-한우,7,37.537202,128.00898,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 수백리 518-2(공근북로 232-6),소-한우,66,37.552975,128.003913,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 338-3(금계서로 435),소-한우,79,37.600266,127.967286,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 9-4(부창어둔길 98-36),소-한우,28,37.587672,127.983297,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 158-1(금계서로 306),소-한우,13,37.591577,127.973558,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 188-2(금계서로 361-27),소-한우,13,37.593869,127.9673,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 197(금계서로 361-46),소-한우,17,37.595205,127.966869,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 324,소-한우,61,37.60228,127.966455,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 어둔리 50-1(금계서로 255),소-한우,12,37.58693,127.974777,축산과,033-340-2397,2021-10-12
부화업,강원도 횡성군 공근면 오산리 145(공근남로 231-15),소-한우,7,37.527394,127.986663,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 오산리 228-1(공근남로 198),소-한우,6,37.526875,127.982241,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 오산리 201-5(공근남로 191),소-한우,28,37.528116,127.98218,축산과,033-340-2397,2021-10-12
가축사육업,강원도 횡성군 공근면 오산리 216-6(공근남로 210),소-한우,2,37.52698,127.98415,축산과,033-340-2397,2021-10-12
