사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),데이터기준일자
명인농장,돼지,강원특별자치도 강릉시 강동면 모전리 260번지 8호  ,강원특별자치도 강릉시 강동면 아래장작골길 100,3000,10,2808,2026-02-03
모전농장,돼지,강원특별자치도 강릉시 강동면 모전리 675번지 2호  ,,2500,12,2565.7,2026-02-03
태완농장,돼지,"강원특별자치도 강릉시 강동면 모전리 109번지 (111,112,113,114) ",강원특별자치도 강릉시 강동면 임곡로 154-54,2000,5,1732,2026-02-03
동해영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 36번지 2호  ,강원특별자치도 강릉시 강동면 임곡로 529-24,15000,34,16479.8,2026-02-03
피내농장,돼지,강원특별자치도 강릉시 강동면 산성우리 373번지 1호  ,강원특별자치도 강릉시 강동면 율곡로 516,4000,9,1629.12,2026-02-03
주문축산,돼지,강원특별자치도 강릉시 구정면 학산리 70번지 69호  ,강원특별자치도 강릉시 구정면 미륵굼길 32,2800,12,3147.86,2026-02-03
영동 해피 팜,돼지,강원특별자치도 강릉시 강동면 산성우리 320번지 11호 외 11필지 ,강원특별자치도 강릉시 강동면 율곡로 707-36,2840,5,2872.32,2026-02-03
주남영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 72번지  ,강원특별자치도 강릉시 강동면 임곡로 651-10,3500,4,3231.86,2026-02-03
유성농장,돼지,강원특별자치도 강릉시 구정면 어단리 472번지 52호  ,강원특별자치도 강릉시 구정면 칠성로 116,1600,7,2880,2026-02-03
신국선,돼지,강원특별자치도 강릉시 옥계면 남양리 1648번지  ,강원특별자치도 강릉시 옥계면 남양2길 201,350,3,466.56,2026-02-03
구라미농장,돼지,강원특별자치도 강릉시 사천면 석교리 757번지 6호  ,강원특별자치도 강릉시 사천면 구라미길 319,2200,5,2932,2026-02-03
주문진희망농장,돼지,강원특별자치도 강릉시 주문진읍 향호리 821번지 2호  ,강원특별자치도 강릉시 주문진읍 거문동길 298-39,1500,7,1526.99,2026-02-03
하슬라농장,돼지,강원특별자치도 강릉시 강동면 모전리 268번지 1호  ,강원특별자치도 강릉시 강동면 아래장작골길 14-19,2000,5,2080.5,2026-02-03
홍가네농장,돼지,강원특별자치도 강릉시 주문진읍 장덕리 46번지  ,강원특별자치도 강릉시 주문진읍 장덕고개길 272-50,1750,5,1650,2026-02-03
주남영농조합법인 2농장,돼지,강원특별자치도 강릉시 강동면 임곡리 619번지  ,강원특별자치도 강릉시 강동면 임곡로 1123,2077,1,943.8,2026-02-03
