사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),데이터기준일자
참샘 농원,한우,강원특별자치도 강릉시 주문진읍 향호리 1562번지 외 1필지 ,강원특별자치도 강릉시 주문진읍 참샘길 149-14,31,2,678.26 ,2023-12-08
바리봉 농장,한우,강원특별자치도 강릉시 주문진읍 향호리 511번지 6호 외 1필지 ,강원특별자치도 강릉시 주문진읍 참샘길 149-95 (외 1필지),22,1,198.00 ,2023-12-08
향호목장,한우,강원특별자치도 강릉시 주문진읍 향호리 862번지  ,,47,2,633.15 ,2023-12-08
향호농장,한우,강원특별자치도 강릉시 주문진읍 향호리 511번지 8호  ,강원특별자치도 강릉시 주문진읍 참샘길 149-95,53,2,400.00 ,2023-12-08
모솔양계,종계산란계,강원특별자치도 강릉시 지변동 372번지 1호  ,강원특별자치도 강릉시 지변길 155 (지변동),11900,1,765.00 ,2023-12-08
민아농장,한우,강원특별자치도 강릉시 두산동 12번지  ,,73,1,1000.00 ,2023-12-08
창영,한우,강원특별자치도 강릉시 연곡면 동덕리 106번지 2호  ,,50,2,522.00 ,2023-12-08
남각농장,한우,강원특별자치도 강릉시 연곡면 동덕리 1504번지  ,강원특별자치도 강릉시 연곡면 남평길 44-101,18,1,700.00 ,2023-12-08
남평축사,한우,강원특별자치도 강릉시 연곡면 동덕리 1435번지  ,,63,5,2336.49 ,2023-12-08
네이쳐 홀릭 팜,한우,강원특별자치도 강릉시 연곡면 동덕리 1412번지 외 1필지 ,강원특별자치도 강릉시 연곡면 남평길 74-26,39,2,848.14 ,2023-12-08
향호(포도)농장,한우,강원특별자치도 강릉시 주문진읍 향호리 609번지 1호  ,,25,1,330.00 ,2023-12-08
동녁골 농장,한우,강원특별자치도 강릉시 연곡면 신왕리 114번지 1호 외 1필지(신왕리 114) ,,32,2,1468.00 ,2023-12-08
명진농장,한우,강원특별자치도 강릉시 강동면 하시동리 110번지 1호 2통  ,강원특별자치도 강릉시 강동면 원장봉길 72,103,1,1324.60 ,2023-12-08
그린한우농장,한우,강원특별자치도 강릉시 강동면 언별리 1101번지 외1필지 ,강원특별자치도 강릉시 강동면 송담서원길 42 (외1필지),111,2,1197.42 ,2023-12-08
안산농장,한우,강원특별자치도 강릉시 강동면 모전리 842번지 88호  ,강원특별자치도 강릉시 강동면 아래장작골길 21,150,4,1376.97 ,2023-12-08
강릉축산농업협동조합(생축사업장),한우,강원특별자치도 강릉시 연곡면 행정리 17번지 1호  ,강원특별자치도 강릉시 연곡면 진고개로 2367-46,125,2,3001.50 ,2023-12-08
명인농장,돼지,강원특별자치도 강릉시 강동면 모전리 260번지 8호  ,강원특별자치도 강릉시 강동면 아래장작골길 100,3000,10,2808.00 ,2023-12-08
모전농장,돼지,강원특별자치도 강릉시 강동면 모전리 675번지 2호  ,,2500,12,2565.70 ,2023-12-08
태완농장,돼지,"강원특별자치도 강릉시 강동면 모전리 109번지 (111,112,113,114) ",강원특별자치도 강릉시 강동면 임곡로 154-54,2000,5,1732.00 ,2023-12-08
동해영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 36번지 2호  ,강원특별자치도 강릉시 강동면 임곡로 529-24,15000,34,16479.80 ,2023-12-08
우리 농장,한우,강원특별자치도 강릉시 강동면 산성우리 산 152번지 9호  ,,10,3,413.20 ,2023-12-08
피내농장,돼지,강원특별자치도 강릉시 강동면 산성우리 373번지 1호  ,강원특별자치도 강릉시 강동면 율곡로 516,1000,6,1265.30 ,2023-12-08
싱싱축산,종계산란계,"강원특별자치도 강릉시 강동면 산성우리 322번지 3호 외 3필지(산성우리 322외 1필지, 산성우리 325) ",강원특별자치도 강릉시 강동면 율곡로 707-72,47732,3,3171.00 ,2023-12-08
계성농장,한우,강원특별자치도 강릉시 옥계면 산계리 315번지  ,강원특별자치도 강릉시 옥계면 산계길 417-58,54,1,344.00 ,2023-12-08
이화농장,한우,강원특별자치도 강릉시 구정면 학산리 1385번지  ,강원특별자치도 강릉시 구정면 구정옥봉길 39,211,4,2691.66 ,2023-12-08
세원농장,한우,강원특별자치도 강릉시 구정면 어단리 324번지 2호  ,강원특별자치도 강릉시 구정면 새말1길 98-22,40,2,397.00 ,2023-12-08
주문축산,돼지,강원특별자치도 강릉시 구정면 학산리 70번지 69호  ,강원특별자치도 강릉시 구정면 미륵굼길 32,2800,12,3147.86 ,2023-12-08
성우농장,한우,강원특별자치도 강릉시 옥계면 산계리 516번지  ,,32,1,330.97 ,2023-12-08
정봉목장,한우,강원특별자치도 강릉시 성산면 금산리 1070번지 외 1필지(금산리 1069) ,,101,3,789.90 ,2023-12-08
자연목장,젖소,강원특별자치도 강릉시 구정면 금광리 1268번지  ,강원특별자치도 강릉시 구정면 범일로 33-20,172,4,2290.00 ,2023-12-08
말미골 한우농장,한우,강원특별자치도 강릉시 구정면 여찬리 578번지 16호  ,강원특별자치도 강릉시 구정면 말미길 42,54,1,863.00 ,2023-12-08
사천농장,한우,강원특별자치도 강릉시 사천면 노동리 428번지  ,강원특별자치도 강릉시 사천면 한과마을길 22-21,85,2,948.00 ,2023-12-08
한일농장,육계,강원특별자치도 강릉시 구정면 구정리 930번지  ,강원특별자치도 강릉시 구정면 청파로 78,50000,3,2228.00 ,2023-12-08
현계농장,육계,강원특별자치도 강릉시 구정면 학산리 61번지 110호  ,강원특별자치도 강릉시 구정면 칠성로 123-8,30000,4,1652.00 ,2023-12-08
인수농장,한우,강원특별자치도 강릉시 박월동 301번지 1호  ,,15,2,441.00 ,2023-12-08
진성목장,한우,강원특별자치도 강릉시 왕산면 왕산리 363번지 4호  ,강원특별자치도 강릉시 왕산면 왕산로 2400,45,2,526.00 ,2023-12-08
번양목장,젖소,강원특별자치도 강릉시 강동면 하시동리 364번지 2호 1통 2반  ,강원특별자치도 강릉시 강동면 시동길 158,38,3,1153.00 ,2023-12-08
푸른들목장,젖소,"강원특별자치도 강릉시 성산면 산북리 1188번지 외 3필지(산북리 1166, 1202, 1189) ",강원특별자치도 강릉시 성산면 내맬길 159,50,3,855.00 ,2023-12-08
산북,젖소,강원특별자치도 강릉시 성산면 산북리 659번지 외 3필 ,강원특별자치도 강릉시 성산면 자포골길 76-6 (외 3필),51,4,898.00 ,2023-12-08
내멜,젖소,강원특별자치도 강릉시 성산면 산북리 591번지 1호 외 1필 ,강원특별자치도 강릉시 성산면 내맬길 194 (외 1필),40,3,964.00 ,2023-12-08
산골농장,한우,강원특별자치도 강릉시 성산면 산북리 1185번지 외 1필지 ,,119,3,1207.00 ,2023-12-08
보미목장,젖소,강원특별자치도 강릉시 주문진읍 향호리 742번지 외 7필지 ,강원특별자치도 강릉시 주문진읍 거문동길 266,60,2,1497.00 ,2023-12-08
황주목장,한우,강원특별자치도 강릉시 연곡면 송림리 677번지 2호  ,,55,6,986.67 ,2023-12-08
삼우목장,한우,강원특별자치도 강릉시 주문진읍 교항리 1165번지 외 2필지 ,강원특별자치도 강릉시 주문진읍 보리골길 48,42,2,466.60 ,2023-12-08
천지목장,한우+젖소,강원특별자치도 강릉시 구정면 학산리 35번지 37호 외 4필지 ,강원특별자치도 강릉시 구정면 옥봉안길 46,72,4,1892.25 ,2023-12-08
대명목장,젖소,강원특별자치도 강릉시 성산면 관음리 821번지 1호 외 4필지 ,강원특별자치도 강릉시 성산면 괴일길 278 (외 4필지),102,4,1429.48 ,2023-12-08
성원농장,한우,강원특별자치도 강릉시 구정면 금광리 775번지 14호  ,강원특별자치도 강릉시 구정면 수골길 66,60,2,1914.00 ,2023-12-08
인덕목장,젖소,강원특별자치도 강릉시 연곡면 유등리 468번지 2호  ,,45,2,502.00 ,2023-12-08
터알농장,한우,강원특별자치도 강릉시 연곡면 행정리 18번지  ,강원특별자치도 강릉시 연곡면 진고개로 2367-36,76,2,1033.00 ,2023-12-08
영동 해피 팜,돼지,강원특별자치도 강릉시 강동면 산성우리 320번지 11호 외 11필지 ,강원특별자치도 강릉시 강동면 율곡로 707-36,2840,5,2872.32 ,2023-12-08
남호 목장,한우,강원특별자치도 강릉시 강동면 모전리 5번지  ,강원특별자치도 강릉시 강동면 임곡로 378-24,70,1,1050.00 ,2023-12-08
