사업장명칭,주사육업종,사업장소재지(지번),사육두수,데이터기준일자
창성축산,한우,강원특별자치도 동해시 괴란동 166번지 1호  ,60,2026-04-09
상현농장,한우,강원특별자치도 동해시 괴란동 240번지 2호  ,94,2026-04-09
운기농장,한우,강원특별자치도 동해시 괴란동 153번지  ,35,2026-04-09
윤성농장,한우,강원특별자치도 동해시 괴란동 280번지 3호  ,23,2026-04-09
일출농장,한우,강원특별자치도 동해시 심곡동 47번지 3호  ,32,2026-04-09
두암농장,한우,강원특별자치도 동해시 괴란동 71번지 2호  ,28,2026-04-09
동물농장,한우,강원특별자치도 동해시 망상동 468번지  ,30,2026-04-09
지경상한우농장,한우,강원특별자치도 동해시 심곡동 357번지  ,28,2026-04-09
동해농장,한우,강원특별자치도 동해시 괴란동 22번지  ,18,2026-04-09
정인농장,한우,강원특별자치도 동해시 심곡동 330번지 1호  ,15,2026-04-09
혁성농장,한우,강원특별자치도 동해시 심곡동 307번지  ,10,2026-04-09
푸른농장,한우,강원특별자치도 동해시 망상동 462번지  ,17,2026-04-09
약천농장,한우,강원특별자치도 동해시 심곡동 360번지 2호  ,15,2026-04-09
느릅재농장,한우,강원특별자치도 동해시 발한동 684번지  ,35,2026-04-09
곰농장,한우,강원특별자치도 동해시 망상동 480번지 1호  ,13,2026-04-09
명진농장,한우,강원특별자치도 동해시 초구동 32번지  ,20,2026-04-09
자연종합농원,한우,강원특별자치도 동해시 만우동 93번지  ,3,2026-04-09
샘말농장,한우,강원특별자치도 동해시 괴란동 198번지 1호  ,4,2026-04-09
부영농장,한우,강원특별자치도 동해시 초구동 119번지 1호  ,3,2026-04-09
도희네 농장,한우,강원특별자치도 동해시 발한동 산 189번지  ,6,2026-04-09
푸른농장,한우,강원특별자치도 동해시 괴란동 72번지 1호 5통 2반  ,17,2026-04-09
장안농장,한우,강원특별자치도 동해시 심곡동 243번지  ,6,2026-04-09
언당골 농장,한우,강원특별자치도 동해시 쇄운동 545번지  ,33,2026-04-09
묵호농장,한우,강원특별자치도 동해시 발한동 421번지 1호  ,20,2026-04-09
희망농장,한우,강원특별자치도 동해시 초구동 170번지  ,12,2026-04-09
도봉농장,한우,강원특별자치도 동해시 괴란동 286번지  ,8,2026-04-09
래동농장,종계/산란계,강원특별자치도 동해시 부곡동 338번지 1호  ,500,2026-04-09
진벌농장,한우,강원특별자치도 동해시 호현동 101번지  ,3,2026-04-09
청운축산농장,한우,강원특별자치도 동해시 쇄운동 285번지 1호  ,7,2026-04-09
혜진농장,한우,강원특별자치도 동해시 괴란동 55번지 1호  ,7,2026-04-09
장원사슴농장,사슴,"강원특별자치도 동해시 삼화동 603번지 4호 삼화동 631, 삼화동 631-2 ",18,2026-04-09
참새농장,한우,강원특별자치도 동해시 초구동 148번지 5호  ,3,2026-04-09
새들농장,한우,강원특별자치도 동해시 초구동 142번지 2호  ,7,2026-04-09
경동축산,육계,강원특별자치도 동해시 부곡동 206번지 1호  ,2500,2026-04-09
형제봉 농장,한우,강원특별자치도 동해시 괴란동 417번지  ,32,2026-04-09
구구랜드 실키팜,육계,강원특별자치도 동해시 어달동 120번지 1호  ,100,2026-04-09
매밑농장,한우,강원특별자치도 동해시 심곡동 58번지 2호  ,2,2026-04-09
일출한우농장,한우,강원특별자치도 동해시 지가동 212번지  ,40,2026-04-09
새들농장,한우,강원특별자치도 동해시 초구동 42번지  ,5,2026-04-09
단봉청계농장,육계,강원특별자치도 동해시 단봉동 463번지 8호  ,100,2026-04-09
685 느릅재농장,한우,강원특별자치도 동해시 발한동 685번지  ,5,2026-04-09
도희네 농장 2,한우,강원특별자치도 동해시 발한동 687번지  ,4,2026-04-09
도연농장,염소,강원특별자치도 동해시 지가동 269번지  ,25,2026-04-09
도희네 염소농장,염소,강원특별자치도 동해시 발한동 산 189번지  ,20,2026-04-09
