시군명,농장명,축종,사육두수,소재지지번주소,위도,경도,데이터기준일
광주시,영근목장,소,90,경기도 광주시 곤지암읍 연곡리 180-2,37.35448885,127.2010099,2026-03-11
광주시,상옥농장,소,17,경기도 광주시 곤지암읍 만선리 133-1,37.42173944,127.3166437,2026-03-11
광주시,동진목장,소,72,경기도 광주시 곤지암읍 봉현리 519-3,37.42385322,127.3113256,2026-03-11
광주시,천우목장,소,36,경기도 광주시 도척면 추곡리 144-2,37.36663506,127.3114866,2026-03-11
광주시,외선목장,소,58,경기도 광주시 곤지암읍 이선리 352,37.37927591,127.2928756,2026-03-11
광주시,가나안농장,소,91,경기도 광주시 도척면 유정리 441-5,37.37775977,127.2909816,2026-03-11
광주시,소농목장,소,3,경기도 광주시 곤지암읍 유사리 산96,37.36636617,127.2979075,2026-03-11
광주시,송준경목장,소,113,경기도 광주시 곤지암읍 수양리 73-3,37.37670737,127.3019214,2026-03-11
광주시,홍주농장,소,18,경기도 광주시 도척면 궁평리 258-1,37.3712066,127.3058223,2026-03-11
광주시,법화축산,소,129,경기도 광주시 곤지암읍 연곡리 188,37.37394292,127.3053116,2026-03-11
광주시,남수목장,소,27,경기도 광주시 곤지암읍 삼합리 139-4,37.38988982,127.3064409,2026-03-11
광주시,만일목장,소,5,경기도 광주시 도척면 상림리 88-27,37.41196061,127.3008494,2026-03-11
광주시,윤상호목장,소,15,경기도 광주시 초월읍 용수리 257-14,37.41196061,127.3008494,2026-03-11
광주시,건일목장,소,71,경기도 광주시 곤지암읍 연곡리 177-1,37.41795076,127.298975,2026-03-11
광주시,여흥농장,소,7,경기도 광주시 도척면 방도리 508,37.36420744,127.3985839,2026-03-11
광주시,백억축산,소,62,경기도 광주시 곤지암읍 오향리 323-4,37.36443419,127.3988756,2026-03-11
광주시,미강농장,소,128,경기도 광주시 곤지암읍 만선리 345,37.36390271,127.4042649,2026-03-11
광주시,우정목장,소,33,경기도 광주시 도척면 추곡리 349-5,37.36496164,127.4124189,2026-03-11
광주시,효성목장,소,108,경기도 광주시 초월읍 지월리 127-1,37.36558129,127.4101787,2026-03-11
광주시,상녹농장,소,46,경기도 광주시 곤지암읍 이선리 452-1,37.3684875,127.4075029,2026-03-11
광주시,원창목장,소,33,경기도 광주시 곤지암읍 연곡리 190,37.36152287,127.3864131,2026-03-11
광주시,학렬농장,소,12,경기도 광주시 곤지암읍 수양리 502-1,37.34867719,127.3924319,2026-03-11
광주시,우리목장,소,41,경기도 광주시 곤지암읍 열미리 542-31,37.37545294,127.4408925,2026-03-11
광주시,혜미농장,소,22,경기도 광주시 도척면 방도리 692,37.37533383,127.4404756,2026-03-11
광주시,영훈목장,소,28,경기도 광주시 퇴촌면 영동리 375,37.37533383,127.4404756,2026-03-11
광주시,성신목장,소,39,경기도 광주시 곤지암읍 수양리 31-1,37.38086825,127.4370245,2026-03-11
광주시,오솔농장,소,117,경기도 광주시 곤지암읍 신촌리 182-1,37.38140413,127.4398209,2026-03-11
광주시,현응목장,소,66,경기도 광주시 초월읍 무갑리 582,37.3829027,127.4347057,2026-03-11
광주시,만흥목장,소,110,경기도 광주시 도척면 유정리 산7-4,37.37859337,127.4305036,2026-03-11
광주시,야자수목장,소,5,경기도 광주시 곤지암읍 오향리 240-1,37.37842448,127.4404527,2026-03-11
광주시,사랑농장,소,36,경기도 광주시 곤지암읍 이선리 234-1,37.33604567,127.3892946,2026-03-11
광주시,전흥복농장,소,3,경기도 광주시 도척면 유정리 204-2,37.34054901,127.3699368,2026-03-11
광주시,일용목장,소,8,경기도 광주시 도척면 노곡리 423-2,37.33352656,127.3935806,2026-03-11
광주시,경수목장,소,10,경기도 광주시 곤지암읍 삼합리 139-4,37.33179686,127.3919018,2026-03-11
광주시,동진목장,소,47,경기도 광주시 곤지암읍 연곡리 314-5,37.33276975,127.3900884,2026-03-11
광주시,규혁농장,소,3,경기도 광주시 곤지암읍 만선리 27-1,37.32723251,127.3927283,2026-03-11
광주시,영송목장,소,57,경기도 광주시 곤지암읍 삼합리 91-6,37.37296298,127.3909155,2026-03-11
광주시,학원목장2,소,67,경기도 광주시 곤지암읍 연곡리 180,37.37286164,127.3939987,2026-03-11
광주시,태신목장,소,9,경기도 광주시 도척면 추곡리 385,37.37148735,127.3895838,2026-03-11
광주시,상돈목장,소,0,경기도 광주시 곤지암읍 만선리 193,37.36352656,127.3870404,2026-03-11
광주시,유원목장,소,19,경기도 광주시 도척면 노곡리 154,37.36620842,127.3898749,2026-03-11
광주시,학수목장,소,22,경기도 광주시 초월읍 산이리 115-5,37.36619033,127.395136,2026-03-11
광주시,가나안농장2,소,129,경기도 광주시 도척면 방도리 687,37.36761745,127.3887684,2026-03-11
광주시,성필농장,소,8,경기도 광주시 오포읍 문형리 35-10,37.36695932,127.388706,2026-03-11
광주시,화성농장,소,31,경기도 광주시 도척면 유정리 306,37.36673354,127.3886062,2026-03-11
광주시,늘푸른농장,소,41,경기도 광주시 도척면 유정리 342-1,37.35647511,127.3723325,2026-03-11
광주시,윤덕영농장,소,28,경기도 광주시 도척면 유정리 196-3,37.36728027,127.372525,2026-03-11
광주시,신선농장,소,80,경기도 광주시 곤지암읍 이선리 82-1,37.36953965,127.3720772,2026-03-11
광주시,진우목장,소,3,경기도 광주시 도척면 진우리 452-2,37.35554788,127.3793502,2026-03-11
광주시,이상의목장,소,35,경기도 광주시 곤지암읍 연곡리 64,37.36568271,127.3720302,2026-03-11
광주시,한우목장집,소,5,경기도 광주시 초월읍 쌍동리 91-2,37.36040233,127.3754495,2026-03-11
광주시,상아목장,소,20,경기도 광주시 도척면 방도리 675,37.35608371,127.3818743,2026-03-11
광주시,수레목장,소,38,경기도 광주시 곤지암읍 연곡리 123-1,37.35612209,127.3737352,2026-03-11
광주시,박수남목장,소,19,경기도 광주시 곤지암읍 삼합리 137-2,37.36800514,127.4323108,2026-03-11
광주시,영동목장,소,53,경기도 광주시 퇴촌면 영동리 350,37.36317115,127.4258445,2026-03-11
광주시,주윤농장,소,15,경기도 광주시 도척면 방도리 541,37.35593751,127.4262945,2026-03-11
광주시,에덴목장,소,34,경기도 광주시 도척면 유정리 28,37.35363291,127.4175075,2026-03-11
광주시,신우목장,소,159,경기도 광주시 초월읍 쌍동리 283-3,37.36120834,127.4187699,2026-03-11
광주시,헌희목장,소,57,경기도 광주시 곤지암읍 만선리 313-3,37.36176617,127.4185963,2026-03-11
광주시,신오향농장,소,131,경기도 광주시 곤지암읍 오향리 232,37.36477039,127.4285983,2026-03-11
광주시,고맙소,소,45,경기도 광주시 곤지암읍 이선리 395-1,37.33749001,127.3297185,2026-03-11
광주시,중앙축산,소,37,경기도 광주시 곤지암읍 오향리 323-5,37.34153927,127.3351112,2026-03-11
광주시,구본능농장,소,21,경기도 광주시 도척면 궁평리 257,37.33755452,127.3236238,2026-03-11
광주시,경수농장,소,141,경기도 광주시 곤지암읍 이선리 118-1,37.33755748,127.3241429,2026-03-11
