농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
한우목장,소,40,경기도 남양주시 오남읍 양지로장자길 2,경기도 남양주시 오남읍 오남리 678번지 2호
상종 목장,소,60,,경기도 남양주시 진건읍 사능리 43번지 1호
백두산목장,소,210,경기도 남양주시 진건읍 사릉로264번길 140-18,경기도 남양주시 진건읍 사능리 44번지
약대울목장,소,50,"경기도 남양주시 경춘로1209번길 77-58 (평내동,527-1,504-2)","경기도 남양주시 평내동 527번지 527-1,504-2"
신학사 목장,소,109,경기도 남양주시 일패로84번길 40 (일패동),경기도 남양주시 일패동 848번지 1호
수막 목장,소,80,경기도 남양주시 수동면 철마산로 269,경기도 남양주시 수동면 수산리 321번지 2호
학래목장,소,19,경기도 남양주시 수동면 철마산로169번길 51-1,경기도 남양주시 수동면 수산리 190번지 외8필지
현경목장,소,63,"경기도 남양주시 와부읍 석실로자운길 150 (,12-20)","경기도 남양주시 와부읍 도곡리 12번지 11호 ,12-20"
진양목장,소,80,경기도 남양주시 와부읍 도심길 121-5,경기도 남양주시 와부읍 도곡리 869번지 3호
유환목장,소,26,경기도 남양주시 조안면 고래산로412번길 17-5,경기도 남양주시 조안면 시우리 219번지 6호
도윤목장,소,8,경기도 남양주시 진건읍 사릉로264번길 140-16,경기도 남양주시 진건읍 사능리 43번지
배구목장,소,41,경기도 남양주시 진건읍 고재로9번길 12,경기도 남양주시 진건읍 배양리 468번지 1호
샘터목장,소,27,,경기도 남양주시 와부읍 도곡리 905번지 4호
해선목장,소,42,"경기도 남양주시 와부읍 석실로 112, (도곡리 894-9 포함)",경기도 남양주시 와부읍 도곡리 894번지 2호 (도곡리 894-9 포함)
현목장,소,7,경기도 남양주시 경강로261번길 49-8 (삼패동),경기도 남양주시 삼패동 252번지 4호
하늬목장,소,50,경기도 남양주시 수동면 철마산로142번길 6,"경기도 남양주시 수동면 수산리 118-4,118-8,123-3,125"
호돌이목장,소,10,,"경기도 남양주시 조안면 시우리 269-14,17,18"
신청송목장,소,30,경기도 남양주시 진건읍 사릉로264번길 228,경기도 남양주시 진건읍 사능리 2번지
경주목장,소,55,경기도 남양주시 진건읍 사릉로264번길 200,경기도 남양주시 진건읍 사능리 18번지
사일오목장,소,59,경기도 남양주시 진건읍 진건오남로390번길 108-1,경기도 남양주시 진건읍 송능리 21번지 4호
송진목장,소,49,경기도 남양주시 진건읍 사릉로156번길 96,경기도 남양주시 진건읍 송능리 371번지 1호
금원목장,소,54,경기도 남양주시 진건읍 사릉로537번길 84-59,경기도 남양주시 진건읍 신월리 448번지 1호
우형목장,소,40,,경기도 남양주시 진건읍 사능리 544번지
태흥목장,소,34,경기도 남양주시 수동면 비룡로 1114,경기도 남양주시 수동면 외방리 570번지 8호
원흥목장,소,38,경기도 남양주시 양정로 404 (삼패동),경기도 남양주시 삼패동 2번지
여주목장,소,20,경기도 남양주시 진건읍 사릉로283번길 25-57,경기도 남양주시 진건읍 사능리 126번지 7호
평화통일목장,소,85,"경기도 남양주시 진건읍 사릉로283번길 25-55 (,-8,-10,-17,-20)","경기도 남양주시 진건읍 사능리 126번지 13호 ,-8,-10,-17,-20"
대강목장,소,22,,경기도 남양주시 조안면 송촌리 684번지
진실목장,소,15,경기도 남양주시 조안면 고래산로412번길 10-27,경기도 남양주시 조안면 시우리 265번지
쎄렉스목장,소,34,경기도 남양주시 조안면 고래산로451번길 47,경기도 남양주시 조안면 시우리 104번지 2호
대현목장,소,38,경기도 남양주시 경강로261번길 31 (삼패동),경기도 남양주시 삼패동 253번지 10호
민들레목장,소,40,경기도 남양주시 와부읍 도심길 119-2,경기도 남양주시 와부읍 도곡리 868번지
길은목장,소,8,경기도 남양주시 와부읍 수레로 512,경기도 남양주시 와부읍 월문리 326번지 4호
다리골목장,소,44,경기도 남양주시 와부읍 월문천로 329,경기도 남양주시 와부읍 월문리 507번지 6호
정의목장,소,17,경기도 남양주시 와부읍 수레로 579-11,경기도 남양주시 와부읍 월문리 245번지 19호
선경목장,소,35,경기도 남양주시 와부읍 안골로25번길 60,경기도 남양주시 와부읍 도곡리 72번지
춘천목장,소,53,"경기도 남양주시 와부읍 안골로25번안길 25 (,838)","경기도 남양주시 와부읍 도곡리 56번지 ,838"
예봉목장,소,13,경기도 남양주시 와부읍 석실로138번길 21-49,경기도 남양주시 와부읍 월문리 1025번지
기현목장,소,65,"경기도 남양주시 와부읍 안골로25번길 83 (,59-3,59-4)","경기도 남양주시 와부읍 도곡리 79번지 ,59-3,59-4"
나영목장,소,36,경기도 남양주시 와부읍 도심길 119-21,경기도 남양주시 와부읍 도곡리 873번지
용현목장,소,30,,경기도 남양주시 와부읍 월문리 469번지
그린목장,소,45,"경기도 남양주시 와부읍 궁촌로 200-68, (도곡리 4-2, 도곡리 4-20, 도곡리 4-26 포함)",경기도 남양주시 와부읍 도곡리 4번지 11호
광열농장,소,65,,"경기도 남양주시 와부읍 도곡리 122번지 1호 ,120-7,68-2"
어룡목장,소,20,경기도 남양주시 와부읍 궁촌로 64,경기도 남양주시 와부읍 도곡리 285번지
초향목장,소,35,,"경기도 남양주시 와부읍 도곡리 823번지 ,817"
태호목장,소,36,경기도 남양주시 화도읍 경춘로2647번길 120-14,경기도 남양주시 화도읍 구암리 318번지
물골안목장,소,145,,"경기도 남양주시 수동면 입석리 403번지 404-1, 410-4, 410-6, 410-7, 410-8, 410-9, 411"
류한목장,소,46,,경기도 남양주시 와부읍 월문리 304번지 8호
양벌목장,소,29,,경기도 남양주시 조안면 시우리 122번지 16호
청일목장,소,33,경기도 남양주시 진건읍 금강로380번길 97-63,경기도 남양주시 진건읍 배양리 914번지
밍크목장,소,6,"경기도 남양주시 진접읍 금강로782번길 213 ((,11-6, 15-2))","경기도 남양주시 진접읍 내곡리 11번지 1호 (,11-6, 15-2)"
원해목장,소,65,경기도 남양주시 양정로 189-1 (이패동),경기도 남양주시 이패동 479번지 3호
현진목장,소,38,경기도 남양주시 와부읍 석실로 385-1,경기도 남양주시 와부읍 율석리 634번지
새영화목장,소,31,경기도 남양주시 화도읍 재재기로139번길 88,경기도 남양주시 화도읍 차산리 387번지
재민목장,소,50,경기도 남양주시 와부읍 수레로486번길 21,경기도 남양주시 와부읍 월문리 288번지
신월목장,소,28,경기도 남양주시 진건읍 사릉로달음1길 5,"경기도 남양주시 진건읍 신월리 148번지 2호 ,486"
자운농장,소,55,경기도 남양주시 와부읍 석실로자운길 117,"경기도 남양주시 와부읍 도곡리 161번지 4호 ,160-1,160-2"
흰돌목장,소,45,경기도 남양주시 진접읍 양진로798번길 101-15,경기도 남양주시 진접읍 연평리 513번지 2호
춘향목장,소,69,경기도 남양주시 진건읍 사릉로 163-150,경기도 남양주시 진건읍 사능리 172번지 71호
중원목장,소,42,경기도 남양주시 진건읍 사릉로적성길 5,경기도 남양주시 진건읍 송능리 397번지 4호
동민목장,소,19,"경기도 남양주시 와부읍 글개울로 124-17 (,683,684)","경기도 남양주시 와부읍 월문리 685번지 ,683,684"
새곡일목장,소,15,경기도 남양주시 진접읍 금강로전도치1길 55,경기도 남양주시 진접읍 내곡리 산 79번지 1호
순흥목장,소,42,경기도 남양주시 진건읍 사릉로156번길 8,"경기도 남양주시 진건읍 송능리 494번지 1호 , 503, 522"
오구목장,소,32,"경기도 남양주시 와부읍 수레로369번길 15 (,408-13)","경기도 남양주시 와부읍 월문리 408번지 10호 ,408-13"
독정목장,소,28,,경기도 남양주시 진건읍 용정리 산 40번지
새선목장,소,54,경기도 남양주시 와부읍 경강로927번길 12-7,"경기도 남양주시 와부읍 팔당리 583번지 , 도곡리 122, 도곡리 122-3"
유구목장,소,40,경기도 남양주시 진접읍 양진로와촌1길 3,"경기도 남양주시 진접읍 연평리 497번지 2호 (,381-1, 381-5)"
정혜목장,소,13,경기도 남양주시 별내면 청학로응달길 47-7,경기도 남양주시 별내면 청학리 112번지 6호
흥산목장,소,160,"경기도 남양주시 진건읍 경춘북로766번길 52 (,산72)","경기도 남양주시 진건읍 진관리 산 73번지 ,산72"
승봉목장,소,46,경기도 남양주시 진건읍 진건우회로 153,경기도 남양주시 진건읍 사능리 428번지 1호
홍욱목장,소,39,경기도 남양주시 진건읍 사릉로적성길 15,경기도 남양주시 진건읍 송능리 399번지 4호
이칠목장,소,57,,"경기도 남양주시 진건읍 신월리 163번지 ,163-1"
매곡목장,소,43,경기도 남양주시 수동면 지둔로371번길 33,경기도 남양주시 수동면 지둔리 353번지 1호
진보목장,소,40,경기도 남양주시 진접읍 금강로927번길 100-20,경기도 남양주시 진접읍 내곡리 산 28번지 6호
내구목장,소,98,"경기도 남양주시 화도읍 폭포로 374-25 (,281-4)","경기도 남양주시 화도읍 창현리 281번지 5호 ,281-4"
선구목장,소,18,,"경기도 남양주시 진건읍 용정리 505번지 ,504"
능성목장,소,61,,"경기도 남양주시 진건읍 사능리 111번지 1호 ,111-2,159-3,159-5"
여울목장,소,52,,경기도 남양주시 와부읍 월문리 산 96번지 3호
근성목장,소,62,경기도 남양주시 와부읍 수레로486번길 7-31,경기도 남양주시 와부읍 월문리 323번지
힘차게농장,소,70,"경기도 남양주시 와부읍 수레로 482-1 (,309-13,309-22)","경기도 남양주시 와부읍 월문리 309번지 1호 ,309-13,309-22"
백제목장,소,29,경기도 남양주시 수동면 지둔로445번길 33-20,경기도 남양주시 수동면 지둔리 279번지 2호 지둔리 279-4
지둔목장,소,53,경기도 남양주시 수동면 비룡로973번길 120,경기도 남양주시 수동면 지둔리 159번지
대유목장,소,130,경기도 남양주시 와부읍 수레로 443-27,경기도 남양주시 와부읍 월문리 산 338번지 1호
낙농목장,소,47,,경기도 남양주시 진접읍 연평리 371번지
영광호농장,소,35,"경기도 남양주시 진건읍 고재로191번길 34 (,190-3,191-2)","경기도 남양주시 진건읍 배양리 190번지 ,190-3,191-2"
장원목장,소,40,,경기도 남양주시 진건읍 신월리 135번지
일신목장,소,84,,경기도 남양주시 진건읍 사능리 16번지
신영명목장,소,13,경기도 남양주시 경강로399번길 50-100 (삼패동),경기도 남양주시 삼패동 99번지 2호
