농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
신하농장,돼지,2500,경기도 안성시 미양면 보촌4길 128,경기도 안성시 미양면 고지리 460번지  
농업회사법인 (주) 대덕,돼지,3600,"경기도 안성시 대덕면 신령로 223, (외 11필지)",경기도 안성시 대덕면 신령리 111번지 5호 (외 11필지) 
은진농장,돼지,1300,경기도 안성시 죽산면 장계길 14-60,경기도 안성시 죽산면 장계리 109번지  
승양농장,돼지,2511,경기도 안성시 죽산면 능앞길 181-78,경기도 안성시 죽산면 장계리 362번지 1호  
네남매농장,돼지,4059,경기도 안성시 죽산면 장계길 14-108,"경기도 안성시 죽산면 장계리 330번지 , 330-1, 330-2, 331, 331-1, 332 "
진영농장,돼지,0,경기도 안성시 죽산면 목동길 47-23,경기도 안성시 죽산면 당목리 666번지 1호 외 8필지 
진성농장,돼지,1000,경기도 안성시 고삼면 한내로 553-22,경기도 안성시 고삼면 대갈리 398번지  
문호농장,돼지,1400,경기도 안성시 일죽면 소라태길 86,경기도 안성시 일죽면 월정리 402번지 외 5필지 
민우농장,돼지,0,경기도 안성시 일죽면 일생로 205-99,"경기도 안성시 일죽면 금산리 510번지 4호 , 510-5 "
학열 농장,돼지,1680,경기도 안성시 원곡면 성주리 221번지  ,경기도 안성시 원곡면 성주리 221번지  
반제농장,돼지,23000,경기도 안성시 원곡면 원당로 335,경기도 안성시 원곡면 반제리 9번지 1호 외 12필지 
유민농장,돼지,600,경기도 안성시 보개면 신곡길 37-15,경기도 안성시 보개면 신안리 116번지 1호  
이레농장,돼지,4500,경기도 안성시 보개면 동평길 90-11,"경기도 안성시 보개면 동평리 413번지 1호 , 324, 324-1, 410-1, 413 "
대유농장,돼지,1400,경기도 안성시 보개면 내방상삼로 216-95,경기도 안성시 보개면 상삼리 452번지  
대유농장,돼지,700,경기도 안성시 보개면 내방상삼로 231-33,경기도 안성시 보개면 상삼리 365번지  
삼본농장,돼지,0,경기도 안성시 보개면 시드물길 28-41,경기도 안성시 보개면 남풍리 588번지 2호 외 10필지 
영진농장,돼지,1300,경기도 안성시 일죽면 장암초교길 87,경기도 안성시 일죽면 장암리 523번지  
송일농장,돼지,902,경기도 안성시 일죽면 죽화로 251-16,경기도 안성시 일죽면 화곡리 652번지  
부건농장,돼지,1550,"경기도 안성시 일죽면 고목길 51-19 (외 4필지(184-1, 1164-1, 1164-2, 1163-10))","경기도 안성시 일죽면 고은리 184번지 외 4필지(184-1, 1164-1, 1164-2, 1163-10) "
신촌목장,돼지,3000,경기도 안성시 일죽면 국동길 128-37,경기도 안성시 일죽면 능국리 81번지 3호 외 8필지 
농업회사법인 주식회사 국제축산,돼지,4500,경기도 안성시 일죽면 금일로 140-116,경기도 안성시 일죽면 화봉리 60번지 6호 외 11필지 
서울농장,돼지,3140,경기도 안성시 미양면 양변길 212-37,"경기도 안성시 미양면 보체리 361번지 1호 , 361-2, 361-4 "
샘골농장,돼지,600,경기도 안성시 미양면 갈전길 43,경기도 안성시 미양면 갈전리 270번지 1호  
농업회사법인 허브한돈팜 주식회사,돼지,3245,경기도 안성시 미양면 미양로 269-114,경기도 안성시 미양면 진촌리 169번지 1호  
세민농장,돼지,600,경기도 안성시 고삼면 풀무골길 50-8,경기도 안성시 고삼면 쌍지리 1183번지  
텃골농장,돼지,112,경기도 안성시 고삼면 이전봉산길 437-16,경기도 안성시 고삼면 봉산리 600번지 5호  
봉춘농장,돼지,3000,경기도 안성시 일죽면 장암로 123-5,경기도 안성시 일죽면 장암리 227번지  
상현농장,돼지,660,경기도 안성시 일죽면 월정리 491번지  ,경기도 안성시 일죽면 월정리 491번지  
(주)안성농장 장암지점,돼지,3600,"경기도 안성시 일죽면 장암로 168-22 (,495번지)","경기도 안성시 일죽면 장암리 494번지 ,495번지 "
장일농장,돼지,2000,경기도 안성시 일죽면 장암로 235-21,경기도 안성시 일죽면 죽림리 38번지  
