사업장명,등록축종,도로명주소,지번주소,사육두수,담당부서,부서전화번호,데이터기준일
형제농장,돼지,경기도 양주시 광적면 부흥로597번길 168-5,경기도 양주시 광적면 광석리 326-18  ,1100,축산과,031-8082-7284,2024-03-06
광남농본축산단지,돼지,경기도 양주시 광적면 삼일로 365-63,경기도 양주시 광적면 덕도리 120-,5700,축산과,031-8082-7284,2024-03-06
상학농장,돼지,경기도 양주시 광적면 광적로156번길 83,경기도 양주시 광적면 석우리 339,600,축산과,031-8082-7284,2024-03-06
성암농장,돼지,경기도 양주시 광적면 화합로74번길 198,경기도 양주시 광적면 효촌리 603,1300,축산과,031-8082-7284,2024-03-06
덕수농장,돼지,경기도 양주시 남면 현석로785번길 128,경기도 양주시 남면 경신리 202-3,700,축산과,031-8082-7284,2024-03-06
이레에듀팜,돼지,경기도 양주시 남면 삼일로 690-61,경기도 양주시 남면 상수리 162-22,1500,축산과,031-8082-7284,2024-03-06
지정팜,돼지,경기도 양주시 남면 화합로610번길 30-262,경기도 양주시 남면 상수리 224,5500,축산과,031-8082-7284,2024-03-06
이천농장,돼지,경기도 양주시 백석읍 양주산성로 864-8,경기도 양주시 남면 상수리 489-18  ,200,축산과,031-8082-7284,2024-03-06
상수2농장,돼지,경기도 양주시 남면 감악산로83번길 439,경기도 양주시 남면 상수리 520,0,축산과,031-8082-7284,2024-03-06
신승농장,돼지,경기도 양주시 남면 삼일로 679-18,경기도 양주시 남면 입암리 413 ,5500,축산과,031-8082-7284,2024-03-06
무림농원,돼지,경기도 양주시 남면 삼일로 708-54,경기도 양주시 남면 입암리 64 ,2400,축산과,031-8082-7284,2024-03-06
해오름팜,돼지,경기도 양주시 남면 은남로 76-85,경기도 양주시 남면 한산리 116 ,4300,축산과,031-8082-7284,2024-03-06
용마농장,돼지,경기도 양주시 백석읍 연곡로 73-64,경기도 양주시 백석읍 연곡리 19-3  ,300,축산과,031-8082-7284,2024-03-06
원일2농장,돼지,경기도 양주시 부흥로910번길 126,경기도 양주시 백석읍 오산리 233-19  ,700,축산과,031-8082-7284,2024-03-06
장흥농장,돼지,경기도 양주시 칠봉산로227번길 76-41,경기도 양주시 봉양동 580-1  ,900,축산과,031-8082-7284,2024-03-06
명선농장,돼지,경기도 양주시 칠봉산로227번길 76-26 (봉양동),경기도 양주시 봉양동 625-1  ,200,축산과,031-8082-7284,2024-03-06
옥성농장,돼지,경기도 양주시 은현면 그루고개로589번길 25-12,경기도 양주시 은현면 도하리 18-1  ,900,축산과,031-8082-7284,2024-03-06
선봉농장,돼지,경기도 양주시 은현면 검준2길 282,경기도 양주시 은현면 도하리 768-1  ,500,축산과,031-8082-7284,2024-03-06
도담농장,돼지,경기도 양주시 은현면 은현로 376-90,경기도 양주시 은현면 봉암리 13 ,2500,축산과,031-8082-7284,2024-03-06
정은농장,돼지,경기도 양주시 은현면 운하로99번길 290-8,경기도 양주시 은현면 봉암리 465-3  ,1300,축산과,031-8082-7284,2024-03-06
양지농장,돼지,경기도 양주시 만송로331번길 18 (만송동),경기도 양주시 은현면 선암리 19-1  ,900,축산과,031-8082-7284,2024-03-06
부농농장,돼지,경기도 양주시 은현로56번길 159-15,경기도 양주시 은현면 선암리 445 ,800,축산과,031-8082-7284,2024-03-06
성원농장,돼지,경기도 양주시 은현면 화합로1169번길 72-3,경기도 양주시 은현면 용암리 358 ,700,축산과,031-8082-7284,2024-03-06
필진농장,돼지,경기도 양주시 은현면 화합로1169번길 78,경기도 양주시 은현면 용암리 359 ,700,축산과,031-8082-7284,2024-03-06
병영농장,돼지,경기도 양주시 은현면 화합로1162번길 70-74,경기도 양주시 은현면 용암리 407-1  ,0,축산과,031-8082-7284,2024-03-06
덕정농장,돼지,경기도 양주시 은현면 화합로1112번길 43-24,경기도 양주시 은현면 용암리 483 ,50,축산과,031-8082-7284,2024-03-06
용암농장,돼지,경기도 양주시 은현면 화합로1080번길 177-18,경기도 양주시 은현면 용암리 869-3  ,800,축산과,031-8082-7284,2024-03-06
양주농장,돼지,경기도 양주시 은현면 화합로720번길 134-3,경기도 양주시 은현면 운암리 529-1  ,900,축산과,031-8082-7284,2024-03-06
비젼축산양돈장,돼지,경기도 양주시 은현면 은현로 137-17,경기도 양주시 은현면 하패리 1006 ,800,축산과,031-8082-7284,2024-03-06
유유농장,돼지,경기도 양주시 은현면 운하로528번길 170,경기도 양주시 은현면 하패리 230 ,1100,축산과,031-8082-7284,2024-03-06
황주농장,돼지,경기도 양주시 은현면 운하로434번길 54-22,경기도 양주시 은현면 하패리 285-1  ,1600,축산과,031-8082-7284,2024-03-06
신실농장,돼지,경기도 양주시 은현면 은현로312번길 232-47,경기도 양주시 은현면 하패리 508-5  ,400,축산과,031-8082-7284,2024-03-06
병동농장,돼지,경기도 양주시 은현면 운하로434번길 54-22,경기도 양주시 은현면 하패리 579-4  ,1700,축산과,031-8082-7284,2024-03-06
다솜농장,돼지,경기도 양주시 은현면 은현로312번길 150-16,경기도 양주시 은현면 하패리 757-1  ,4000,축산과,031-8082-7284,2024-03-06
기령농장,돼지,경기도 양주시 은현면 은현로312번길 194,경기도 양주시 은현면 하패리 767-31  ,1200,축산과,031-8082-7284,2024-03-06
