시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,데이터기준일자
여주시,임원목장,한우,50,경기도 여주시 대신면 풍양3길 8,경기도 여주시 대신면 당산리 산 3번지 2호  ,2026-06-18
여주시,박**목장,한우,60,경기도 여주시 세종대왕면 능서로 246-19,경기도 여주시 세종대왕면 구양리 260번지  ,2026-06-18
여주시,월성목장,한우,199,,경기도 여주시 가남읍 연대리 산 94번지  ,2026-06-18
여주시,대영농장,한우,101,,경기도 여주시 가남읍 건장리 102번지 1호  ,2026-06-18
여주시,황아농장,한우,100,경기도 여주시 북벌로 185-12 (상거동),경기도 여주시 상거동 219번지  ,2026-06-18
여주시,연암목장,한우,50,경기도 여주시 점동면 처리2길 181,경기도 여주시 점동면 처리 59번지  ,2026-06-18
여주시,제일농장,한우,120,,경기도 여주시 가남읍 금당리 13번지 4호  ,2026-06-18
여주시,현욱농장,한우,134,경기도 여주시 가남읍 그랜드그린길 52 (외1필지),경기도 여주시 가남읍 안금리 17번지 외1필지 ,2026-06-18
여주시,산정목장,한우,182,경기도 여주시 가남읍 가여로 60-17,"경기도 여주시 가남읍 양귀리 56번지 3호 외 2필지(59-2, 59-5) ",2026-06-18
여주시,뚝방농장,한우,116,경기도 여주시 가남읍 상활2길 83-23,"경기도 여주시 가남읍 상활리 423번지 1호 외 6필지(419-12, 419-3, 419-2, 420-2, 420-4, 423-2) ",2026-06-18
여주시,한일농장,한우,40,경기도 여주시 가남읍 신해2길 27,경기도 여주시 가남읍 신해리 112번지 1호  ,2026-06-18
여주시,창천목장,한우,80,경기도 여주시 가남읍 금당5길 54-11,"경기도 여주시 가남읍 금당리 51번지 1호 외 2필지(50-4, 51-3) ",2026-06-18
여주시,재건농장,한우,190,경기도 여주시 점동면 건장이길 57-28,경기도 여주시 점동면 장안리 산 18번지 11호 외 1필지(540-1) ,2026-06-18
여주시,반월농장,한우,137,경기도 여주시 점동면 건장이길 57-28 (외1필지),경기도 여주시 점동면 장안리 산 18번지 11호 외1필지 ,2026-06-18
여주시,최**농장,한우,13,경기도 여주시 흥천면 남산로 173-16,경기도 여주시 흥천면 상대리 200번지 1호  ,2026-06-18
여주시,적금농장,한우,104,경기도 여주시 강천면 적금리길 72-19,경기도 여주시 강천면 적금리 240번지 외 2필지 ,2026-06-18
여주시,원**농장,한우,40,경기도 여주시 강천면 말개미길 38-22,경기도 여주시 강천면 걸은리 722번지 5호  ,2026-06-18
여주시,성자목장,한우,100,경기도 여주시 가남읍 일신로 156-49,경기도 여주시 가남읍 신해리 21번지  ,2026-06-18
여주시,산디목장,한우,161,경기도 여주시 가남읍 그랜드그린길 54,경기도 여주시 가남읍 안금리 19번지  ,2026-06-18
여주시,가래울목장,한우,18,경기도 여주시 점동면 점동로 144,경기도 여주시 점동면 사곡리 375번지 2호  ,2026-06-18
여주시,대흥목장,한우,86,경기도 여주시 점동면 청안로 243-28,경기도 여주시 점동면 처리 611번지 1호  ,2026-06-18
여주시,황두라니농장,한우,54,경기도 여주시 신단2길 151-45 (우만동),경기도 여주시 우만동 18번지 외 1필지(18-1) ,2026-06-18
여주시,다온축산,한우,40,경기도 여주시 금사면 소유실길 194-43,"경기도 여주시 금사면 소유리 251번지 외 2필지(-1, -2) ",2026-06-18
여주시,대성목장,한우,200,경기도 여주시 명성로 114-32 (능현동),"경기도 여주시 능현동 166번지 4호 외 6필지(단현동 329-1, 329-2, 166-1, -5, -7, -8) ",2026-06-18
여주시,흥문축산,한우,55,경기도 여주시 흥천면 이여로 837-48,경기도 여주시 흥천면 문장리 320번지 2호  ,2026-06-18
여주시,진주목장,한우,100,경기도 여주시 점동면 건장이길 57-26,경기도 여주시 점동면 장안리 543번지 6호 외 1필지(543-8) ,2026-06-18
여주시,현진농장,한우,15,경기도 여주시 흥천면 남산로 411,경기도 여주시 흥천면 하다리 91번지 2호  ,2026-06-18
여주시,낙원목장,한우,60,경기도 여주시 점동면 성주로 1034,경기도 여주시 점동면 현수리 495번지 1호  ,2026-06-18
여주시,성수농장,한우,30,경기도 여주시 가남읍 가남로 835,경기도 여주시 가남읍 금당리 120번지 3호  ,2026-06-18
여주시,신진농장,한우,150,경기도 여주시 매룡2길 9-33 (매룡동),경기도 여주시 매룡동 45번지 6호  ,2026-06-18
여주시,용두목장,한우,79,,"경기도 여주시 가남읍 건장리 240번지 7호 외 2필지(212-1, 214) ",2026-06-18
여주시,이**농장,한우,22,,경기도 여주시 가남읍 은봉리 566번지 2호  ,2026-06-18
여주시,청목장,한우,20,경기도 여주시 가남읍 건은로 250-33,경기도 여주시 가남읍 은봉리 378번지 1호  ,2026-06-18
여주시,박**농장,한우,9,경기도 여주시 가남읍 흑석로 59-16,경기도 여주시 가남읍 심석리 143번지  ,2026-06-18
여주시,정**농장,한우,47,경기도 여주시 가남읍 흑석로 125,경기도 여주시 가남읍 심석리 11번지  ,2026-06-18
여주시,유진농장,한우,30,경기도 여주시 점동면 가남로 988-6 (외1필지(540)),경기도 여주시 점동면 청안리 539번지 외1필지(540) ,2026-06-18
