사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),데이터기준일자
문○○,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 석동로 ,2026-02-25
원재농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 이여로,2026-02-25
그린농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
모전영농조합법인,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 이여로,2026-02-25
농업회사법인(주)선진한마을 오름설성농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설성로,2026-02-25
설성농장,돼지,경기도 이천시 설성면 ,,2026-02-25
선희농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 공원로 ,2026-02-25
개척농업회사법인 주식회사,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 석동로,2026-02-25
정훈농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대평로 ,2026-02-25
태진농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로 ,2026-02-25
가나안농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 자석로,2026-02-25
농업회사법인(주)선진한마을 제일종축(1),돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 중부대로,2026-02-25
태송농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 원적로,2026-02-25
명진농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 원적로,2026-02-25
수산농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
농업회사법인(주)두미,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로,2026-02-25
지구농장,돼지,경기도 이천시 모가면 ,,2026-02-25
일화농장,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 중부대로,2026-02-25
송암농장(1),돼지,경기도 이천시 호법면 ,,2026-02-25
우리농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 공원로,2026-02-25
두레영농조합법인,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로 ,2026-02-25
개척농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 석동로,2026-02-25
동연농장,돼지,경기도 이천시 신둔면 ,,2026-02-25
대경농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 원적로,2026-02-25
농업회사법인(주) 선진한마을오름율면농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 일생로4,2026-02-25
옥야농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 고월로1,2026-02-25
방아골농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로,2026-02-25
태현농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 대덕산로,2026-02-25
농업회사법인 주식회사 월포,돼지,경기도 이천시 율면 ,경기도 이천시 율면 고월로,2026-02-25
형제농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 주래본죽로,2026-02-25
기대축산,돼지,경기도 이천시 율면 ,경기도 이천시 율면 일생로,2026-02-25
한울농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 일생로,2026-02-25
송말농장,돼지,경기도 이천시 백사면 ,경기도 이천시 백사면 원적로 ,2026-02-25
자유농장,돼지,경기도 이천시 마장면 ,경기도 이천시 마장면 마도로,2026-02-25
신갈농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 사실로,2026-02-25
동원농장,돼지,경기도 이천시 모가면 ,경기도 이천시 모가면 공원로,2026-02-25
선민농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 다솔로 ,2026-02-25
이천축산,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 증신로,2026-02-25
장산농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 원적로,2026-02-25
대원농장,돼지,경기도 이천시 신둔면 ,경기도 이천시 신둔면 석동로 ,2026-02-25
청명농장,돼지,경기도 이천시 부발읍 ,경기도 이천시 부발읍 중부대로,2026-02-25
일심농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 이섭대천,2026-02-25
한얼농장,돼지,경기도 이천시 율면 ,,2026-02-25
하람농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 고당로 ,2026-02-25
율면농장,돼지,경기도 이천시 율면 ,경기도 이천시 율면 고당로 ,2026-02-25
엄일농장,돼지,경기도 이천시 대월면 ,경기도 이천시 대월면 대월로 ,2026-02-25
수형농장,돼지,경기도 이천시 마장면 ,경기도 이천시 마장면 덕이로,2026-02-25
은경농장,돼지,경기도 이천시 호법면 ,경기도 이천시 호법면 송갈로 ,2026-02-25
용수농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로 ,2026-02-25
하나농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 진상미로,2026-02-25
번성농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로 ,2026-02-25
송계농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설가로,2026-02-25
대지영농 암산농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설성로,2026-02-25
반석농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 설가로 ,2026-02-25
와현농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 나래천,2026-02-25
동원농장,돼지,경기도 이천시 장호원읍,경기도 이천시 장호원읍 설장로,2026-02-25
대명농장,돼지,경기도 이천시 설성면 ,경기도 이천시 설성면 대죽로 ,2026-02-25
