가축종류명,농장명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,사육두수,가축분뇨폐수량,가축분뇨처리시설연계처리여부,가축분뇨연계처리세부내용,개인농장폐수처리시설처리방법,운영방법,준공일자,관리기관명,관리부서전화번호,데이터기준일자
젖소, ,,경기도 파주시 법원읍 갈곡리 295-1,37.85292215,126.9092829,,91,3.438,N,,,직접운영,2018-03-15,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 조리읍 둑방길 295-106,경기도 파주시 조리읍 대원리 7-4,37.73145978,126.8307407,031-945-8878,236,8.897,N,,,직접운영,2006-05-04,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 광탄면 광탄천로 419,경기도 파주시 광탄면 방축리 782-2,37.80527047,126.8376695,031-969-1773,128,1.35,N,,,직접운영,2012-05-03,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 광탄면 보광로 1432-50,경기도 파주시 광탄면 창만리 348-11,37.80350611,126.8632066,031-969-1773,176,2.41,N,,,직접운영,2012-08-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 광탄면 보광로553번길 61,경기도 파주시 광탄면 영장리 67-1,37.75613995,126.9058503,,155,2.09,N,,,직접운영,2022-05-24,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개, ,경기도 파주시 광탄면 부흥로483번길 91-44,경기도 파주시 광탄면 발랑리 149-9,37.81065609,126.8965843,,120,0.204,N,,,직접운영,2018-11-22,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 군내면 제3땅굴로 138-90,경기도 파주시 군내면 백연리 1431-1,37.91043598,126.7280398,,110,1.5,N,,,직접운영,2023-03-31,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
개, ,경기도 파주시 문산읍 방촌로1294번길 125,경기도 파주시 문산읍 내포리 728,37.83656929,126.7558436,,118,0.201,N,,,직접운영,2018-03-05,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
사슴, ,경기도 파주시 법원읍 대위골길 319,경기도 파주시 법원읍 삼방리 309-2,37.83439239,126.8748275,,50,0.69,N,,,직접운영,2008-06-17,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
닭, ,경기도 파주시 법원읍 둔방이길 269,경기도 파주시 법원읍 삼방리 171,37.83461667,126.8846631,,10000,0.85,N,,,직접운영,2019-11-29,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
말, ,경기도 파주시 법원읍 만월로675번길 90,경기도 파주시 법원읍 직천리 720-2,37.90289801,126.9104668,,46,0.63,N,,,직접운영,2013-08-14,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
젖소, ,경기도 파주시 법원읍 사임당로 730-31,경기도 파주시 법원읍 가야리 203-3,37.84855459,126.8608096,,63,2.35,N,,,직접운영,2020-02-10,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 법원읍 술이홀로1584번길 70-37,경기도 파주시 법원읍 웅담리 261-5,37.89993783,126.8879362,,125,1.713,N,,,직접운영,2020-05-18,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
소, ,경기도 파주시 법원읍 화합로377번길 23-11,경기도 파주시 법원읍 갈곡리 272-3,37.85072046,126.9073801,,30,0.41,N,,,직접운영,2020-12-16,경기도 파주시 농업기술센터,031-940-4822,2025-12-12
