사업장명,등록축종,읍면동명,소재지도로명주소,소재지지번주소,위도,경도,사육두수,동수,면적,관리기관명,관리부서전화번호,데이터기준일자
부승농장,양돈,파평면,경기도 파주시 파평면 장마루1길 253,경기도 파주시 파평면 덕천리 580-2,37.9396148489,126.8469043529,3002,17,4480,경기도 파주시청,031-940-4909,2026-02-09
한아름농장,양돈,적성면,경기도 파주시 적성면 자장로 94-13,경기도 파주시 적성면 자장리 710,37.9538295588,126.8442940586,2489,11,2005.3,경기도 파주시청,031-940-4909,2026-02-09
솥배미농장,양돈,파평면,경기도 파주시 파평면 배머리길 857-129,경기도 파주시 파평면 마산리 374-1,37.8832714394,126.8462056909,2870,6,3220.01,경기도 파주시청,031-940-4909,2026-02-09
도담이농장,양돈,파평면,경기도 파주시 파평면 파산서원길 434-26,경기도 파주시 파평면 덕천리 154-1,37.9368630664,126.8637962796,200,1,1050.12,경기도 파주시청,031-940-4909,2026-02-09
태화축산,양돈,문산읍,경기도 파주시 문산읍 배머리길 466,경기도 파주시 문산읍 이천리 11-1,37.8741658993,126.8477526448,2783,5,3822.84,경기도 파주시청,031-940-4909,2026-02-09
형제농장,양돈,적성면,경기도 파주시 적성면 산덕골길 240,경기도 파주시 적성면 장현리 138-1,37.9826165554,126.9811165651,2338,12,3449.4,경기도 파주시청,031-940-4909,2026-02-09
JB행복농장,양돈,적성면,경기도 파주시 적성면 배우니안길 187,경기도 파주시 적성면 객현리 138,37.9747597844,126.9563484143,886,1,892.55,경기도 파주시청,031-940-4909,2026-02-09
동우농장,양돈,파평면,경기도 파주시 파평면 파산서원길 434-122,경기도 파주시 파평면 덕천리 144,37.9373791751,126.8612948482,1042,2,993.9,경기도 파주시청,031-940-4909,2026-02-09
당지농장,양돈,파평면,경기도 파주시 파평면 청송로266번길 39-107,경기도 파주시 파평면 금파리 81,37.9258489282,126.8508295666,1632,7,2131.34,경기도 파주시청,031-940-4909,2026-02-09
현일농장,양돈,적성면,경기도 파주시 적성면 율포길 42,경기도 파주시 적성면 율포리 239-13,37.9822407759,126.9588662462,2303,6,3324,경기도 파주시청,031-940-4909,2026-02-09
임마누엘농장,양돈,법원읍,경기도 파주시 법원읍 만월로 824-10,경기도 파주시 법원읍 웅담리 195-1,37.9091665931,126.9012278699,926,6,1267.99,경기도 파주시청,031-940-4909,2026-02-09
거진축산,양돈,법원읍,경기도 파주시 법원읍 술이홀로1131번길 80,경기도 파주시 법원읍 법원리 648-1,37.8679644656,126.8794981971,72,16,3594.38,경기도 파주시청,031-940-4909,2026-02-09
부원농장,양돈,광탄면,경기도 파주시 광탄면 장지산로 217,경기도 파주시 광탄면 분수리 64-2,37.7533619568,126.8802806077,496,1,913.42,경기도 파주시청,031-940-4909,2026-02-09
효진농장,양돈,광탄면,경기도 파주시 광탄면 장지산로 351-25,경기도 파주시 광탄면 분수리 211,37.7583201643,126.8660563186,3795,18,4645.7,경기도 파주시청,031-940-4909,2026-02-09
태희농장,양돈,파주읍,경기도 파주시 파주읍 정문로 711-1,경기도 파주시 파주읍 부곡리 469,37.820029858,126.8180042205,800,7,1168.78,경기도 파주시청,031-940-4909,2026-02-09
경지양돈,양돈,적성면,경기도 파주시 적성면 산덕골길 395,경기도 파주시 적성면 장현리 153-2,37.9787226054,126.9773731045,4813,12,7013.17,경기도 파주시청,031-940-4909,2026-02-09
대양농장,양돈,파평면,경기도 파주시 파평면 파산서원길 130,경기도 파주시 파평면 눌노리 280-8,37.934547457,126.8522100189,1103,10,3428.97,경기도 파주시청,031-940-4909,2026-02-09
전진농장,양돈,파평면,경기도 파주시 파평면 파산서원길 241,경기도 파주시 파평면 덕천리 508-3,37.9382009023,126.8551478887,853,2,959.51,경기도 파주시청,031-940-4909,2026-02-09
고도농장,양돈,파평면,경기도 파주시 파평면 듸링거리길 117-204,경기도 파주시 파평면 덕천리 199,37.940710759,126.8654892308,1096,3,1338.34,경기도 파주시청,031-940-4909,2026-02-09
반달농장,양돈,법원읍,경기도 파주시 법원읍 파평산로 36,경기도 파주시 법원읍 금곡리 291,37.8898378704,126.8762169005,3047,5,2984.83,경기도 파주시청,031-940-4909,2026-02-09
평광농장,양돈,파평면,경기도 파주시 파평면 청송로266번길 59,경기도 파주시 파평면 금파리 116-7,37.9253451229,126.845028835,957,1,1099,경기도 파주시청,031-940-4909,2026-02-09
파주양돈단지(3),양돈,파평면,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 207,37.9440714374,126.8716188845,,5,1919.4,경기도 파주시청,031-940-4909,2026-02-09
파주양돈단지(1),양돈,파평면,경기도 파주시 파평면 듸링거리길 117-76,경기도 파주시 파평면 덕천리 207,37.9440714374,126.8716188845,,7,3371.62,경기도 파주시청,031-940-4909,2026-02-09
유한농장,양돈,파평면,경기도 파주시 파평면 배머리길 857-153,경기도 파주시 파평면 마산리 366,37.8822645987,126.8465257239,1060,6,1253.92,경기도 파주시청,031-940-4909,2026-02-09
술이홀농장,양돈,적성면,경기도 파주시 적성면 배우니안길 115,경기도 파주시 적성면 객현리 130,37.9720917797,126.9578857463,599,5,1432,경기도 파주시청,031-940-4909,2026-02-09
변산농장,양돈,적성면,경기도 파주시 적성면 말굽두리길 170,경기도 파주시 적성면 마지리 228-6,37.9557492857,126.9064882602,2126,5,1932.72,경기도 파주시청,031-940-4909,2026-02-09
한국농장,양돈,적성면,경기도 파주시 적성면 술이홀로 2052-112,경기도 파주시 적성면 마지리 331-6,37.9421901965,126.9049307254,740,4,1231.7,경기도 파주시청,031-940-4909,2026-02-09
해동농장,양돈,법원읍,경기도 파주시 법원읍 술이홀로1494번길 55,경기도 파주시 법원읍 웅담리 460-2,37.9003977889,126.8864743788,2948,9,3423.89,경기도 파주시청,031-940-4909,2026-02-09
삼마농장,양돈,적성면,경기도 파주시 적성면 듸링거리길 326-80,경기도 파주시 적성면 답곡리 2,37.9535803435,126.8705215278,2432,7,2242.4,경기도 파주시청,031-940-4909,2026-02-09
순만농장,양돈,적성면,경기도 파주시 적성면 율곡로2663번길 37,경기도 파주시 적성면 장현리 375-4,37.9846267523,126.9689774006,2239,8,3949.5,경기도 파주시청,031-940-4909,2026-02-09
부흥농장,양돈,조리읍,경기도 파주시 조리읍 둑방길 360,경기도 파주시 조리읍 대원리 1290,37.73050365,126.8308535216,2534,4,2793.88,경기도 파주시청,031-940-4909,2026-02-09
태화농장,양돈,법원읍,경기도 파주시 법원읍 못말길 392-91,경기도 파주시 법원읍 동문리 387-1,37.8739793723,126.8519958087,1075,3,1267.99,경기도 파주시청,031-940-4909,2026-02-09
