사업장명,축산인허가번호,소재지도로명주소,소재지지번주소,위도,경도,면적,주사육업종,사육두수,허가일자,관리기관명,관리부서전화번호,데이터기준일자
새말농장,4060000-033-2004-0003,경기도 파주시 탄현면 장릉로49번길 8,경기도 파주시 탄현면 갈현리 814-8,37.7699610847,126.7151214339,1536.5,종계/산란계,27000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
신안주목장,4060000-033-2004-0004,경기도 파주시 문산읍 문현말길 314-85,경기도 파주시 문산읍 내포리 688-2,37.8356718068,126.7629652671,1820.21,젖소,75,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
파주농장,4060000-033-2004-0012,,경기도 파주시 문산읍 이천리 61,37.8763424725,126.8470747092,867.3,육계,14000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
이천농장,4060000-033-2004-0013,,경기도 파주시 문산읍 이천리 178-1,37.8712126376,126.8389461847,1065.73,육계,20000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
수영농장,4060000-033-2004-0014,경기도 파주시 소라지로 138-59,경기도 파주시 연다산동 407,37.7388980237,126.7022633425,1498.8,육계,23000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
희망농장,4060000-033-2004-0015,경기도 파주시 월롱면 누현2길 76-15,경기도 파주시 월롱면 위전리 522-1,37.7892671601,126.7963582192,1760.4,육계,30000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
성원농장,4060000-033-2004-0016,경기도 파주시 월롱면 통일로 1031-77,경기도 파주시 월롱면 덕은리 28-2,37.8016372681,126.7894027299,988,육계,15000,2004-03-25,경기도 파주시청,031-940-4914,2026-05-20
형제농장,4060000-033-2004-0019,,경기도 파주시 맥금동 533-1,37.7919047454,126.7287332224,1440,육계,25000,2004-04-09,경기도 파주시청,031-940-4914,2026-05-20
금교농장,4060000-033-2004-0020,경기도 파주시 금물다리길 98-5,경기도 파주시 맥금동 235-1,37.7675540209,126.7308122256,578.33,한우,30,2004-04-09,경기도 파주시청,031-940-4914,2026-05-20
광탄농장,4060000-033-2004-0022,경기도 파주시 광탄면 보광로 1432-50,경기도 파주시 광탄면 창만리 348-11,37.8035061054,126.8632066154,1819.8,한우,150,2004-04-10,경기도 파주시청,031-940-4914,2026-05-20
협동농장,4060000-033-2004-0028,경기도 파주시 운정로 113-50,경기도 파주시 상지석동 1846,37.7226474165,126.780535844,1569.08,한우,60,2004-04-10,경기도 파주시청,031-940-4914,2026-05-20
진미농장,4060000-033-2004-0029,경기도 파주시 교하로 1342-2,경기도 파주시 교하동 520,37.7515202037,126.7415212794,1644,육계,25000,2004-04-10,경기도 파주시청,031-940-4914,2026-05-20
조산농장,4060000-033-2004-0030,경기도 파주시 조리읍 뇌조로178번길 46,경기도 파주시 조리읍 뇌조리 124-4,37.7532542499,126.8209020585,1327.2,육계,20000,2004-04-10,경기도 파주시청,031-940-4914,2026-05-20
담안농장,4060000-033-2004-0032,,경기도 파주시 적성면 장현리 419,37.9782333611,126.9671253216,1150,육계,20000,2023-04-20,경기도 파주시청,031-940-4914,2026-05-20
하이얀목장,4060000-033-2004-0036,경기도 파주시 적성면 장뜰안길 192,경기도 파주시 적성면 장현리 산 57,37.9754856653,126.9784505628,1625.62,젖소,77,2004-04-20,경기도 파주시청,031-940-4914,2026-05-20
구구농장,4060000-033-2004-0037,경기도 파주시 적성면 산덕골길 109,경기도 파주시 적성면 장현리 44-1,37.9873842854,126.9848454434,1167,종계/산란계,10000,2004-04-25,경기도 파주시청,031-940-4914,2026-05-20
강현농장,4060000-033-2004-0039,경기도 파주시 적성면 장마루16길 346-38,경기도 파주시 적성면 답곡리 506,37.9493334695,126.8554765741,1185,육계,20000,2004-04-25,경기도 파주시청,031-940-4914,2026-05-20
소래축산,4060000-033-2004-0042,경기도 파주시 광탄면 장지산로141번길 45,경기도 파주시 광탄면 용미리 133-11,37.7471295561,126.8829222318,3918.67,육계,40000,2004-04-25,경기도 파주시청,031-940-4914,2026-05-20
부승농장,4060000-033-2004-0048,경기도 파주시 파평면 장마루1길 253,경기도 파주시 파평면 덕천리 580-2,37.9396148489,126.8469043529,4480,돼지,2800,2004-04-25,경기도 파주시청,031-940-4914,2026-05-20
한아름농장,4060000-033-2004-0050,경기도 파주시 적성면 자장로 94-13,경기도 파주시 적성면 자장리 710,37.9538295588,126.8442940586,2005.3,돼지,1350,2004-05-07,경기도 파주시청,031-940-4914,2026-05-20
솥배미농장,4060000-033-2004-0060,경기도 파주시 파평면 배머리길 857-129,경기도 파주시 파평면 마산리 374-1,37.8832714394,126.8462056909,3220.01,돼지,2500,2004-05-17,경기도 파주시청,031-940-4914,2026-05-20
도담이농장,4060000-033-2004-0062,경기도 파주시 파평면 파산서원길 434-26,경기도 파주시 파평면 덕천리 154,37.9368630664,126.8637962796,1050.12,돼지,400,2004-05-19,경기도 파주시청,031-940-4914,2026-05-20
백운농장,4060000-033-2004-0064,경기도 파주시 적성면 윗배우니길 414,경기도 파주시 적성면 객현리 70,37.9606175089,126.9560537889,2434.8,육계,38000,2004-05-20,경기도 파주시청,031-940-4914,2026-05-20
태화축산,4060000-033-2004-0066,경기도 파주시 문산읍 배머리길 466,경기도 파주시 문산읍 이천리 11-1,37.8741658993,126.8477526448,3822.84,돼지,3000,2004-05-20,경기도 파주시청,031-940-4914,2026-05-20
대능축산,4060000-033-2004-0077,경기도 파주시 법원읍 오류골길 107-8,경기도 파주시 법원읍 대능리 10-5,37.8421187675,126.8815213906,1022.25,육계,15000,2004-05-28,경기도 파주시청,031-940-4914,2026-05-20
형제농장,4060000-033-2004-0084,경기도 파주시 적성면 산덕골길 240,경기도 파주시 적성면 장현리 138-1,37.9826165554,126.9811165651,3449.4,돼지,,2004-06-01,경기도 파주시청,031-940-4914,2026-05-20
오뚜기목장,4060000-033-2004-0086,경기도 파주시 적성면 배우니안길 112-8,경기도 파주시 적성면 객현리 131-6,37.9719938891,126.958507773,1992.09,젖소,97,2004-06-14,경기도 파주시청,031-940-4914,2026-05-20
아사비목장,4060000-033-2004-0087,경기도 파주시 적성면 배우니안길 219-34,경기도 파주시 적성면 객현리 185,37.973916294,126.9543530923,3164.33,젖소,93,2004-06-14,경기도 파주시청,031-940-4914,2026-05-20
꼬끼촌,4060000-033-2004-0091,경기도 파주시 적성면 장뜰안길 50,경기도 파주시 적성면 장현리 226,37.9777042179,126.9716740612,3738.56,육계,30000,2004-06-15,경기도 파주시청,031-940-4914,2026-05-20
금신목장,4060000-033-2004-0093,,경기도 파주시 맥금동 373-1,37.7734283204,126.7266746894,784.46,한우,50,2004-08-27,경기도 파주시청,031-940-4914,2026-05-20
