사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),위도,경도,데이터기준일자
토성농장,돼지,경기도 평택시 고덕면 두릉리 207번지  ,경기도 평택시 고덕면 고덕북로 301-49,3000,3,1923.3,37.0681904,127.0228801,2024-06-30
문곡농장,돼지,경기도 평택시 고덕면 문곡리 204번지  ,경기도 평택시 고덕면 문곡3길 41-5,1000,3,1251.7,37.05716696,127.0051779,2024-06-30
다올농장,돼지,경기도 평택시 고덕면 문곡리 41번지 1호 외1필지(41-2) ,경기도 평택시 고덕면 문곡1길 128,1000,1,732.6,37.07107739,127.004839,2024-06-30
에스팜,돼지,경기도 평택시 고덕면 문곡리 773번지 7호  ,경기도 평택시 고덕면 문곡3길 71-69,2954,4,2659.2,37.06056001,126.9950478,2024-06-30
한우물농장,돼지,경기도 평택시 고덕면 해창리 152번지 152-1 ,경기도 평택시 고덕면 고덕로 36-49,995,4,2787.12,37.02553589,127.022347,2024-06-30
지성농장,돼지,경기도 평택시 고덕면 해창리 153번지 외 1필지(153-1) ,경기도 평택시 고덕면 고덕로 36-51,2500,3,1999.2,37.02526267,127.0230923,2024-06-30
해창농장,돼지,경기도 평택시 고덕면 해창리 154번지  ,경기도 평택시 고덕면 고덕로 36-53,574,1,803.7,37.0253847,127.0236864,2024-06-30
덕풍 2농장,돼지,경기도 평택시 독곡동 186번지 외1필지(186-2) ,경기도 평택시 송탄고가길 185-9 (독곡동),1081,4,1514,37.09251408,127.0761123,2024-06-30
덕풍3농장,돼지,경기도 평택시 독곡동 187번지  ,경기도 평택시 송탄고가길 185-13 (독곡동),1155,2,1617.3,37.09289444,127.0763552,2024-06-30
한양농원,돼지,경기도 평택시 서탄면 마두리 408번지 25호  ,경기도 평택시 서탄면 마두길 75-109,1695,1,2372.84,37.10810166,127.0013177,2024-06-30
덕풍농장,돼지,경기도 평택시 서탄면 적봉리 383번지 7호  ,경기도 평택시 서탄면 정문회화로 483,2185,10,3060,37.09818397,127.0289078,2024-06-30
천연농산,돼지,경기도 평택시 안중읍 대반리 188번지 1호  ,경기도 평택시 안중읍 대반3길 30-12,10932,5,7652.66,36.98454984,126.9542613,2024-06-30
용성농장,돼지,경기도 평택시 안중읍 용성리 123번지 1호  ,,300,1,332,37.01831365,126.9408872,2024-06-30
창원농장,돼지,경기도 평택시 안중읍 학현리 337번지 1호 외2필지 ,경기도 평택시 안중읍 학현4길 132 (외2필지),3207,7,4491.02,36.9967425,126.9170769,2024-06-30
장안농장,돼지,경기도 평택시 안중읍 학현리 338번지  ,경기도 평택시 안중읍 현화6길 100,269,2,900,36.9967425,126.9170769,2024-06-30
해림2농장,돼지,"경기도 평택시 오성면 교포리 2번지 5호 외 4필지(2-7, -29, 신리 91-50) ",경기도 평택시 오성면 교포1길 150-3,3000,5,2396.47,37.00735592,127.0044669,2024-06-30
해림농장,돼지,경기도 평택시 오성면 양교리 740번지  ,경기도 평택시 오성면 양교길 227-12,1132,3,1258.29,37.01798238,126.9594901,2024-06-30
농업회사법인 다리농산 주식회사,돼지,"경기도 평택시 오성면 양교리 744번지 , 744-1, 746, 746-1, 746-3, 746-4, 748, 746-5 ",경기도 평택시 오성면 양교길 267,2029,8,2841.42,37.01825963,126.9571939,2024-06-30
현석농장,돼지,경기도 평택시 오성면 양교리 749번지 1호  ,경기도 평택시 오성면 양교길 267,18000,7,1884.5,37.01776758,126.9555487,2024-06-30
