시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,내가리농장,돼지,1120,경기도 포천시 소흘읍 죽엽산로237번길 21-41,경기도 포천시 소흘읍 고모리 488번지 3호  ,,,2025-01-13
포천시,팔팔농장,돼지,1050,경기도 포천시 창수면 가영로150번길 74,경기도 포천시 창수면 가양리 155번지 2호  ,,,2025-01-13
포천시,보성농장,돼지,1200,경기도 포천시 창수면 옥수로298번길 52,경기도 포천시 창수면 주원리 85번지 4호  ,,,2025-01-13
포천시,지성농장,돼지,600,경기도 포천시 창수면 옥수로298번길 56,경기도 포천시 창수면 주원리 85번지 2호  ,,,2025-01-13
포천시,성운축산,돼지,740,경기도 포천시 창수면 가영로 281-26,경기도 포천시 창수면 가양리 256번지 4호  ,,,2025-01-13
포천시,덕암농장,돼지,2470,경기도 포천시 창수면 방골길 182,"경기도 포천시 창수면 운산리 18번지 1호 ,-2 ",,,2025-01-13
포천시,세일농장,돼지,1000,경기도 포천시 창수면 가영로 281-38,"경기도 포천시 창수면 가양리 256번지 2호 -1, -14 ",,,2025-01-13
포천시,덕영농장,돼지,2000,경기도 포천시 일동면 정자골길 92,"경기도 포천시 일동면 길명리 538번지 1호 ,-4,-5,-6,-8,-10,537번지 ",,,2025-01-13
포천시,수용농장,돼지,2500,"경기도 포천시 영북면 호국로4232번길 45-29, 등 3필지(자일리 461,-1,459-2)","경기도 포천시 영북면 자일리 461번지 등 3필지(-1,459-2) ",,,2025-01-13
포천시,샘터농장,돼지,1500,경기도 포천시 화현면 봉화로709번길 32,경기도 포천시 화현면 지현리 134번지  ,,,2025-01-13
포천시,성동농장,돼지,300,경기도 포천시 일동면 무리울길 265,경기도 포천시 일동면 화대리 11번지 3호  ,,,2025-01-13
포천시,농업회사법인 그린팜스 유한회사,돼지,3300,경기도 포천시 이동면 화동로1908번길 87-9,"경기도 포천시 이동면 연곡리 306번지 3호 외 4필지(307-2, 308-2, 285-3, 310-4) ",,,2025-01-13
포천시,태양농장,돼지,677,경기도 포천시 화현면 문암동길 129,경기도 포천시 화현면 지현리 334번지 13호  ,,,2025-01-13
포천시,대수농장,돼지,700,경기도 포천시 영북면 영북로12번길 73,"경기도 포천시 영북면 문암리 16번지 , -1, -5 ",,,2025-01-13
포천시,건섭농장,돼지,700,경기도 포천시 일동면 정자골1길 121,경기도 포천시 일동면 길명리 187번지  ,,,2025-01-13
포천시,농업회사법인 주식회사 현주팜,돼지,21201,경기도 포천시 관인면 창동로1586번길 30-23,"경기도 포천시 관인면 초과리 520번지 6호 ,-9,-12 ",,,2025-01-13
포천시,멧골농장,돼지,900,경기도 포천시 신북면 양지말1길 70-124,경기도 포천시 신북면 계류리 136번지  ,,,2025-01-13
포천시,태산농장,돼지,1502,경기도 포천시 일동면 수입로157번길 85,경기도 포천시 일동면 수입리 276번지 3호  ,,,2025-01-13
포천시,정연farm,돼지,1000,경기도 포천시 영북면 영북로12번길 63,"경기도 포천시 영북면 문암리 13번지 , -1, 14-3 ",,,2025-01-13
포천시,수경농장,돼지,1100,경기도 포천시 관인면 창동로1071번길 80,경기도 포천시 관인면 중리 163번지 1호  ,,,2025-01-13
포천시,성태농장,돼지,500,경기도 포천시 신북면 신평로16번길 12,경기도 포천시 신북면 만세교리 341번지 3호  ,,,2025-01-13
포천시,동암영농조합법인 심곡농장,돼지,1300,경기도 포천시 신북면 깊이울로 18-29,경기도 포천시 신북면 심곡리 392번지  ,,,2025-01-13
포천시,농업회사법인 주식회사 화현축산,돼지,8500,경기도 포천시 영중면 사은다리1길 99,경기도 포천시 영중면 거사리 984번지 1호  ,,,2025-01-13
포천시,한주농장,돼지,1500,경기도 포천시 군내면 꽃배산2길 59,"경기도 포천시 군내면 명산리 151번지 1호 , 152-5 ",,,2025-01-13
포천시,영일농장,돼지,1800,경기도 포천시 가산면 방산길 230,경기도 포천시 가산면 정교리 147번지 3호  ,,,2025-01-13
포천시,다우농장,돼지,1150,경기도 포천시 창수면 옥수로298번길 12,"경기도 포천시 창수면 주원리 419번지 , -2, -3, -7, 473-2, 106-1 ",,,2025-01-13
포천시,한솔농장,돼지,3000,경기도 포천시 영중면 호국로 3371-39,경기도 포천시 영중면 성동리 361번지 2호  ,,,2025-01-13
포천시,원영농장,돼지,200,경기도 포천시 이동면 도리돌길 29-33,경기도 포천시 이동면 도평리 389번지  ,,,2025-01-13
포천시,-,돼지,700,경기도 포천시 이동면 화동로 2006,경기도 포천시 이동면 장암리 177번지 4호 외 1필지(279번지) ,,,2025-01-13
포천시,화엄농장,돼지,1300,경기도 포천시 군내면 꽃배산3길 27-67,경기도 포천시 군내면 명산리 82번지 1호  ,,,2025-01-13
포천시,감암축산,돼지,900,경기도 포천시 가산면 정교길 87,경기도 포천시 가산면 정교리 482번지 1호  ,,,2025-01-13
포천시,어진농장,돼지,706,"경기도 포천시 일동면 무리울길 245-13 (외2필지(23-1,-2))","경기도 포천시 일동면 화대리 16번지 7호 외2필지(23-1,-2) ",,,2025-01-13
포천시,정경농장,돼지,800,경기도 포천시 일동면 무리울길 185,경기도 포천시 일동면 화대리 58번지  ,,,2025-01-13
포천시,문화농장,돼지,630,경기도 포천시 일동면 무리울길 152,"경기도 포천시 일동면 화대리 60번지 2호 ,-3, -4, -5 ",,,2025-01-13
포천시,무리울농장,돼지,600,경기도 포천시 일동면 무리울길 110,경기도 포천시 일동면 화대리 69번지  ,,,2025-01-13
포천시,한솔농장2,돼지,200,경기도 포천시 영북면 호국로 3371-48,경기도 포천시 영북면 야미리 760번지 3호  ,,,2025-01-13
포천시,-,돼지,100,경기도 포천시 영중면 호국로 3344,경기도 포천시 영중면 성동리 348번지  ,,,2025-01-13
포천시,영송농장,돼지,1000,경기도 포천시 영중면 은잿말길 230-1,경기도 포천시 영중면 영송리 190번지 1호  ,,,2025-01-13
포천시,양문농장,돼지,990,경기도 포천시 영중면 나삼길 45-27,경기도 포천시 영중면 양문리 933번지 2호  ,,,2025-01-13
포천시,동우축산,돼지,600,경기도 포천시 영중면 나삼길 102-32,경기도 포천시 영중면 양문리 1112번지  ,,,2025-01-13
포천시,신흥농장,돼지,494,,경기도 포천시 영중면 금주리 723번지  ,,,2025-01-13
포천시,삼양농장,돼지,1450,"경기도 포천시 영중면 호국로2709번길 36-1, 등 4필지(724,-2,-3,704-1)","경기도 포천시 영중면 금주리 724번지 2호 등 4필지(724,-3,704-1) ",,,2025-01-13
포천시,갈보리농장,돼지,600,경기도 포천시 창수면 포천로2721번길 26-45,경기도 포천시 창수면 추동리 395번지 2호  ,,,2025-01-13
포천시,정석농장,돼지,1600,경기도 포천시 관인면 느릅실길 44 (외1필지(93번지)),경기도 포천시 관인면 탄동리 92번지 외1필지(93번지) ,,,2025-01-13
포천시,자성농장,돼지,360,경기도 포천시 일동면 수입로280번길 20-36,경기도 포천시 일동면 수입리 560번지 7호  ,,,2025-01-13
포천시,-,돼지,22,,경기도 포천시 이동면 도평리 330번지  ,,,2025-01-13
포천시,재영농장,돼지,500,경기도 포천시 신북면 포천로2505번길 89,경기도 포천시 신북면 고일리 195번지  ,,,2025-01-13
포천시,두남축산,돼지,895,경기도 포천시 군내면 반월산성로153번길 82-44 (외1필지(32-3)),경기도 포천시 군내면 하성북리 32번지 외1필지(32-3) ,,,2025-01-13
포천시,동진축산,돼지,1260,경기도 포천시 군내면 꽃배산2길 105,경기도 포천시 군내면 명산리 104번지 2호  ,,,2025-01-13
포천시,미여니농장,돼지,2300,경기도 포천시 일동면 성장로 950-102,"경기도 포천시 일동면 사직리 588번지 4호 588-40, 588-41, 588-42 ",,,2025-01-13
포천시,협성농장,돼지,770,경기도 포천시 이동면 화동로2290번길 96,경기도 포천시 이동면 도평리 303번지  ,,,2025-01-13
포천시,고찬모농장,돼지,447,경기도 포천시 이동면 제비울1길 44-87,경기도 포천시 이동면 연곡리 599번지 3호  ,,,2025-01-13
포천시,호남농장,돼지,40,경기도 포천시 이동면 여우고개로255번길 207,경기도 포천시 이동면 장암리 산 285번지  ,,,2025-01-13
포천시,소망농장,돼지,320,경기도 포천시 이동면 새낭로 497,경기도 포천시 이동면 노곡리 1093번지 1호  ,,,2025-01-13
포천시,동암영농조합법인(신애농장),돼지,9300,경기도 포천시 영중면 가영로535번길 71,경기도 포천시 영중면 영송리 685번지 1호 ,,,2025-01-13
