연번,대표축종,농장명,소재지1, 사육두수 ,동수,면적(제곱미터)
1,돼지,대화농장,경기도 화성시 만세구 마도면 고모리 149-1  ,2000,9,1525.97
2,돼지,화성 아린팜스,경기도 화성시 만세구 마도면 백곡리 740-1  ,,3,886
3,돼지,광명농장,경기도 화성시 만세구 남양읍 무송리 580  ,3000,10,2443
4,돼지,개성농장,경기도 화성시 만세구 팔탄면 고주리 313  ,1700,6,1760.78
5,돼지,진양농장,"경기도 화성시 만세구 장안면 독정리 794 11 ,-12,-1 ",2000,10,4738.2
6,돼지,서농농장,경기도 화성시 효행구 정남면 내리 127-1  ,1000,4,1127.14
7,돼지,농업회사법인주식회사향남,경기도 화성시 만세구 향남읍 상두리 276-1  ,4500,11,5551.8
8,돼지,삼보농장,경기도 화성시 만세구 향남읍 동오리 683  ,1600,6,1344.55
9,돼지,입북농장,경기도 화성시 만세구 양감면 사창리 198-3  ,4100,15,5382
10,돼지,고잔축산,경기도 화성시 만세구 양감면 사창리 777-3  ,1970,8,2412.84
11,돼지,농업회사법인 인남축산 유한회사,경기도 화성시 만세구 양감면 사창리 777 2 사창리 777-5 ,,1,4813.08
12,돼지,믿음농장,경기도 화성시 만세구 향남읍 백토리 111  ,1200,7,1478.4
13,돼지,정일농장,경기도 화성시 만세구 장안면 석포리 86-2  ,3800,9,3799.88
14,돼지,동지골,경기도 화성시 만세구 양감면 사창리 646-4  ,2317,10,3008
15,돼지,농업회사법인 우정축산 유한회사,경기도 화성시 만세구 우정읍 운평리 990-4  ,1870,4,2451.98
16,돼지,농업회사법인우정축산유한회사2,경기도 화성시 만세구 우정읍 운평리 1044-2  ,1000,4,1372
17,돼지,청하농장,경기도 화성시 만세구 마도면 청원리 950  ,1000,5,1582
18,돼지,산골농장1,"경기도 화성시 효행구 비봉면 쌍학리 70 1 , 71 ",710,3,649.8
19,돼지,한라농장,경기도 화성시 만세구 우정읍 멱우리 440-3  ,3000,7,4021.92
20,돼지,재성농장,경기도 화성시 만세구 향남읍 증거리 176  ,2300,5,2279.67
21,돼지,매산농장,경기도 화성시 효행구 매송면 야목리 622-3  ,600,4,1092.5
22,돼지,삼진농장,경기도 화성시 만세구 양감면 대양리 1431  ,2500,6,3056.54
23,돼지,화홍농장,경기도 화성시 만세구 양감면 정문리 645-1  ,1500,4,1007
24,돼지,서울농장,경기도 화성시 만세구 남양읍 온석리 250-1  ,2200,9,3105.5
25,돼지,충북목장,경기도 화성시 효행구 정남면 용수리 29-1  ,500,2,342
26,돼지,청송축산,경기도 화성시 효행구 정남면 수면리 138-1  ,2000,6,2315
27,돼지,원농장,경기도 화성시 만세구 장안면 사랑리 572-1  ,800,3,960
28,돼지,운봉농장,경기도 화성시 만세구 장안면 사랑리 572-1  ,800,3,960
29,돼지,동환목장,경기도 화성시 만세구 송산면 지화리 28-14  ,808,5,1578
30,돼지,신양축산,경기도 화성시 만세구 양감면 사창리 653-1  ,3900,12,7567.6
31,돼지,원광농장,경기도 화성시 효행구 매송면 숙곡리 130  ,1300,2,1131.24
32,돼지,성지농장,경기도 화성시 만세구 마도면 쌍송리 607  ,400,4,539.25
33,돼지,성실농장,경기도 화성시 만세구 남양읍 온석리 250-2  ,1200,6,1771.07
34,돼지,정성농장,"경기도 화성시 만세구 남양읍 신남리 858 1 ,-2,-4,-6,-9 ",2500,8,2686
35,돼지,대명농장,경기도 화성시 만세구 우정읍 주곡리 100-3  ,2000,6,2233.7
36,돼지,산돌화성농장,경기도 화성시 만세구 우정읍 주곡리 829-1  ,6000,12,6103.32
37,돼지,신도농장,경기도 화성시 만세구 향남읍 동오리 330-7  ,1150,3,1220
38,돼지,민지농장,경기도 화성시 효행구 정남면 문학리 700  ,500,5,1053
39,돼지,영암농장,경기도 화성시 효행구 정남면 오일리 57  ,2000,6,1747.25
40,돼지,대원농장,경기도 화성시 만세구 우정읍 화수리 579-8  ,1800,5,2520.5
41,돼지,개미농장,경기도 화성시 만세구 우정읍 주곡리 125-28  ,250,7,2381.32
42,돼지,지양농장,경기도 화성시 만세구 장안면 독정리 763-5  ,5000,12,7740.46
43,돼지,청명축산,"경기도 화성시 만세구 우정읍 운평리 916 ,916-2,917-1,917-3 ",1258,5,1783.24
44,돼지,재형농장,경기도 화성시 만세구 남양읍 온석리 416  ,1800,8,1793.8
