연번,대표축종,농장명,소재지1, 사육두수 ,동수,면적(제곱미터)
1,산란계,야마기시즘실현지영농조합법인,경기도 화성시 만세구 향남읍 구문천리 604-96  ,30000,21,14489.12
2,젖소,오뚜기목장,경기도 화성시 만세구 장안면 금의리 600-1  ,200,4,3831.14
3,돼지,대화농장,경기도 화성시 만세구 마도면 고모리 149-1  ,2000,9,1525.97
4,돼지,화성 아린팜스,경기도 화성시 만세구 마도면 백곡리 740-1  ,,3,886
5,돼지,광명농장,경기도 화성시 만세구 남양읍 무송리 580  ,3000,10,2443
6,젖소,백목장,"경기도 화성시 만세구 장안면 수촌리 1434 ,1434-2,1434-11 ",120,7,1603.95
7,돼지,개성농장,경기도 화성시 만세구 팔탄면 고주리 313  ,1700,6,1760.78
8,돼지,진양농장,"경기도 화성시 만세구 장안면 독정리 794 11 ,-12,-1 ",2000,10,4738.2
9,돼지,서농농장,경기도 화성시 효행구 정남면 내리 127-1  ,1000,4,1127.14
10,돼지,농업회사법인주식회사향남,경기도 화성시 만세구 향남읍 상두리 276-1  ,4500,11,5551.8
11,돼지,삼보농장,경기도 화성시 만세구 향남읍 동오리 683  ,1600,6,1344.55
12,돼지,입북농장,경기도 화성시 만세구 양감면 사창리 198-3  ,4100,15,5382
13,돼지,고잔축산,경기도 화성시 만세구 양감면 사창리 777-3  ,1970,8,2412.84
14,돼지,농업회사법인 인남축산 유한회사,경기도 화성시 만세구 양감면 사창리 777 2 사창리 777-5 ,,1,4813.08
15,돼지,믿음농장,경기도 화성시 만세구 향남읍 백토리 111  ,1200,7,1478.4
16,한우,건두연구소,경기도 화성시 만세구 남양읍 안석리 산 113-5  ,40,5,976
17,돼지,정일농장,경기도 화성시 만세구 장안면 석포리 86-2  ,3800,9,3799.88
18,육계,여흥농장,경기도 화성시 만세구 팔탄면 덕우리 250-1  ,48000,6,2207
19,한우,고객축산,경기도 화성시 만세구 장안면 장안리 1090-1  ,70,4,1705.73
20,산란계,비봉농장,경기도 화성시 효행구 비봉면 자안리 312-1  ,23000,1,1670.76
21,한우,형성목장,경기도 화성시 효행구 봉담읍 유리 274-1  ,43,3,542.85
22,육계,정인양계장,경기도 화성시 만세구 팔탄면 율암리 산 56-79  ,50000,6,2809.25
23,육계,성웅농장,경기도 화성시 만세구 마도면 고모리 512-3  ,70000,5,3677
24,한우,이을농장,경기도 화성시 만세구 송산면 육일리 446  ,50,1,498
25,육계,무지개농장,경기도 화성시 만세구 송산면 고포리 605-1  ,70000,2,3300
26,한우,인영목장,경기도 화성시 만세구 서신면 백미리 569-7  ,45,1,450
27,돼지,동지골,경기도 화성시 만세구 양감면 사창리 646-4  ,2317,10,3008
28,돼지,농업회사법인 우정축산 유한회사,경기도 화성시 만세구 우정읍 운평리 990-4  ,1870,4,2451.98
29,돼지,농업회사법인우정축산유한회사2,경기도 화성시 만세구 우정읍 운평리 1044-2  ,1000,4,1372
30,육계,다원농장,경기도 화성시 만세구 우정읍 화수리 964-17  ,35000,3,1980
31,젖소,불기둥농장,경기도 화성시 만세구 우정읍 곡리 249-16  ,151,5,2122.9
32,한우,멱우농장,경기도 화성시 만세구 우정읍 멱우리 241-3  ,32,2,870
33,육계,영남농장,경기도 화성시 만세구 장안면 독정리 864  ,50000,7,3300
34,한우,순정목장,경기도 화성시 만세구 팔탄면 화당리 104-1  ,44,5,911.63
35,산란계,장**건강란,경기도 화성시 만세구 장안면 장안리 279  ,35000,4,2475
36,육계,대산농장,경기도 화성시 만세구 장안면 독정리 1779  ,50200,2,2366.3
37,젖소,영승목장,경기도 화성시 만세구 남양읍 북양리 572-3  ,58,4,1409.9
38,젖소,송림목장,"경기도 화성시 만세구 남양읍 송림리 340 7 ,8,2 ",67,4,728.7
39,한우,영중목장,경기도 화성시 만세구 남양읍 문리 314-2  ,80,5,868
40,한우,대정목장,경기도 화성시 만세구 남양읍 문리 861-1  ,51,2,771
41,한우,일호목장,경기도 화성시 만세구 남양읍 원천리 18-1  ,35,3,660
42,산란계,봉황농장,경기도 화성시 만세구 남양읍 신남리 906-16  ,69000,1,4584.72
43,젖소,유나목장,경기도 화성시 만세구 장안면 독정리 산 316  ,90,3,1609.7
44,돼지,청하농장,경기도 화성시 만세구 마도면 청원리 950  ,1000,5,1582
45,한우,대림농장,경기도 화성시 병점구 황계동 117 16 117-17 ,26,3,388.64
46,염소,초원목장,"경기도 화성시 효행구 매송면 숙곡리 530 ,531 ",20,3,838.2
47,돼지,산골농장1,"경기도 화성시 효행구 비봉면 쌍학리 70 1 , 71 ",710,3,649.8
48,젖소,재은목장,경기도 화성시 만세구 팔탄면 해창리 241-10  ,145,3,2645.1
49,돼지,한라농장,경기도 화성시 만세구 우정읍 멱우리 440-3  ,3000,7,4021.92
50,돼지,재성농장,경기도 화성시 만세구 향남읍 증거리 176  ,2300,5,2279.67
51,한우,정의농장,경기도 화성시 만세구 향남읍 도이리 263-5  ,22,4,402
52,한우,경기농장,경기도 화성시 병점구 황계동 117-7  ,4,3,328
53,젖소,조란목장,경기도 화성시 만세구 장안면 석포리 59-8  ,7,6,1821.23
54,육계,상승농장,경기도 화성시 만세구 마도면 고모리 578-12  ,70000,3,3566
55,한우,그린농장,경기도 화성시 만세구 송산면 육일리 665 1 -4 ,24,2,561
56,젖소,새대진 목장,"경기도 화성시 만세구 송산면 봉가리 500-1, 502-3 ",70,2,726
57,젖소,봉가농장,경기도 화성시 만세구 송산면 사강리 361-4  ,67,2,1175.87
58,젖소,새준영목장,경기도 화성시 만세구 남양읍 송림리 666-1  ,60,6,1164.11
59,젖소,사랑해목장,경기도 화성시 만세구 남양읍 활초리 114-1  ,40,5,1933
60,젖소,농발이목장,경기도 화성시 만세구 남양읍 신남리 503  ,55,6,1338.8
61,젖소,신**목장,"경기도 화성시 만세구 남양읍 장덕리 553 1 ,-2 ",61,4,1980
62,한우,가든한우농장,경기도 화성시 효행구 봉담읍 상리 353  ,130,1,276.48
63,젖소,진주농장,경기도 화성시 효행구 비봉면 구포리 941-43  ,99,5,2435
64,한우,한우농장,경기도 화성시 만세구 남양읍 원천리 655  ,35,1,495.62
65,한우,장덕한우농장,"경기도 화성시 만세구 남양읍 장덕리 255 ,256,254-2 ",92,4,716.5
66,육계,매바위양계장,경기도 화성시 만세구 남양읍 장덕리 947  ,40000,2,2760
67,젖소,안양목장,경기도 화성시 만세구 송산면 천등리 614-1  ,45,3,905
