사업장명칭,주사육업종,소재지도로명주소,소재지지번주소,사육두수,데이터기준일자
대기농산 영농조합법인,종계/산란계,"경기도 가평군 설악면 유명로 1090-246, 외 유명로 1090-284","경기도 가평군 설악면 천안리 3번지 4호 외 3필지(140, 141-1,141-2) ",174000,2026-06-01
진주목장,한우,,"경기도 가평군 설악면 신천리 240번지 ,242-1,243,243-3,243-4,879-1 ",190,2026-06-01
그린농장,한우,경기도 가평군 설악면 뽕나뭇골길 6,경기도 가평군 설악면 천안리 555번지 1호  ,30,2026-06-01
조아농장,육계,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81번지 1호  ,30000,2026-06-01
두밀축산,한우,경기도 가평군 가평읍 태봉두밀로 557-113,"경기도 가평군 가평읍 두밀리 258번지 1호 외3필지(258,258-5,258-6) ",270,2026-06-01
경반농장,돼지,경기도 가평군 가평읍 석봉로191번길 193-22,"경기도 가평군 가평읍 경반리 64번지 번지 외(59, 61, 66, 산19-1) ",819,2026-06-01
자연농장,돼지,경기도 가평군 북면 막골길 18-12,"경기도 가평군 북면 제령리 340번지 외 2필지(341,341-1) ",954,2026-06-01
송죽농장,돼지,경기도 가평군 조종면 보름골길 209-138,"경기도 가평군 조종면 마일리 225번지 외 4필지(221,220,225-2,224) ",4500,2026-06-01
창진농장,육계,,경기도 가평군 북면 화악리 257번지 1호  ,60000,2026-06-01
상철농장,육계,경기도 가평군 북면 화악지암길 223-109,"경기도 가평군 북면 화악리 270번지 6호 ,270-3번지 ",52800,2026-06-01
산하농장,육계,경기도 가평군 북면 화악지암길 223-87,"경기도 가평군 북면 화악리 269번지 7호 외 2필지(258,258-1) ",120000,2026-06-01
웅추농장,육계,경기도 가평군 북면 화악지암길 223-85,경기도 가평군 북면 화악리  ,60000,2026-06-01
재원농장,한우,경기도 가평군 북면 화악지암길 268,경기도 가평군 북면 화악리 134번지 1호  ,32,2026-06-01
진성목장,한우,경기도 가평군 북면 멱골로272번길 37,경기도 가평군 북면 목동리 352번지  ,24,2026-06-01
부경목장,한우,경기도 가평군 북면 화악지암길 218,경기도 가평군 북면 화악리 275번지 7호  ,68,2026-06-01
새말농장,한우,경기도 가평군 북면 화악지암길 194-10,경기도 가평군 북면 화악리 283번지 3호 외 14필지 ,270,2026-06-01
청홍목장,한우,경기도 가평군 북면 화악지암길 224,"경기도 가평군 북면 화악리 107번지 외 4필지(107-1,107-4,107-5,109-7) ",90,2026-06-01
가골목장A,한우,경기도 가평군 북면 가화로 819,경기도 가평군 북면 이곡리 155번지 23호  ,60,2026-06-01
금호농장,한우,,경기도 가평군 북면 화악리 670번지 2호  ,33,2026-06-01
순산목장,한우,경기도 가평군 북면 가화로 898-61,경기도 가평군 북면 이곡리 17번지 11호  ,96,2026-06-01
