사업장명칭,축종분류,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,관리기관명
광남농본축산단지,우제류,돼지,경기도 양주시 남면 경신리 562  ,경기도 양주시 남면 삼일로 36510,,양주시 농업기술센터 축산과
유유농장,우제류,돼지,경기도 양주시 은현면 하패리 230,경기도 양주시 은현면 운하로528번길 170,800,양주시 농업기술센터 축산과
강원목장,우제류,한우,경기도 양주시 백석읍 연곡리 2151  ,경기도 양주시 백석읍 연곡로 19318,65,양주시 농업기술센터 축산과
선암농장,가금류,산란계,경기도 양주시 은현면 선암리 366,경기도 양주시 은현면 은현로56번길 127,60591,양주시 농업기술센터 축산과
무궁화농장,가금류,산란계,경기도 양주시 은현면 선암리 367,경기도 양주시 은현면 은현로56번길 127,78726,양주시 농업기술센터 축산과
준이목장,우제류,젖소,경기도 양주시 은현면 도하리 874,경기도 양주시 은현면 그루고개로 464,97,양주시 농업기술센터 축산과
양주불곡산한우목장,우제류,한우,경기도 양주시 광적면 석우리 4511,경기도 양주시 광적면 광적로188번길 16,182,양주시 농업기술센터 축산과
창희1농장,우제류,한우,경기도 양주시 은현면 운암리 38211,경기도 양주시 은현면 운하로101번길 164,26,양주시 농업기술센터 축산과
영훈목장,가금류,육계,경기도 양주시 은현면 운암리 386,경기도 양주시 은현면 운하로101번길 122, 소 47 육계0 ,양주시 농업기술센터 축산과
선업목장,우제류,한우,경기도 양주시 은현면 하패리 1069,경기도 양주시 은현면 은남로203번길 3422,48,양주시 농업기술센터 축산과
형석농장,우제류,한우,경기도 양주시 남면 상수리 553,경기도 양주시 남면 화합로465번길 123,86,양주시 농업기술센터 축산과
풍영목장,우제류,젖소,경기도 양주시 봉양동 3661,경기도 양주시 칠봉산로 215 (봉양동),7,양주시 농업기술센터 축산과
태양농장,가금류,산란계,경기도 양주시 은현면 하패리 8041,경기도 양주시 은현면 은현로312번길 121213,87400,양주시 농업기술센터 축산과
승호농장,가금류,산란계,경기도 양주시 은현면 봉암리 10,경기도 양주시 은현면 은현로 37687,90000,양주시 농업기술센터 축산과
쌍알농장,가금류,산란계,경기도 양주시 은현면 봉암리 621,경기도 양주시 은현면 은남로203번길 118,9956,양주시 농업기술센터 축산과
삼일농장,가금류,산란계,경기도 양주시 은현면 운암리 4401,경기도 양주시 은현면 화합로691번길 8366,51000,양주시 농업기술센터 축산과
에그콜,가금류,산란계,경기도 양주시 남면 한산리 5782,경기도 양주시 남면 운하로99번길 345,56000,양주시 농업기술센터 축산과
기령농장,우제류,돼지,경기도 양주시 은현면 하패리 76731  ,경기도 양주시 은현면 은현로312번길 194,300,양주시 농업기술센터 축산과
도하농장,가금류,산란계,경기도 양주시 은현면 도하리 206,경기도 양주시 은현면 그루고개로426번길 606,38850,양주시 농업기술센터 축산과
상학농장,우제류,돼지,경기도 양주시 광적면 석우리 339,경기도 양주시 광적면 광적로156번길 83,471,양주시 농업기술센터 축산과
삼현농장,우제류,돼지,경기도 양주시 광적면 우고리 6331  ,경기도 양주시 광적면 현석로175번길 2738,1100,양주시 농업기술센터 축산과
병영농장,우제류,돼지,경기도 양주시 은현면 용암리 4071  ,경기도 양주시 은현면 화합로1162번길 7074,  ,양주시 농업기술센터 축산과
덕정농장,우제류,돼지,경기도 양주시 은현면 용암리 483,경기도 양주시 은현면 화합로1112번길 4324,5,양주시 농업기술센터 축산과
덕수농장,우제류,돼지,경기도 양주시 남면 경신리 2023  ,경기도 양주시 남면 현석로785번길 128,728,양주시 농업기술센터 축산과
제삼목장,우제류,젖소,경기도 양주시 은현면 운암리 5224,경기도 양주시 은현면 화합로720번길 175,113,양주시 농업기술센터 축산과
이천농장,가금류,산란계,경기도 양주시 백석읍 홍죽리 34018,경기도 양주시 백석읍 양주산성로 8648,48800,양주시 농업기술센터 축산과
이레농장,우제류,돼지,경기도 양주시 남면 매곡리 3721  ,경기도 양주시 남면 휴암로451번길 173,1220,양주시 농업기술센터 축산과
대원목장,우제류,젖소,경기도 양주시 은현면 도하리 707,경기도 양주시 은현면 그루고개로221번길 307125,128,양주시 농업기술센터 축산과
크로바 목장,우제류,젖소,경기도 양주시 은현면 도하리 7112,경기도 양주시 은현면 그루고개로221번길 307115,125,양주시 농업기술센터 축산과
은성농장,우제류,돼지,경기도 양주시 광적면 가납리 2361  ,경기도 양주시 광적면 그루고개로221번길 121,1600,양주시 농업기술센터 축산과
