사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),위도,경도,등록일자, 사육두수 ,데이터기준일자
(주)연천농장,육계,경상남도 거제시 남부면 탑포리 129번지  ,경상남도 거제시 남부면 탑포2길 86,34.76381171,128.6072339,2004-10-14,35000,2026-06-11
진화농장,한우,경상남도 거제시 둔덕면 학산리 681번지  ,경상남도 거제시 둔덕면 아사3길 143,34.86946472,128.4894239,2004-10-16,52,2026-06-11
한호농장,한우,경상남도 거제시 둔덕면 학산리 569번지  ,경상남도 거제시 둔덕면 아사3길 25-5,34.86574,128.48023,2004-10-16,24,2026-06-11
다두농장,한우,경상남도 거제시 거제면 옥산리 569번지 5호  ,경상남도 거제시 거제면 동림길 60-1,34.86886031,128.5903767,2004-11-12,14,2026-06-11
대천농장,한우,경상남도 거제시 둔덕면 방하리 71번지  ,경상남도 거제시 둔덕면 죽전길 233-2,34.84896807,128.5305324,2004-11-12,73,2026-06-11
노자산 농장,한우,경상남도 거제시 동부면 부춘리 113번지 4호  ,경상남도 거제시 동부면 부춘길 144,34.80128108,128.6119257,2004-11-12,48,2026-06-11
유일축산,한우,경상남도 거제시 둔덕면 학산리 39번지  ,경상남도 거제시 둔덕면 아사1길 83,34.86429242,128.4867169,2004-11-24,79,2026-06-11
진흥농장,한우,경상남도 거제시 둔덕면 학산리 595번지  ,경상남도 거제시 둔덕면 아사3길 17-39,34.86769161,128.4815457,2004-11-24,13,2026-06-11
율북농장,한우,경상남도 거제시 장목면 율천리 100번지  ,경상남도 거제시 장목면 대금산로 694-18,34.97184593,128.6889645,2004-12-10,42,2026-06-11
버들농장,한우,경상남도 거제시 장목면 유호리 127번지  ,경상남도 거제시 장목면 유호3길 63-1,35.02355145,128.7195819,2004-12-10,62,2026-06-11
한울타리 농장,종계/산란계,경상남도 거제시 남부면 다대리 73번지  ,경상남도 거제시 남부면 다대1길 32,34.73967161,128.6277446,2004-12-24,7500,2026-06-11
이래농장,종계/산란계,경상남도 거제시 동부면 부춘리 284번지 3호  ,경상남도 거제시 동부면 율포로 495-60,34.80151609,128.5990771,2005-01-15,10000,2026-06-11
혜인농장,육계,"경상남도 거제시 둔덕면 방하리 80번지 외 2필지(80-2, 80-4) ",,34.84785931,128.5325279,2005-01-31,40000,2026-06-11
죽마고우 한우 농장,한우,경상남도 거제시 하청면 어온리 105번지  ,,35.00104507,128.6434083,2005-01-31,59,2026-06-11
정골농장,한우,경상남도 거제시 장목면 외포리 1721번지  ,경상남도 거제시 장목면 외포4길 144,34.94405594,128.7031039,2005-01-31,35,2026-06-11
영등농장,한우,경상남도 거제시 둔덕면 학산리 25번지 4호  ,경상남도 거제시 둔덕면 아사3길 106-18,34.86632127,128.4893945,2005-02-24,14,2026-06-11
경원농장,한우,경상남도 거제시 둔덕면 거림리 76번지  ,경상남도 거제시 둔덕면 거림3길 37-8,34.86182032,128.5141493,2005-02-24,16,2026-06-11
아사리농장,한우,경상남도 거제시 둔덕면 학산리 447번지 1호  ,경상남도 거제시 둔덕면 아사3길 3-10,34.86550652,128.4788646,2005-02-24,34,2026-06-11
거제축산,한우,경상남도 거제시 거제면 내간리 108번지  ,경상남도 거제시 거제면 내간2길 39-29,34.85135057,128.5636688,2005-02-24,10,2026-06-11
성원농장,한우,경상남도 거제시 장목면 장목리 457번지 1호  ,경상남도 거제시 장목면 거제북로 1018-2,34.98278222,128.6695791,2005-02-28,1,2026-06-11
송학농장,돼지,경상남도 거제시 동부면 부춘리 251번지 1호  ,경상남도 거제시 동부면 율포로 430,34.79720724,128.6016508,2005-03-04,1800,2026-06-11
청수목장,한우,경상남도 거제시 삼거동 431번지  ,경상남도 거제시 삼거5길 85-29 (삼거동),34.85045498,128.6459929,2005-03-15,15,2026-06-11
양지농원,한우,경상남도 거제시 수월동 401번지  ,경상남도 거제시 수월1길 30-37 (수월동),34.88018118,128.6574003,2005-03-15,5,2026-06-11
우진농장,육계,경상남도 거제시 사등면 오량리 67번지 3호  ,경상남도 거제시 사등면 오량4길 86,34.87742998,128.4980379,2005-03-21,40000,2026-06-11
사구장골농장,한우,경상남도 거제시 동부면 부춘리 284번지 8호  ,,34.80151609,128.5990771,2005-03-21,5,2026-06-11
