가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 남면 상가리 1070번지  ,경상남도 남해군 남면 고실로 193-68,100 ,1770 ,2022-11-07
한우,경상남도 남해군 서면 정포리 1015번지 2호  ,경상남도 남해군 서면 남서대로 2838-26,86 ,2927 ,2022-11-07
한우,경상남도 남해군 서면 서호리 232번지 2호  ,,125 ,942 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 549번지 3호  ,경상남도 남해군 이동면 남해대로2385번길 22-180,40 ,499 ,2022-11-07
한우,경상남도 남해군 삼동면 봉화리 729번지  ,경상남도 남해군 삼동면 봉화로 201-19,106 ,1117 ,2022-11-07
한우,경상남도 남해군 삼동면 영지리 1026번지 12호  ,경상남도 남해군 삼동면 난음로 313,60 ,436 ,2022-11-07
한우,경상남도 남해군 남해읍 평리 617번지  ,경상남도 남해군 남해읍 당넘로247번길 78-26,25 ,868 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1009번지  ,경상남도 남해군 서면 남서대로2197번길 26-4,50 ,576 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 1742번지  ,경상남도 남해군 이동면 남해대로2513번길 48,16 ,436 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 1043번지 1호  ,경상남도 남해군 고현면 화방로211번길 47-11,60 ,655 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 12번지  ,경상남도 남해군 이동면 남해대로2264번길 42-14,36 ,486 ,2022-11-07
한우,경상남도 남해군 고현면 도마리 1891번지 4호 B동 ,경상남도 남해군 고현면 남해대로 3264-67 (B동),19 ,2460 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1175번지  ,경상남도 남해군 서면 남서대로 2179-47,122 ,1135 ,2022-11-07
한우,경상남도 남해군 서면 남상리 571번지  ,경상남도 남해군 서면 남서대로 2328-18,110 ,1376 ,2022-11-07
"한우, 육우",경상남도 남해군 설천면 금음리 652번지 1호  ,경상남도 남해군 설천면 강진로438번길 23,31 ,347 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 1157번지  ,경상남도 남해군 고현면 화방로211번길 75,180 ,1729 ,2022-11-07
한우,경상남도 남해군 서면 연죽리 1149번지  ,,81 ,560 ,2022-11-07
한우,경상남도 남해군 이동면 난음리 207번지 2호  ,경상남도 남해군 이동면 난음로 249,25 ,185 ,2022-11-07
한우,경상남도 남해군 서면 중현리 1327번지  ,경상남도 남해군 서면 화방로 611-15,29 ,660 ,2022-11-07
한우,경상남도 남해군 이동면 용소리 1417번지  ,경상남도 남해군 이동면 남서대로342번길 48-8,40 ,385 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 430번지 2호  ,경상남도 남해군 이동면 남해대로2385번길 22-82,29 ,300 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 936번지 3호  ,경상남도 남해군 고현면 화방로211번길 1,78 ,703 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 548번지 외 2필지 ,경상남도 남해군 고현면 남치로177번길 15-53 (외 2필지),60 ,1316 ,2022-11-07
한우,경상남도 남해군 서면 노구리 963번지  ,경상남도 남해군 서면 남서대로 2431,43 ,1035 ,2022-11-07
한우,경상남도 남해군 이동면 초음리 89번지 1호  ,경상남도 남해군 이동면 남해대로2264번길 42-7,217 ,2257 ,2022-11-07
한우,경상남도 남해군 설천면 문의리 61번지  ,경상남도 남해군 설천면 강진로476번길 43,60 ,600 ,2022-11-07
한우,경상남도 남해군 설천면 비란리 1100번지 3호  ,경상남도 남해군 설천면 설천로148번길 58-4,339 ,2768 ,2022-11-07
