사업장명,축종,사육두수,소재지도로명주소,소재지지번주소,데이터기준일자
봉황농장,돼지,982,경상남도 밀양시 무안면 무안리  ****************,경상남도 밀양시 무안면 사명대사 ****************,2025-11-05
대흥농장,돼지,992,경상남도 밀양시 하남읍 귀명리  ****************,경상남도 밀양시 하남읍 금포길  ****************,2025-11-05
용인농장,돼지,1081,경상남도 밀양시 초동면 금포리  ****************,경상남도 밀양시 초동면 금포안길 ****************,2025-11-05
명성농장,돼지,1871,경상남도 밀양시 초동면 명성리  ****************,경상남도 밀양시 초동면 명성로  ****************,2025-11-05
,돼지,500,경상남도 밀양시 부북면 퇴로리  ****************,경상남도 밀양시 부북면 퇴로로  ****************,2025-11-05
얼음골 양돈장,돼지,2736,경상남도 밀양시 산내면 남명리  ****************,경상남도 밀양시 산내면 얼음골옛 ****************,2025-11-05
에코팜,돼지,2827,경상남도 밀양시 단장면 구천리  ****************,경상남도 밀양시 단장면 도래재로 ****************,2025-11-05
남천축산,돼지,800,경상남도 밀양시 산외면 금곡리  ****************,경상남도 밀양시 산외면 금곡4길 ****************,2025-11-05
감돈축산,돼지,4696,경상남도 밀양시 단장면 감물리  ****************,경상남도 밀양시 단장면 감물1길 ****************,2025-11-05
쌍용축산,돼지,2944,경상남도 밀양시 산내면 봉의리  ****************,경상남도 밀양시 산내면 봉의3길 ****************,2025-11-05
은돼지농장,돼지,1966,경상남도 밀양시 상남면 동산리  ****************,경상남도 밀양시 상남면 상남로  ****************,2025-11-05
평산양돈,돼지,380,경상남도 밀양시 무안면 중산리  ****************,,2025-11-05
그린농장,돼지,1844,경상남도 밀양시 무안면 모로리  ****************,경상남도 밀양시 무안면 덕암길  ****************,2025-11-05
성주 농장,돼지,515,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
성림농장,돼지,661,경상남도 밀양시 부북면 퇴로리  ****************,경상남도 밀양시 부북면 퇴로로  ****************,2025-11-05
,돼지,1000,경상남도 밀양시 초동면 명성리  ****************,경상남도 밀양시 초동면 명성로  ****************,2025-11-05
삼원농장,돼지,2350,경상남도 밀양시 무안면 웅동리  ****************,경상남도 밀양시 무안면 웅동2길 ****************,2025-11-05
미래축산,돼지,2600,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 무안로  ****************,2025-11-05
대성FINE,돼지,2180,경상남도 밀양시 단장면 무릉리  ****************,경상남도 밀양시 단장면 무릉4길 ****************,2025-11-05
부흥축산,돼지,1774,경상남도 밀양시 단장면 무릉리  ****************,경상남도 밀양시 단장면 무릉1길 ****************,2025-11-05
조은축산,돼지,1487,경상남도 밀양시 무안면 덕암리  ****************,경상남도 밀양시 무안면 신숲길  ****************,2025-11-05
쌍용축산 2농장,돼지,3949,경상남도 밀양시 청도면 구기리  ****************,경상남도 밀양시 청도면 조천길  ****************,2025-11-05
,돼지,583,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
신망농장,돼지,2793,경상남도 밀양시 무안면 무안리  ****************,경상남도 밀양시 무안면 신숲길  ****************,2025-11-05
우정농장,돼지,700,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
미리벌축산,돼지,1700,경상남도 밀양시 무안면 정곡리  ****************,경상남도 밀양시 무안면 운정길  ****************,2025-11-05
송백 농장,돼지,550,경상남도 밀양시 산내면 송백리  ****************,경상남도 밀양시 산내면 임고7길 ****************,2025-11-05
미르피그팜,돼지,947,경상남도 밀양시 상남면 동산리  ****************,경상남도 밀양시 상남면 상남로  ****************,2025-11-05
보배농장,돼지,250,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
백학농장,돼지,2442,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
고성농장,돼지,600,경상남도 밀양시 초동면 금포리  ****************,경상남도 밀양시 초동면 금포길  ****************,2025-11-05
믿음농장,돼지,,경상남도 밀양시 상남면 마산리  ****************,경상남도 밀양시 상남면 마산2길 ****************,2025-11-05
소망농장,돼지,500,경상남도 밀양시 상남면 마산리  ****************,경상남도 밀양시 상남면 마산2길 ****************,2025-11-05
농업회사법인유성축산주식회사,돼지,2100,경상남도 밀양시 무안면 모로리  ****************,경상남도 밀양시 무안면 덕암길  ****************,2025-11-05
LH양돈,돼지,550,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
쌍용축산 3농장,돼지,1650,경상남도 밀양시 청도면 구기리  ****************,경상남도 밀양시 청도면 조천길  ****************,2025-11-05
AL농장,돼지,350,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
구천농장,돼지,986,경상남도 밀양시 단장면 구천리  ****************,경상남도 밀양시 단장면 도래재로 ****************,2025-11-05
화랑농장,돼지,600,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 신생길  ****************,2025-11-05
보배2 농장,돼지,327,경상남도 밀양시 무안면 마흘리  ****************,경상남도 밀양시 무안면 무안로  ****************,2025-11-05
다돈 농장,돼지,,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
동대 양돈,돼지,1337,경상남도 밀양시 상동면 고정리  ****************,경상남도 밀양시 상동면 상동로  ****************,2025-11-05
,돼지,1400,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
,돼지,700,경상남도 밀양시 하남읍 백산리  ****************,경상남도 밀양시 하남읍 백산로  ****************,2025-11-05
성주농장2,돼지,437,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
농업회사법인 주식회사 영진,돼지,4011,경상남도 밀양시 상남면 연금리  ****************,경상남도 밀양시 상남면 예평로  ****************,2025-11-05
백학2농장,돼지,2100,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
구구농장,돼지,440,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
CH양돈,돼지,250,경상남도 밀양시 무안면 마흘리  ****************,,2025-11-05
