사업장명,축종,주소,사육두수,오폐수처리방법
은0농장,돼지,경상남도 사천시 동서동,407 ,가축분뇨공공처리시설 위탁처리
호0농장,돼지,경상남도 사천시 동서동,1564 ,가축분뇨공공처리시설 위탁처리
수0농장,돼지,경상남도 사천시 동서동,510 ,가축분뇨공공처리시설 위탁처리
하0섭농장,돼지,경상남도 사천시 동서동,647 ,가축분뇨공공처리시설 위탁처리
정0출농장,돼지,경상남도 사천시 동서동,1167 ,가축분뇨공공처리시설 위탁처리
에0농장,돼지,경상남도 사천시 서포면,1384 ,액비화 및 위탁처리
현0농장,돼지,경상남도 사천시 서포면,1916 ,액비화 및 위탁처리
대0농원,돼지,경상남도 사천시 사남면,3606 ,축뇨 위탁처리 및 액비위탁처리
진0농장,돼지,경상남도 사천시 곤양면,2054 ,액비화 및 위탁처리
삼0농장,돼지,경상남도 사천시 곤양면,2540 ,액비화 및 위탁처리
최0림농장,돼지,경상남도 사천시 향촌동,994 ,가축분뇨공공처리시설 및 액비 위탁처리
농업회사법인㈜00축산,돼지,경상남도 사천시 곤양면,17489 ,활성오니법 및 축분 위착처리
농업회사법인 00축산㈜,돼지,경상남도 사천시 곤양면,23546 ,전량 위탁처리
