연번,대표축종,농장명,소재지, 사육두수 ,동수,면적(제곱미터)
1,양돈,지리산하이포지피농장,경상남도 산청군 단성면 창촌리,14000,12,17367.01
2,양돈,에덴농장,경상남도 산청군 단성면 길리 ,4200,10,3813.21
3,양돈,성축팜,경상남도 산청군 오부면 중촌리  ,1100,7,1440
4,양돈,내평농장,경상남도 산청군 오부면 오전리  ,2700,5,1650.27
5,양돈,가마솥농장,경상남도 산청군 차황면 장박리   ,900,3,1152.35
6,양돈,태원3농장,경상남도 산청군 신안면 신차로  ,6500,18,6310.43
7,양돈,드림피그,경상남도 산청군 오부면 방곡리    ,650,2,604.8
8,양돈,산청흑돼지농장,경상남도 산청군 오부면 대현리   ,2800,3,2070.8
9,양돈,오부황토농장,경상남도 산청군 오부면 내곡리  ,2700,7,1726.35
10,양돈,쌍효농장,경상남도 산청군 금서면 신아리  ,1000,4,1968
11,양돈,왕촌농장,경상남도 산청군 오부면 왕촌리  ,2900,3,3337.74
12,양돈,영춘농장,경상남도 산청군 생초면 월곡리  ,1000,6,981.06
13,양돈,소지골농장,경상남도 산청군 산청읍 병정리  ,2700,5,2310
14,양돈,농업회사법인 유한회사 신화축산,경상남도 산청군 차황면 부리 ,200,2,363.3
15,양돈,농업회사법인 유한회사 신화축산,경상남도 산청군 단성면 남사리   ,20350,11,20655.8
16,양돈,오부면흑돼지영농조합법인,경상남도 산청군 오부면 일물리  ,6000,4,5813.65
17,양돈,가야육종(주)산청종돈장,경상남도 산청군 산청읍 모고리  ,8000,2,8860.02
18,양돈,신화축산9농장,경상남도 산청군 단성면 사월리   ,400,1,429
19,양돈,신화축산2농장,경상남도 산청군 단성면 남사리   ,1000,5,2021.65
20,양돈,머루돌이농장,경상남도 산청군 오부면 오전리  ,500,1,495
21,양돈,머루돌이산청농장,경상남도 산청군 오부면 오전리   ,600,2,951.1
22,양돈,머루돌이농장,경상남도 산청군 오부면 내곡리  ,3600,7,4577.06
