연번,사업장명,축종,읍면,사육두수,처리방법,처리구분,데이터기준일자
1,운암축산,양돈,의령군 가례면,2600,자가,,2025-11-10
2,흰돌농장,양돈,의령군 대의면,10000,위탁,퇴비+액비,2025-11-10
3,신촌축산,양돈,의령군 용덕면,2400,위탁,정화+퇴비,2025-11-10
4,초곡농장,양돈,의령군 용덕면,11200,위탁,퇴비+액비,2025-11-10
5,신성농장,양돈,의령군 용덕면,3500,위탁,정화+퇴비,2025-11-10
6,신성1농장,양돈,의령군 용덕면,600,위탁,퇴비,2025-11-10
7,신촌농장,양돈,의령군 용덕면,750,위탁,정화+퇴비,2025-11-10
8,정문경축산,양돈,의령군 지정면,6000,위탁,퇴비,2025-11-10
9,삼전농장,양돈,의령군 지정면,2000,위탁,퇴비,2025-11-10
10,안인농장,양돈,의령군 지정면,1400,자가+위탁,퇴비+액비,2025-11-10
11,광웅농장,양돈,의령군 부림면,10000,위탁,액비,2025-11-10
12,선경농장,양돈,의령군 봉수면,1480,자가,,2025-11-10
