사업장명,축종,주소,사육두수,오폐수처리방법
부O농장,돼지,경상남도 창원시 마산합포구 진북면,2340 ,퇴비화 및 액비화/위탁처리
학O농장,돼지,경상남도 창원시 마산합포구 진전면 ,1718 ,퇴비화 및 액비화/위탁처리
제O농장,돼지,경상남도 창원시 마산합포구 진전면 ,1610 ,퇴비화 및 액비화/위탁처리
마O농장,돼지,경상남도 창원시 의창구 동읍,1381 ,퇴비화 및 액비화/위탁처리
영O농장,돼지,경상남도 창원시 마산합포구 진전면,2500 ,퇴비화 및 액비화/위탁처리
진O농장,돼지,경상남도 창원시 의창구 동읍,783 ,퇴비화 및 액비화/위탁처리
다호 영농조합법인,돼지,경상남도 창원시 의창구 동읍,2300 ,퇴비화 및 액비화/위탁처리
재O농장,돼지,경상남도 창원시 의창구 동읍,1289 ,퇴비화 및 액비화/위탁처리
성O축산,돼지,경상남도 창원시 마산합포구 진북면,2269 ,퇴비화 및 액비화/위탁처리
정O농장,돼지,경상남도 창원시 마산합포구 진북면,3501 ,퇴비화 및 액비화/위탁처리
해O농장,돼지,경상남도 창원시 의창구 북면,2935 ,퇴비화 및 액비화/위탁처리
동O농장,돼지,경상남도 창원시 마산합포구 진북면,3643 ,퇴비화 및 액비화/위탁처리
진O축산,돼지,경상남도 창원시 진해구 가주동,950 ,퇴비화 및 액비화/위탁처리
우O농장,돼지,경상남도 창원시 마산합포구 진북면,2712 ,퇴비화 및 액비화/위탁처리
남O농장,돼지,경상남도 창원시 마산합포구 진북면,2282 ,퇴비화 및 액비화/위탁처리
유O팜,돼지,경상남도 창원시 마산합포구 예곡동,511 ,퇴비화 및 액비화/위탁처리
영O농장,돼지,경상남도 창원시 마산합포구 진북면,2350 ,퇴비화 및 액비화/위탁처리
천O농장,돼지,경상남도 창원시 의창구 동읍,1356 ,퇴비화 및 액비화/위탁처리
청O축산,돼지,경상남도 창원시 마산합포구 진북면,1985 ,퇴비화 및 액비화/위탁처리
봉O농장,돼지,경상남도 창원시 의창구 동읍,1002 ,퇴비화 및 액비화/위탁처리
금O농장,돼지,경상남도 창원시 의창구 동읍,1856 ,퇴비화 및 액비화/위탁처리
호O농장,돼지,경상남도 창원시 마산합포구 진전면,1631 ,퇴비화 및 액비화/위탁처리
성O농장,돼지,경상남도 창원시 의창구 동읍,1234 ,퇴비화 및 액비화/위탁처리
학O농장,돼지,경상남도 창원시 마산합포구 진북면,3510 ,퇴비화 및 정화처리/위탁처리
성O농장,돼지,경상남도 창원시 마산합포구 진북면,1415 ,퇴비화 및 액비화/위탁처리
잔O농장,돼지,경상남도 창원시 마산합포구 진북면,1105 ,퇴비화 및 액비화/위탁처리
삼O농장,돼지,경상남도 창원시 마산합포구 진북면,3390 ,퇴비화 및 정화처리/위탁처리
