사업장명칭,주사육업종,사업장소재지(지번),면적
명일농장,한우,경상남도 창원시 마산합포구 진전면 근곡리 ,243
호암농장,돼지,경상남도 창원시 마산합포구 진전면 오서리,1823
학수농장,돼지,경상남도 창원시 마산합포구 진전면 오서리 ,1839
우남목장,한우,경상남도 창원시 진해구 자은동 ,651
지로목장,한우,경상남도 창원시 의창구 북면 내곡리 ,197
일모농장,한우,경상남도 창원시 의창구 동읍 금산리 ,1960
한육우농장,한우,경상남도 창원시 의창구 동읍 월잠리 ,2630
육일목장,젖소,경상남도 창원시 의창구 동읍 신방리 ,536
욱수농장,한우,경상남도 창원시 의창구 북면 지개리 ,382
원수농장,한우,경상남도 창원시 의창구 북면 내곡리 ,835
종갑농장,한우,경상남도 창원시 의창구 북면 월계리 ,663
서남농장,한우,경상남도 창원시 의창구 북면 하천리 ,1560
청송축산,한우,경상남도 창원시 의창구 북면 상천리 ,603
용기농장,한우,경상남도 창원시 의창구 북면 무곡리 ,131
종원농장,한우,경상남도 창원시 의창구 북면 하천리 ,636
성영목장,젖소,경상남도 창원시 의창구 북면 지개리 ,687
진양목장,젖소,경상남도 창원시 의창구 북면 외감리 ,868
삼영목장,젖소,경상남도 창원시 의창구 북면 월백리  ,967
영돈목장,젖소,경상남도 창원시 의창구 북면 지개리 ,513
동백목장,한우,경상남도 창원시 의창구 대산면 대방리 ,2814
장릉축산,한우,경상남도 창원시 의창구 대산면 가술리 ,661
와우목장,한우,경상남도 창원시 의창구 대산면 가술리 ,558
정만농장,한우,경상남도 창원시 의창구 대산면 유등리 ,364
상포목장,한우,경상남도 창원시 의창구 대산면 제동리,1449
일동목장,한우,경상남도 창원시 의창구 대산면 일동리 ,331
강물농장,돼지,경상남도 창원시 의창구 대산면 북부리 ,264
수목농장,한우,경상남도 창원시 의창구 동읍 월잠리 ,968
구인목장,젖소,경상남도 창원시 의창구 동읍 노연리,1915
푸른목장,젖소,경상남도 창원시 의창구 동읍 월잠리 ,2149
신방목장,젖소,경상남도 창원시 의창구 동읍 신방리 ,1112
천수농장,한우,경상남도 창원시 의창구 북면 신촌리 ,503
서신농장,한우,경상남도 창원시 의창구 북면 신촌리 ,1214
목골농장,한우,경상남도 창원시 의창구 북면 상천리 ,792
한식목장,한우,경상남도 창원시 의창구 북면 무곡리 ,368
정우농장,한우,경상남도 창원시 의창구 북면 대산리 ,521
두빈목장,젖소,경상남도 창원시 의창구 북면 월백리  ,1585
로사목장,젖소,경상남도 창원시 의창구 북면 월백리,1782
신동농장,한우,경상남도 창원시 의창구 북면 신촌리 ,396
대천농장,한우,경상남도 창원시 의창구 북면 화천리 ,385
이재돈목장,한우,경상남도 창원시 의창구 북면 화천리 ,534
천지농장,돼지,경상남도 창원시 의창구 동읍 월잠리,1396
갈전농장,한우,경상남도 창원시 의창구 대산면 갈전리 ,760
일동농장,한우,경상남도 창원시 의창구 동읍 신방리 ,104
다산목장,한우,경상남도 창원시 의창구 대산면 가술리 ,510
번창농장,한우,경상남도 창원시 의창구 대산면 모산리 ,363
만동농장,한우,경상남도 창원시 의창구 북면 상천리 ,255
월촌목장,젖소,경상남도 창원시 의창구 북면 월촌리,693
태홍농장,한우,경상남도 창원시 의창구 북면 대산리 ,198
진화농장,돼지,경상남도 창원시 의창구 동읍 봉곡리,980
다호농장,돼지,경상남도 창원시 의창구 동읍 다호리 ,1374
재호농장,돼지,경상남도 창원시 의창구 동읍 봉강리 ,1091
