사업장명칭,주사육업종,사업장소재지(지번)
하동토종닭,육계,경상남도 하동군 진교면
영산목장,한우,경상남도 하동군 진교면
유미농장,한우,경상남도 하동군 하동읍
토덕농장,한우,경상남도 하동군 하동읍
매계농장,한우,경상남도 하동군 악양면
밤골농장,한우,경상남도 하동군 적량면
송원농장,한우,경상남도 하동군 옥종면
두양농장,한우,경상남도 하동군 옥종면
선행농장,한우,경상남도 하동군 옥종면
운곡농장,한우,경상남도 하동군 옥종면
순일농장,한우,경상남도 하동군 횡천면
유평농장,한우,경상남도 하동군 횡천면
횡천농장,한우,경상남도 하동군 횡천면
청학목장,한우,경상남도 하동군 횡천면
미소농장,한우,경상남도 하동군 횡천면
하동농장,한우,경상남도 하동군 횡천면
상호농장,한우,경상남도 하동군 횡천면
태영농장,한우,경상남도 하동군 북천면
대성농장,한우,경상남도 하동군 북천면
사평종합한우농장,한우,경상남도 하동군 북천면
중촌농장,한우,경상남도 하동군 북천면
이명산농장,한우,경상남도 하동군 북천면
용천한우농장,한우,경상남도 하동군 북천면
수리봉농장,한우,경상남도 하동군 북천면
방초목장,한우,경상남도 하동군 청암면
동권농장,한우,경상남도 하동군 청암면
청암한우,한우,경상남도 하동군 청암면
월산농장,한우,경상남도 하동군 청암면
늘봉산농장,한우,경상남도 하동군 고전면
쇠미골농장,한우,경상남도 하동군 진교면
구룡농장,한우,경상남도 하동군 진교면
지성농장,한우,경상남도 하동군 양보면
대호농장,한우,경상남도 하동군 양보면
운암농장,한우,경상남도 하동군 양보면
희망농장,한우,경상남도 하동군 양보면
대방축산,한우,경상남도 하동군 양보면
청운농장,한우,경상남도 하동군 양보면
비룡축산,한우,경상남도 하동군 양보면
청솔농장,한우,경상남도 하동군 고전면
유풍농장,한우,경상남도 하동군 진교면
성수농장,한우,경상남도 하동군 옥종면
박윤철,한우,경상남도 하동군 옥종면
명진목장,한우,경상남도 하동군 옥종면
이명농장,한우,경상남도 하동군 양보면
상록축산,돼지,경상남도 하동군 진교면
진흥축산,돼지,경상남도 하동군 양보면
가득축산,돼지,경상남도 하동군 악양면
승환농장,돼지,경상남도 하동군 적량면
태홍농장,돼지,경상남도 하동군 적량면
일동농장,돼지,경상남도 하동군 적량면
호자농장,한우,경상남도 하동군 양보면
동원농장,한우,경상남도 하동군 양보면
형제농장,한우,경상남도 하동군 옥종면
별농장,한우,경상남도 하동군 하동읍
귀현농장,한우,경상남도 하동군 악양면
덕용농장,한우,경상남도 하동군 악양면
하봉농장,한우,경상남도 하동군 악양면
용묵농장,한우,경상남도 하동군 적량면
범식농장,한우,경상남도 하동군 횡천면
온동축산,한우,경상남도 하동군 횡천면
비타팜,돼지,경상남도 하동군 적량면
수경농장,한우,경상남도 하동군 고전면
현성농장,한우,경상남도 하동군 고전면
현철농장,한우,경상남도 하동군 고전면
대송농장,한우,경상남도 하동군 금남면
태석농장,한우,경상남도 하동군 고전면
종철농장,한우,경상남도 하동군 고전면
종수농장,한우,경상남도 하동군 고전면
진영농장,한우,경상남도 하동군 고전면
흥림농장,한우,경상남도 하동군 고전면
청솔원농장,종계/산란계,경상남도 하동군 금남면
우리축산,한우,경상남도 하동군 북천면
청림목장,한우,경상남도 하동군 청암면
가나안 농장,돼지,경상남도 하동군 북천면
금오농장,한우,경상남도 하동군 금남면
대환농장,한우,경상남도 하동군 금성면
영풍목장,한우,경상남도 하동군 진교면
양보목장,젖소,경상남도 하동군 양보면
와우농장,한우,경상남도 하동군 양보면
구양농장,한우,경상남도 하동군 양보면
성진목장,한우,경상남도 하동군 양보면
제1우리목장,젖소,경상남도 하동군 양보면
동영농장,한우,경상남도 하동군 양보면
구농장,한우,경상남도 하동군 양보면
온새미로농장,한우,경상남도 하동군 양보면
가느실농장,한우,경상남도 하동군 양보면
박달농장,한우,경상남도 하동군 양보면
우삼농장,한우,경상남도 하동군 양보면
민철농장,한우,경상남도 하동군 양보면
달성농장,한우,경상남도 하동군 양보면
청우농장,한우,경상남도 하동군 양보면
이명목장,사슴,경상남도 하동군 양보면
주은목장,젖소,경상남도 하동군 양보면
사랑농장,한우,경상남도 하동군 양보면
동성농장,한우,경상남도 하동군 진교면
지산농장,한우,경상남도 하동군 진교면
수종농장,한우,경상남도 하동군 진교면
무수농장,한우,경상남도 하동군 진교면
오룡농장,젖소,경상남도 하동군 진교면
윤균농장,한우,경상남도 하동군 진교면
바다목장,한우,경상남도 하동군 진교면
무지개농장,한우,경상남도 하동군 횡천면
삼우농장,한우,경상남도 하동군 진교면
도호농장,한우,경상남도 하동군 진교면
태옥농장,한우,경상남도 하동군 진교면
유골농장,한우,경상남도 하동군 진교면
동만농장,한우,경상남도 하동군 진교면
종대농장,한우,경상남도 하동군 진교면
명규농장,한우,경상남도 하동군 진교면
옥산농장,젖소,경상남도 하동군 옥종면
신평목장,젖소,경상남도 하동군 옥종면
무진목장,젖소,경상남도 하동군 옥종면
가마목장,젖소,경상남도 하동군 옥종면
띄밭목장,젖소,경상남도 하동군 옥종면
푸른목장,젖소,경상남도 하동군 옥종면
태양목장,젖소,경상남도 하동군 옥종면
형제목장,젖소,경상남도 하동군 옥종면
수완농장,한우,경상남도 하동군 금남면
꽃정농장,한우,경상남도 하동군 북천면
보은농장,한우,경상남도 하동군 진교면
청학농장,한우,경상남도 하동군 청암면
농업회사법인 주식회사 한돈혁신센터,돼지,경상남도 하동군 진교면
다원농장,한우,경상남도 하동군 금남면
보래농장,한우,경상남도 하동군 북천면
갈인정 한우농장,한우,경상남도 하동군 북천면
인명농장,한우,경상남도 하동군 옥종면
영호농장,한우,경상남도 하동군 옥종면
한울농장,한우,경상남도 하동군 진교면
경구농장,한우,경상남도 하동군 악양면
제일목장,한우,경상남도 하동군 북천면
안양농장,육계,경상남도 하동군 양보면
호실농장,한우,경상남도 하동군 진교면
우주농장,한우,경상남도 하동군 진교면
영철축산,한우,경상남도 하동군 적량면
답곡농장,한우,경상남도 하동군 횡천면
거성농장,한우,경상남도 하동군 고전면
월운농장,한우,경상남도 하동군 진교면
해수농장,한우,경상남도 하동군 양보면
화월농장,한우,경상남도 하동군 청암면
희종농장,한우,경상남도 하동군 진교면
계명제2농장,한우,경상남도 하동군 북천면
한계농장,한우,경상남도 하동군 옥종면
우리축산 2농장,한우,경상남도 하동군 북천면
안집농장,한우,경상남도 하동군 청암면
영수농장,한우,경상남도 하동군 고전면
회두농장,한우,경상남도 하동군 고전면
큰들농장,한우,경상남도 하동군 고전면
큰골농장,한우,경상남도 하동군 고전면
송림농장,한우,경상남도 하동군 양보면
일성농장,한우,경상남도 하동군 횡천면
바들리농장,한우,경상남도 하동군 양보면
방초농장,한우,경상남도 하동군 청암면
햇님농장,한우,경상남도 하동군 횡천면
부자농장,한우,경상남도 하동군 횡천면
덕성농장,한우,경상남도 하동군 금남면
시원목장,한우,경상남도 하동군 옥종면
양환농장,한우,경상남도 하동군 옥종면
제성농장,한우,경상남도 하동군 북천면
하성농장,한우,경상남도 하동군 옥종면
돌산농원,한우,경상남도 하동군 하동읍
태일농장,한우,경상남도 하동군 청암면
영교농장,한우,경상남도 하동군 청암면
준혁농장,한우,경상남도 하동군 청암면
준호농장,한우,경상남도 하동군 청암면
외숙농장,한우,경상남도 하동군 옥종면
동천농원,한우,경상남도 하동군 진교면
영진농장,한우,경상남도 하동군 옥종면
재형농장,한우,경상남도 하동군 청암면
원영농장,한우,경상남도 하동군 청암면
남중농장,한우,경상남도 하동군 북천면
치종농장,한우,경상남도 하동군 금남면
준혁농장,한우,경상남도 하동군 청암면
이진농장,한우,경상남도 하동군 금남면
영원농장,한우,경상남도 하동군 옥종면
재석농장,한우,경상남도 하동군 옥종면
해영농장,젖소,경상남도 하동군 옥종면
태명농장,한우,경상남도 하동군 악양면
상순농장,한우,경상남도 하동군 악양면
형규농장,한우,경상남도 하동군 악양면
한식농장,한우,경상남도 하동군 악양면
상원농장,한우,경상남도 하동군 악양면
병헌농장,한우,경상남도 하동군 악양면
치문농장,한우,경상남도 하동군 악양면
상원농장,한우,경상남도 하동군 악양면
보성축산,한우,경상남도 하동군 진교면
완호농장,한우,경상남도 하동군 고전면
공드림농장,한우,경상남도 하동군 적량면
맑은농장,한우,경상남도 하동군 적량면
부천농장,한우,경상남도 하동군 금남면
박사농장,한우,경상남도 하동군 옥종면
광진축산,한우,경상남도 하동군 금남면
석래농장,한우,경상남도 하동군 적량면
조박사농장,한우,경상남도 하동군 금남면
상만농장,한우,경상남도 하동군 금남면
후도농장,한우,경상남도 하동군 금남면
영호농장,한우,경상남도 하동군 적량면
학열농장,한우,경상남도 하동군 옥종면
칠성농장,한우,경상남도 하동군 옥종면
경암농원,한우,경상남도 하동군 진교면
오리내2농장,한우,경상남도 하동군 악양면
성진2목장,한우,경상남도 하동군 진교면
명교농장,한우,경상남도 하동군 고전면
만조축산,한우,경상남도 하동군 양보면
조 축산,한우,경상남도 하동군 양보면
성자농장,한우,경상남도 하동군 고전면
옥봉농장,한우,경상남도 하동군 고전면
현호농장,한우,경상남도 하동군 진교면
정서농장,한우,경상남도 하동군 옥종면
보성축산,한우,경상남도 하동군 진교면
금와목장,젖소,경상남도 하동군 옥종면
영순농장,한우,경상남도 하동군 진교면
광수농장,한우,경상남도 하동군 금성면
정00위탁사육장,한우,경상남도 하동군 횡천면
성호농장,한우,경상남도 하동군 옥종면
대성농장,한우,경상남도 하동군 양보면
산내음농장,한우,경상남도 하동군 양보면
상곤농장,한우,경상남도 하동군 하동읍
상하농장,한우,경상남도 하동군 하동읍
오수농장,한우,경상남도 하동군 옥종면
기성농장,한우,경상남도 하동군 악양면
동근농장,한우,경상남도 하동군 양보면
대풍농장,한우,경상남도 하동군 진교면
두태농장,한우,경상남도 하동군 고전면
하늘농장,한우,경상남도 하동군 북천면
상옥농장,한우,경상남도 하동군 하동읍
선기농장,한우,경상남도 하동군 양보면
종복농장,한우,경상남도 하동군 옥종면
재섭농장,한우,경상남도 하동군 악양면
종관농장,한우,경상남도 하동군 악양면
진태농장,한우,경상남도 하동군 청암면
청학동 한우농장,한우,경상남도 하동군 청암면
청학한우,한우,경상남도 하동군 청암면
샘터농장,한우,경상남도 하동군 양보면
영현농장,한우,경상남도 하동군 적량면
병국농장,한우,경상남도 하동군 양보면
인용농장,한우,경상남도 하동군 양보면
주태농장,한우,경상남도 하동군 양보면
원종농장,한우,경상남도 하동군 금남면
경록농장,한우,경상남도 하동군 금남면
태계농장,한우,경상남도 하동군 양보면
경훈농장,한우,경상남도 하동군 양보면
점용축사,한우,경상남도 하동군 진교면
태모축사,한우,경상남도 하동군 진교면
석대축사,한우,경상남도 하동군 진교면
고암농장,한우,경상남도 하동군 옥종면
