농장주,농장명,주소,사육두수,가축분뇨처리시설 연계처리 유무,오폐수처리공법
함○○,입곡농장,경상남도 함안군 산인면 성산로 509-1,3518,무,
옥○○,옥천농장,경상남도 함안군 함안면 강명4길 3-98,2348,무,
차○○,동방농장,경상남도 함안군 칠북면 덕남길 200-51,509,무,
조○○,함안양돈단지영농조합법인,경상남도 함안군 가야읍 이곡2길 29,18157,무,장기폭기법
홍○○,성표농장,경상남도 함안군 함안면 괴산2길 144-57,2333,무,
정○○,치근농장,경상남도 함안군 함안면 강명4길 3-99,1938,무,
박○○,금천농장,경상남도 함안군 함안면 봉성3길 27-14,1207,무,
김○○,영진축산,경상남도 함안군 칠원읍 유원2길 28,448,무,
김○○,벽진농장,경상남도 함안군 칠원읍 유원3길 10,947,무,
박○○,성동농장,경상남도 함안군 군북면 명관로 89,3406,무,
안○○,은비축산,경상남도 함안군 산인면 부봉3길 169,2511,무,고속산화법
강○○,늘봄농장,경상남도 함안군 군북면 의산삼일로 1621,2342,무,
강○○,범수농장,경상남도 함안군 법수면 어유길 508,1712,무,
김○○,행복농장,경상남도 함안군 함안면 괴산2길 105-3,2155,무,
정○○,우림양돈2,경상남도 함안군 함안면  괴산리 754-1,450,무,
김○○,청정농장,경상남도 함안군 산인면 송산로 149-7,3483,무,
하○○,조은솔농장,경상남도 함안군 법수면 대송로 143-1,6045,무,
오○○,다반영농조합법인,경상남도 함안군 함안면 성산로 164,5591,무,활성오니법
가야육종(주),가야유전자연구소,경상남도 함안군 법수면 법정로 83-73,136,무,
박○○,더맑은농장,경상남도 함안군 군북면 명관로 81,1300,무,
김○○,다보축산,경상남도 함안군 칠북면 화천1길 82,2074,무,
김○○,진화농장,경상남도 함안군 함안면  괴산리 740-1,600,무,
김○○,정문영축산,경상남도 함안군 칠북면 화천1길 80,1226,무,
박○○,양지농장,경상남도 함안군 대산면 옥렬2길 49-50,1509,무,
박○○,현대팜,경상남도 함안군 법수면 이묵골로 181,4396,무,
김○○,화진2농장,경상남도 함안군 대산면 구암2길 43,2100,무,
김○○,하늘2농장,경상남도 함안군 함안면 괴산2길 108-1,1288,무,
김○○,화진3농장(대산비육장),경상남도 함안군 대산면 장장골길 244-40,2300,무,
조○○,화진농장,경상남도 함안군 칠북면 덕남길 200-99,952,무,
농업회사법인 프로팜 주식회사,농업회사법인 프로팜 주식회사,경상남도 함안군 칠북면 덕남길 200-97,3037,무,
정○○,우림양돈2,경상남도 함안군 함안면 괴산2길 164-6,400,무,
김○○,하늘농장,경상남도 함안군 함안면 괴산2길 207,2543,무,
전○○,대성농장,경상남도 함안군 산인면 송정2길 5-58,2021,무,
박○○,천애2농장,경상남도 함안군 산인면 부봉3길 186,3372,무,
