사업장명,축종,주소,사육두수,오폐수처리방법,데이터기준일자
**농장,돼지,경상남도 함양군 수동면 수남로 ,670,퇴비화,2025-11-03
**농장,돼지,경상남도 함양군 안의면 신당길 ,3300,퇴비화+위탁처리,2025-11-03
**영농조합법인,돼지,경상남도 함양군 유림면 천왕봉로,5100,퇴비화+위탁처리+정화방류,2025-11-03
**농장,돼지,경상남도 함양군 안의면 장자동길,650,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 마천면 지리산가는길 ,375,퇴비화+위탁처리,2025-11-03
무,돼지,경상남도 함양군 안의면 석반길,1250,퇴비화+위탁처리,2025-11-03
**농업회사법인,돼지,경상남도 함양군 유림면 성애길,1600,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 수동면 강변로,2300,퇴비화+위탁처리,2025-11-03
**농업회사법인,돼지,경상남도 함양군 함양읍 거면들길,1000,퇴비화+위탁처리,2025-11-03
**,돼지,경상남도 함양군 함양읍 원구길,2500,퇴비화+위탁처리,2025-11-03
농업회사법인**,돼지,경상남도 함양군 휴천면 목현옥매로,5500,퇴비화+위탁처리+정화방류,2025-11-03
농업회사법인**,돼지,경상남도 함양군 함양읍 거면들길 ,2000,퇴비화+액비화+위탁처리+정화방류,2025-11-03
**농업회사법인,돼지,경상남도 함양군 함양읍 중촌길,2500,퇴비화+액비화+위탁처리+정화방류,2025-11-03
**농장,돼지,경상남도 함양군 휴천면 목현옥매로 ,2500,퇴비화+액비화+위탁처리,2025-11-03
**농업회사법인 나주지점,돼지,경상남도 함양군 함양읍 거면들길,2500,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 안의면 신당길,350,퇴비화+위탁처리,2025-11-03
**축산,돼지,경상남도 함양군 수동면 하교내백로 ,4200,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 수동면 강변로 ,750,퇴비화+위탁처리,2025-11-03
농업회사법인**,돼지,경상남도 함양군 휴천면 호산리 ,1800,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 수동면 하교내백로,2500,퇴비화+액비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 안의면 안의도장골길,900,퇴비화+액비화+위탁처리,2025-11-03
농업회사법인**,돼지,경상남도 함양군 안의면 장자동길 ,2500,퇴비화+위탁처리+정화방류,2025-11-03
**농장,돼지,경상남도 함양군 수동면 하교내백로,480,퇴비화+액비화+위탁처리,2025-11-03
주식회사**,돼지,경상남도 함양군 서하면 호성신길,2500,퇴비화+액비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 휴천면 목현옥매로,3300,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 휴천면 천왕봉로,1300,퇴비화+위탁처리,2025-11-03
무,돼지,경상남도 함양군 수동면 수안길 ,1300,퇴비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 안의면 안의도장골길,1596,퇴비화+액비화+위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 안의면 신당길 ,3000,위탁처리,2025-11-03
**농장,돼지,경상남도 함양군 안의면 당산길 ,7500,퇴비화+위탁처리+정화방류,2025-11-03
**농장,돼지,경상남도 함양군 휴천면 세동길,520,위탁처리,2025-11-03
**축산,돼지,경상남도 함양군 휴천면 목현옥매로,700,퇴비화+정화방류,2025-11-03
**,돼지,경상남도 함양군 서상면 덕유월성로,50,퇴비화,2025-11-03
농업회사법인**,돼지,경상남도 함양군 안의면 당산길,3800,퇴비화+정화방류,2025-11-03
**축산,돼지,경상남도 함양군 함양읍 거면들길,2000,퇴비화+위탁처리,2025-11-03
