순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
1,무,한우,한우,4,경상남도 함양군 지곡면 보산로 107,2025-09-08
2,무,한우,한우,30,경상남도 함양군 지곡면 장감길 26-1,2025-09-08
3,무,한우,한우,50,경상남도 함양군 안의면 당본마암길 136-114,2025-09-08
4,동진농장,종계+산란계,종계+산란계,40000,경상남도 함양군 안의면 신당길 114,2025-09-08
5,수마루 농장,한우,한우,25,경상남도 함양군 수동면 사근산성길 35-48,2025-09-08
6,무,한우,한우,76,경상남도 함양군 백전면 오매실길 104-1,2025-09-08
7,성기농장,돼지,돼지,670,경상남도 함양군 수동면 수남로 97-1,2025-09-08
8,내백축산,한우,한우,70,경상남도 함양군 수동면 하교내백로 653,2025-09-08
9,신당농장,돼지,돼지,3300,경상남도 함양군 안의면 신당길 174,2025-09-08
10,무,한우,한우,40,경상남도 함양군 병곡면 병곡지곡로 96,2025-09-08
11,무,한우,한우,70,경상남도 함양군 지곡면 보산로 120,2025-09-08
12,무,한우,한우,18,경상남도 함양군 지곡면 거평길 229,2025-09-08
13,흑돈 영농조합법인,돼지,돼지,5100,경상남도 함양군 유림면 천왕봉로 3291,2025-09-08
14,무,한우,한우,30,경상남도 함양군 휴천면 함양남서로 496,2025-09-08
15,무,한우,한우,70,경상남도 함양군 안의면 황마로 929,2025-09-08
16,무,한우,한우,45,경상남도 함양군 안의면 말터길 179,2025-09-08
17,무,한우,한우,30,경상남도 함양군 안의면 이문새터길 8-41,2025-09-08
18,무,한우,한우,36,경상남도 함양군 안의면 황마로 869,2025-09-08
19,무,한우,한우,70,경상남도 함양군 안의면 황마로 554-48,2025-09-08
20,무,한우,한우,20,경상남도 함양군 안의면 황마로 527,2025-09-08
21,무,한우,한우,52,경상남도 함양군 안의면 숲안길 61,2025-09-08
22,무,한우,한우,12,경상남도 함양군 안의면 숲안길 68,2025-09-08
23,부흥농장,돼지,돼지,650,경상남도 함양군 안의면 장자동길 40-226,2025-09-08
24,지리산흑돼지농장,돼지,돼지,375,경상남도 함양군 마천면 지리산가는길 58-16,2025-09-08
25,무,한우,한우,70,경상남도 함양군 서상면 덕유월성로 371-2,2025-09-08
26,억대밭골농장,한우,한우,99,"경상남도 함양군 안의면 두항길 143-1, 143",2025-09-08
27,무,한우,한우,35,경상남도 함양군 안의면 독자길 19,2025-09-08
28,호승농장,한우,한우,30,경상남도 함양군 안의면 광풍로 38,2025-09-08
