순번,사업장명,축종,주소,사육두수,오폐수 처리방법,데이터 제공기준일
1,김○○(임차인 김○○),돼지,합천군 초계면 택리,2610,"퇴비화, 액비화, 위탁처리",2025-11-10
2,희복양돈장,돼지,합천군 초계면 택리,6400,전량 위탁처리,2025-11-10
3,해밀농장,돼지,합천군 청덕면 초곡리,1624,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
4,해밀농장,돼지,합천군 청덕면 초곡리,1389,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
5,진보농장,돼지,합천군 청덕면 초곡리,3286,"퇴비화, 액비화, 위탁처리",2025-11-10
6,청계농장,돼지,합천군 야로면 청계리,3037,"퇴비화, 액비화, 위탁처리",2025-11-10
7,에이에스팜,돼지,합천군 청덕면 초곡리,6390,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
8,관기농장,돼지,합천군 묘산면 관기리,2620,"퇴비화, 액비화",2025-11-10
9,창일농장,돼지,합천군 율곡면 문림리,1442,"퇴비화, 액비화, 위탁처리",2025-11-10
10,벧엘농장,돼지,합천군 야로면 정대리,3123,"퇴비화, 액비화, 위탁처리",2025-11-10
11,오뚜기,돼지,합천군 율곡면 제내리,1251,"퇴비화, 액비화, 위탁처리",2025-11-10
12,농업회사법인 가호팜주식회사,돼지,합천군 쌍백면 육리,2427,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
13,월계농장,돼지,합천군 쌍백면 안계리,2658,"퇴비화, 액비화, 위탁처리",2025-11-10
14,송곡농장,돼지,합천군 묘산면 팔심리,2721,"퇴비화, 액비화, 위탁처리",2025-11-10
15,농업회사법인 송림주식회사,돼지,합천군 묘산면 화양리,3622,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
16,다우농장,돼지,합천군 묘산면 가산리,1673,"퇴비화, 액비화, 위탁처리",2025-11-10
17,사슴농장,돼지,합천군 가야면 대전리,1680,"퇴비화, 액비화",2025-11-10
18,영광축산,돼지,합천군 쌍책면 건태리,2481,"퇴비화, 액비화, 정화처리",2025-11-10
19,삼성양돈,돼지,합천군 가야면 사촌리,1351,"퇴비화, 액비화, 정화처리",2025-11-10
20,이○○,돼지,합천군 야로면 정대리,800,"퇴비화, 액비화, 위탁처리",2025-11-10
21,행복축산,돼지,합천군 묘산면 도옥리,1528,"퇴비화, 액비화, 위탁처리",2025-11-10
22,최○○,돼지,합천군 봉산면 계산리,1033,"퇴비화, 액비화, 위탁처리",2025-11-10
23,이○○,돼지,합천군 가야면 청현리,10825,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
24,산개울 영농조합법인,돼지,합천군 가야면 청현리,5886,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
25,형제축산,돼지,합천군 적중면 누하리,1126,"퇴비화, 액비화, 위탁처리",2025-11-10
26,농업회사법인 가야육종㈜,돼지,합천군 묘산면 반포리,2807,"퇴비화, 액비화, 위탁처리",2025-11-10
27,성림농장,돼지,합천군 묘산면 화양리,1432,"퇴비화, 액비화, 위탁처리",2025-11-10
28,윤○○,돼지,합천군 적중면 누하리,1428,"퇴비화, 액비화, 위탁처리",2025-11-10
29,농업회사법인 옥천주식회사,돼지,합천군 야로면 하빈리,2338,"퇴비화, 액비화, 위탁처리",2025-11-10
30,상진축산,돼지,합천군 야로면 금평리,1602,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
31,김○○,돼지,합천군 적중면 누하리,1303,"퇴비화, 액비화, 위탁처리",2025-11-10
32,황매영농 조합법인,돼지,합천군 가회면 외사리,3183,"퇴비화, 액비화, 위탁처리",2025-11-10
33,영성축산 ,돼지,합천군 가회면 오도리,1030,"퇴비화, 액비화, 위탁처리",2025-11-10
34,최○○,돼지,합천군 봉산면 권빈리,1206,"퇴비화, 액비화, 위탁처리",2025-11-10
35,최○○,돼지,합천군 봉산면 계산리,759,"퇴비화, 액비화, 위탁처리",2025-11-10
36,김○○,돼지,합천군 가회면 장대리,872,"퇴비화, 액비화, 위탁처리",2025-11-10
37,영성축산,돼지,합천군 대병면 장단리,1242,"퇴비화, 액비화, 위탁처리",2025-11-10
38,한일농장,돼지,합천군 야로면 야로리,990,"퇴비화, 액비화, 위탁처리",2025-11-10
39,오봉양돈,돼지,합천군 가회면 외사리,825,"퇴비화, 액비화, 위탁처리",2025-11-10
40,해인양돈,돼지,합천군 가야면 대전리,9420,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
41,이○○,돼지,합천군 야로면 나대리,1389,야로공동자원화,2025-11-10
42,동화농장,돼지,합천군 묘산면 반포리,1404,"퇴비화, 액비화, 위탁처리",2025-11-10
43,일호농장,돼지,합천군 청덕면 초곡리,2005,"퇴비화, 액비화, 위탁처리",2025-11-10
44,삼득2농장,돼지,합천군 용주면 봉기리,2304,"퇴비화, 액비화, 위탁처리",2025-11-10
45,화동축산,돼지,합천군 묘산면 화양리,1500,"퇴비화, 액비화",2025-11-10
