시군,가축시장명,소 재 지,큰소 개장일(매월),송아지 개장일(매월),큰소 2025년 거래실적,송아지 2025년 거래실적,전화번호
진주시,진주축협,이반성면 오봉산로 502,4째주 목요일,2째주 토요일,751 ,2058 ,055-758-9111
사천시,사천축협,축동면 서삼로 1479,2째주 목요일,1째주 토요일,507 ,1827 ,055-851-5858
김해시,김해가축시장,김해대로 1271번길 7,3째주 화요일,3째주 화요일,3 ,1271 ,055-333-8175
밀양시,밀양축협,상남면 예림리 749-16,2째주 목요일,4째주 목요일,397 ,2115 ,055-352-0726
의령군,의령가축,용덕면 소상로 14,2째주 월요일,4째주 월요일,773 ,2403 ,055-573-2623
함안군,함안가축,가야읍 북실길 18,4째주 수요일,2째주 및 4째주 수요일,433 ,3197 ,055-582-0082
창녕군,창녕축협,창녕읍 갈전길 153 ,3째주 수요일,1째주 수요일,878 ,1899 ,055-533-8292
고성군,고성가축,고성읍 율대4길 4-27,2째주 및 4째주 토요일,1째주 및 3째주 금요일,1424 ,3482 ,055-673-4661
남해군,남해축협,남해읍 스포츠로 37,2째주 금요일,4째주 금요일,817 ,1255 ,055-862-2115
하동군,하동축협,진교면 구고속도로 524-6,1째주 금요일,3째주 금요일,611 ,1597 ,055-882-8809
함양군,함양가축시장,함양읍 하림강변길 186,1째주 화요일,2째주 및 4째주 화요일,1802 ,4354 ,055-964-0603
거창군,거창축협 전천후,남상면 수남로 1660,2째주 화요일,1째주 및 3째주 화요일,1189 ,4540 ,055-943-9541
합천군,합천축협,대양면 동부로 40-11,1째주 및 3째주 목요일,2째주 및 4째주 목요일,1665 ,7431 ,055-930-3572
