연번,사업장명칭,소재지,주사육업종,등록허가구분,사육두수,데이터기준일자
1,상O농장,경상남도 사천시 곤양면,산양,등록대상 ,1000,2026-06-17
2,덕O목장,경상남도 사천시 곤양면,한우,허가대상,48,2026-06-17
3,상O농장,경상남도 사천시 사천읍,한우,허가대상,83,2026-06-17
4,김O제농장,경상남도 사천시 축동,한우,허가대상,19,2026-06-17
5,박O자 농장,경상남도 사천시 사남면,한우,허가대상,13,2026-06-17
6,정O권농장,경상남도 사천시 곤양면,한우,허가대상,10,2026-06-17
7,노O길농장,경상남도 사천시 이홀동,한우,허가대상,30,2026-06-17
8,황O성농장,경상남도 사천시 곤양면,한우,허가대상,18,2026-06-17
9,이O남농장,경상남도 사천시 곤명면,산양,등록대상 ,50,2026-06-17
10,동O축산,경상남도 사천시 정동,한우,허가대상,150,2026-06-17
11,이O훈농장,경상남도 사천시 정동,한우,허가대상,30,2026-06-17
12,김O열농장,경상남도 사천시 정동,한우,허가대상,5,2026-06-17
13,진O현농장,경상남도 사천시 정동,한우,허가대상,29,2026-06-17
14,정O화농장,경상남도 사천시 정동,한우,허가대상,30,2026-06-17
15,최O필농장,경상남도 사천시 사남면,한우,허가대상,30,2026-06-17
16,조O부농장,경상남도 사천시 용현면,한우,허가대상,11,2026-06-17
17,정O안농장,경상남도 사천시 용현면,한우,허가대상,44,2026-06-17
18,질O섬 한우농장,경상남도 사천시 곤양면,한우,허가대상,304,2026-06-17
19,송O용농장,경상남도 사천시 곤양면,한우,허가대상,7,2026-06-17
20,정O옥농장,경상남도 사천시 곤양면,한우,허가대상,132,2026-06-17
21,대O농장,경상남도 사천시 곤양면,한우,허가대상,283,2026-06-17
22,매O목장,경상남도 사천시 곤명면,한우,허가대상,18,2026-06-17
23,봉O축산,경상남도 사천시 곤명면,한우,허가대상,30,2026-06-17
24,김O배농장,경상남도 사천시 곤명면,한우,허가대상,24,2026-06-17
25,목O농장,경상남도 사천시 곤양면,한우,허가대상,61,2026-06-17
26,서O축산,경상남도 사천시 서포면,한우,허가대상,39,2026-06-17
27,영O목장,경상남도 사천시 곤양면,젖소,허가대상,55,2026-06-17
28,김O호농장,경상남도 사천시 용현면,한우,허가대상,50,2026-06-17
29,은O농장,경상남도 사천시 실안동,돼지,허가대상,550,2026-06-17
30,호O 농장,경상남도 사천시 실안동,돼지,허가대상,1650,2026-06-17
31,수O농장,경상남도 사천시 실안동,돼지,허가대상,285,2026-06-17
32,하O섭농장,경상남도 사천시 실안동,돼지,허가대상,800,2026-06-17
33,정O출농장,경상남도 사천시 실안동,돼지,허가대상,1000,2026-06-17
34,정O희농장,경상남도 사천시 이홀동,한우,허가대상,26,2026-06-17
35,광O농장,경상남도 사천시 곤명면,한우,허가대상,25,2026-06-17
36,곽O도농장,경상남도 사천시 사남면,한우,허가대상,50,2026-06-17
37,김O찬농장,경상남도 사천시 곤명면,한우,허가대상,9,2026-06-17
38,에O농장,경상남도 사천시 서포면,돼지,허가대상,1700,2026-06-17
39,초O농장,경상남도 사천시 축동,육우,허가대상,46,2026-06-17
40,대O농장,경상남도 사천시 사남면,젖소,허가대상,61,2026-06-17
41,영O목장,경상남도 사천시 곤양면,젖소,허가대상,150,2026-06-17
42,밀O목장,경상남도 사천시 곤양면,젖소,허가대상,75,2026-06-17
43,원O목장,경상남도 사천시 곤양면,한우,등록대상 ,3,2026-06-17
44,정O호목장,경상남도 사천시 곤양면,젖소,허가대상,126,2026-06-17
45,금O목장,경상남도 사천시 서포면,젖소,허가대상,81,2026-06-17
46,자O목장,경상남도 사천시 서포면,젖소,허가대상,120,2026-06-17
47,복O목장,경상남도 사천시 사천읍 ,한우,허가대상,32,2026-06-17
48,새O목장,경상남도 사천시 서포면,젖소,허가대상,100,2026-06-17
49,두O목장,경상남도 사천시 사천읍 ,육우,허가대상,15,2026-06-17
50,사O축협 생장물 사업장,경상남도 사천시 곤명면,한우,허가대상,790,2026-06-17
51,한O농장,경상남도 사천시 용현면,염소,등록대상 ,0,2026-06-17
52,성O목장,경상남도 사천시 축동,젖소,허가대상,130,2026-06-17
53,신O목장,경상남도 사천시 축동,한우,허가대상,102,2026-06-17
54,현O농장,경상남도 사천시 서포면,돼지,허가대상,1304,2026-06-17
55,까O목장,경상남도 사천시 서포면,한우,허가대상,25,2026-06-17
56,흙O랑 농장,경상남도 사천시 사천읍,염소,등록대상 ,20,2026-06-17
57,구O농장,경상남도 사천시 정동,육계,허가대상,30000,2026-06-17
58,대O농원,경상남도 사천시 사남면,돼지,허가대상,3000,2026-06-17
59,구O효농장,경상남도 사천시 사남면,한우,허가대상,15,2026-06-17
60,이O명농장,경상남도 사천시 사남면,한우,허가대상,30,2026-06-17
61,고O봉목장,경상남도 사천시 용현면,한우,허가대상,29,2026-06-17
62,송O수목장,경상남도 사천시 용현면,젖소,허가대상,100,2026-06-17
63,구O열목장,경상남도 사천시 용현면,한우,허가대상,20,2026-06-17
64,덕O농장,경상남도 사천시 용현면,한우,허가대상,32,2026-06-17
65,상O목장,경상남도 사천시 곤양면,한우,허가대상,280,2026-06-17
66,삼O목장,경상남도 사천시 곤양면,한우,허가대상,40,2026-06-17
67,중O목장,경상남도 사천시 곤양면,한우,허가대상,151,2026-06-17
68,광O농장1,경상남도 사천시 곤양면,한우,허가대상,240,2026-06-17
69,미O목장,경상남도 사천시 곤양면,한우,허가대상,30,2026-06-17
70,진O농장,경상남도 사천시 곤양면,돼지,허가대상,1000,2026-06-17
71,강O옥농장,경상남도 사천시 곤명면,한우,허가대상,10,2026-06-17
72,주O형농장,경상남도 사천시 서포면,한우,허가대상,45,2026-06-17
73,금O축산,경상남도 사천시 서포면,한우,허가대상,43,2026-06-17
74,문O권농장,경상남도 사천시 서포면,한우,허가대상,30,2026-06-17
75,밋O리축산,경상남도 사천시 서포면,한우,허가대상,10,2026-06-17
76,김O태농장,경상남도 사천시 축동,한우,허가대상,80,2026-06-17
77,진O축산,경상남도 사천시 사남면,한우,허가대상,10,2026-06-17
78,김O일목장,경상남도 사천시 사남면,젖소,허가대상,43,2026-06-17
79,전O규농장,경상남도 사천시 용현면,한우,허가대상,25,2026-06-17
80,강O곤목장,경상남도 사천시 용현면,한우,허가대상,24,2026-06-17
81,진O농장,경상남도 사천시 용현면,한우,허가대상,54,2026-06-17
82,효O목장,경상남도 사천시 용현면,한우,허가대상,9,2026-06-17
83,천O식농장,경상남도 사천시 축동,한우,허가대상,25,2026-06-17
84,윤O국농장,경상남도 사천시 곤양면,한우,허가대상,110,2026-06-17
85,송O축산,경상남도 사천시 곤양면,한우,허가대상,30,2026-06-17
86,무O개 한우 농장,경상남도 사천시 곤양면,한우,허가대상,100,2026-06-17
87,가O안목장,경상남도 사천시 곤양면,젖소,허가대상,155,2026-06-17
88,조O래농장,경상남도 사천시 곤양면,한우,허가대상,1,2026-06-17
