시군,한육우 가구수,한육우 마리수,젖소 가구수,젖소 마리수,돼지 가구수,돼지 마리수,닭 가구수 ,닭 마리수
창원시,382 ,9226 ,27 ,1961 ,30 ,54199 ,666 ,152870 
진주시,470 ,14322 ,20 ,1305 ,29 ,54761 ,682 ,948116 
통영시,54 ,1020 ,0 ,0 ,0 ,0 ,151 ,35269 
사천시,441 ,13416 ,29 ,2970 ,16 ,66970 ,320 ,231667 
김해시,587 ,32652 ,13 ,1162 ,107 ,201864 ,418 ,689036 
밀양시,693 ,25653 ,21 ,2036 ,46 ,79578 ,320 ,765835 
거제시,108 ,1869 ,0 ,0 ,1 ,98 ,405 ,182548 
양산시,103 ,1441 ,13 ,812 ,37 ,79244 ,129 ,666511 
의령군,456 ,17128 ,18 ,1587 ,12 ,51070 ,277 ,616400 
함안군,408 ,14087 ,42 ,3061 ,34 ,86480 ,278 ,579974 
창녕군,620 ,31631 ,23 ,1116 ,22 ,77025 ,43 ,3051810 
고성군,598 ,16242 ,42 ,4236 ,42 ,101990 ,551 ,710889 
남해군,455 ,11591 ,6 ,411 ,3 ,5841 ,242 ,62319 
하동군,442 ,13537 ,20 ,1409 ,15 ,48644 ,347 ,147588 
산청군,481 ,11385 ,9 ,1109 ,23 ,86637 ,404 ,1083204 
함양군,431 ,13764 ,14 ,570 ,25 ,75130 ,369 ,734211 
거창군,813 ,33539 ,5 ,578 ,22 ,57608 ,724 ,1527857 
합천군,1231 ,41613 ,0 ,0 ,92 ,206892 ,869 ,1712514 
