사업장명칭,축종,사업장소재지,사육두수,가축분뇨 처리방법
조*농장,돼지,경상북도 경산시 자인면 남신리,3443,자원화 및 정화처리
덕*농장,돼지,경상북도 경산시 남천면 대명리,891,자원화 및 위탁처리
덕*농장,돼지,경상북도 경산시 압량읍 가일리,143,자원화 및 위탁처리
신*랑농장,돼지,경상북도 경산시 압량읍 가일리,3827,자원화 및 위탁처리
봉*농장,돼지,경상북도 경산시 압량읍 신월리,1820,자원화 및 위탁처리
원*장,돼지,경상북도 경산시 하양읍 사기리,1980,자원화 및 위탁처리
청*농장,돼지,경상북도 경산시 와촌면 계전리,1961,자원화 및 위탁처리
서*농장,돼지,경상북도 경산시 압량읍 당음리,3903,"자원화, 위탁처리 및 정화처리"
김*자,돼지,경상북도 경산시 자인면 남신리,1843,자원화 및 위탁처리
조*민,돼지,경상북도 경산시 남산면 평기리,1736,자원화 및 위탁처리
유*목장,돼지,경상북도 경산시 자인면 남신리,731,자원화
그*팜,돼지,경상북도 경산시 용성면 용전리,611,자원화 및 위탁처리
피*포크영농조합법인,돼지,경상북도 경산시 용성면 곡신리,175,자원화 및 위탁처리
나*농장,돼지,경상북도 경산시 남천면 대명리,700,자원화 및 위탁처리
그*농장,돼지,경상북도 경산시 압량읍 신월리,1256,자원화 및 위탁처리
형*농장,돼지,경상북도 경산시 압량읍 금구리,952,자원화 및 위탁처리
김*농장,돼지,경상북도 경산시 압량읍 신월리,1062,자원화 및 위탁처리
신*농장,돼지,경상북도 경산시 와촌면 계전리,655,자원화 및 위탁처리
경*농장,돼지,경상북도 경산시 진량읍 북리,1280,자원화 및 위탁처리
경*농장,돼지,경상북도 경산시 남산면 경리,2238,자원화 및 위탁처리
청*농장,돼지,경상북도 경산시 하양읍 청천리,795,자원화 및 위탁처리
덕*농장,돼지,경상북도 경산시 압량읍 가일리,2478,자원화 및 위탁처리
여*농장,돼지,경상북도 경산시 여천동,996,자원화 및 위탁처리
계*농장,돼지,경상북도 경산시 와촌면 계당리,1260,자원화 및 위탁처리
해*름 농업회사법인(주),돼지,경상북도 경산시 압량읍 신월리,27061,자원화
프*임 팜,돼지,경상북도 경산시 압량읍 신월리,1001,자원화 및 위탁처리
