사업장명칭,주사육업종,사업장소재지
매*농장,한우,경상북도 경산시 용성면 매남리
덕*농장2,한우,경상북도 경산시 와촌면 덕촌리
한*농장,한우,경상북도 경산시 와촌면 덕촌리
조*근,한우,경상북도 경산시 용성면 용천리
신*석,돼지,경상북도 경산시 와촌면 박사리
김*용,돼지,경상북도 경산시 와촌면 대동
장*농장,한우,경상북도 경산시 와촌면 계전리
고*옥,한우,경상북도 경산시 하양읍 사기리
전*장,한우,경상북도 경산시 하양읍 사기리
하*목장,젖소,경상북도 경산시 용성면 고죽리
조*철,한우,경상북도 경산시 용성면 대종리
다*목장,한우,경상북도 경산시 진량읍 다문리
김*태농장,한우,경상북도 경산시 용성면 내촌리
소*봉,한우,경상북도 경산시 하양읍 한사리
호*농장,한우,경상북도 경산시 진량읍 안촌리
장*농장,한우,경상북도 경산시 압량읍 당음리
장*농장,한우,경상북도 경산시 압량읍 강서리
원*농장,한우,경상북도 경산시 대정동
반*목장,한우,경상북도 경산시 남산면 반곡리
옥*농장,"한우, 돼지",경상북도 경산시 용성면 일광리
조*농장,돼지,경상북도 경산시 자인면 남신리
승*농장,돼지,경상북도 경산시 자인면 남신리
석*목장,육우,경상북도 경산시 용성면 쟁광리
유*농장,돼지,경상북도 경산시 유곡동
당*농장,돼지,경상북도 경산시 진량읍 당곡리
나*농장,돼지,경상북도 경산시 남천면 대명리
신*랑농장,돼지,경상북도 경산시 압량읍 가일리
동*목장,한우,경상북도 경산시 남천면 대명리
북*농장,돼지,경상북도 경산시 자인면 북사리
선*농장,돼지,경상북도 경산시 압량읍 당음리
형*농장,돼지,경상북도 경산시 압량읍 금구리
원*장,돼지,경상북도 경산시 하양읍 사기리
재*농장,돼지,경상북도 경산시 압량읍 가일리
여*농장,돼지,경상북도 경산시 여천동
서*농장,돼지,경상북도 경산시 압량읍 당음리
그*팜,돼지,경상북도 경산시 용성면 용전리
경*농장,돼지,경상북도 경산시 남산면 경리
덕*농장,돼지,경상북도 경산시 남천면 대명리
대*농장,돼지,경상북도 경산시 남산면 평기리
한*농장,돼지,경상북도 경산시 압량읍 가일리
흥*목장,한우,경상북도 경산시 남산면 흥정리
경*목장,"한우, 육우",경상북도 경산시 남천면 송백리
유*농장,한우,경상북도 경산시 남천면 송백리
구*농장,한우,경상북도 경산시 남천면 구일리
동*농장,젖소,경상북도 경산시 용성면 일광리
한*사랑농장,한우,경상북도 경산시 자인면 북사리
고*목장,한우,경상북도 경산시 용성면 고은리
용*목장,한우,경상북도 경산시 용성면 용전리
봉*농장,한우,경상북도 경산시 남산면 우검리
다*농장,한우,경상북도 경산시 진량읍 다문리
선*목장,젖소,경상북도 경산시 진량읍 북리
계*농장,돼지,경상북도 경산시 와촌면 계당리
소*농장,한우,경상북도 경산시 진량읍 아사리
호*농장,한우,경상북도 경산시 압량읍 강서리
고*목장,한우,경상북도 경산시 진량읍 신상리
에*목장,젖소,경상북도 경산시 진량읍 평사(坪)리
안*농장,한우,경상북도 경산시 유곡동
소*목장2,한우,경상북도 경산시 와촌면 소월리
태*농장,한우,경상북도 경산시 남천면 삼성리
신*목장,한우,경상북도 경산시 자인면 옥천리
흥*목장,한우,경상북도 경산시 남천면 흥산리
평*축산,한우,경상북도 경산시 평산동
송*목장,육우,경상북도 경산시 남천면 송백리
동*목장,한우,경상북도 경산시 용성면 송림리
계*목장,한우,경상북도 경산시 와촌면 계전리
요*농장,한우,경상북도 경산시 진량읍 현내리
성*농장,한우,경상북도 경산시 남천면 구일리
경*농장,한우,경상북도 경산시 남천면 신방리
경*농장,한우,경상북도 경산시 남산면 연하리
푸*농장,한우,경상북도 경산시 남산면 연하리
연*농장,한우,경상북도 경산시 남산면 연하리
내*목장,한우,경상북도 경산시 용성면 내촌리
문*농장,한우,경상북도 경산시 백천동
무*유농장,한우,경상북도 경산시 남천면 삼성리
송*목장,한우,경상북도 경산시 남천면 송백리
백*목장,한우,경상북도 경산시 남산면 연하리
부*목장,한우,경상북도 경산시 용성면 부일리
영*농장,한우,경상북도 경산시 와촌면 박사리
덕*농장,한우,경상북도 경산시 와촌면 상암리
현*농장,한우,경상북도 경산시 압량읍 현흥리
금*농장,한우,경상북도 경산시 남천면 금곡리
신*농장,돼지,경상북도 경산시 압량읍 신월리
내*목장,한우,경상북도 경산시 용성면 내촌리
부*농장,한우,경상북도 경산시 자인면 남신리
