연번,기관명,주소,등록일자,농장식별번호,운영여부,신고여부,신고일자,모돈,후보돈,웅돈,자돈,육성돈,비육돈,총두수,오폐수처리방법,데이터기준일자
1,축산물품질평가원,경상북도 문경시 동로면 석항명봉로 567-6,2013-03-28,701341,운영,미신고,,0,0,0,0,0,0,0,액비화,2025-11-12
2,대한한돈협회(문경지부),경상북도 문경시 가은읍  ,2012-09-20,700662,운영,신고,2025-11-04,275,17,18,1628,695,493,3126,문경시 공공처리시설 유입 처리,2025-11-12
3,축산물품질평가원,경상북도 문경시 영순면 김용리 ,2013-03-28,700664,운영,신고,2025-11-03,0,0,0,0,145,945,1090,문경시 공공처리시설 유입 처리,2025-11-12
4,대한한돈협회(문경지부),경상북도 문경시 산북면 운달로 222-28,2013-03-28,700680,운영,신고,2025-11-04,0,0,0,0,828,840,1668,문경시 공공처리시설 유입 처리,2025-11-12
5,대한한돈협회(문경지부),경상북도 문경시 마성면 안늘목2길 45-6,2013-03-28,700690,운영,신고,2025-11-04,330,12,3,1600,1450,510,3905,문경시 공공처리시설 유입 처리,2025-11-12
6,대한한돈협회(문경지부),경상북도 문경시 호계면 가열1길 10-7,2013-03-28,700674,운영,신고,2025-11-03,0,0,0,0,540,379,919,문경시 공공처리시설 유입 처리,2025-11-12
7,대한한돈협회(문경지부),경상북도 문경시 마성면  ,2013-05-21,700691,운영,신고,2025-11-04,245,12,3,685,824,710,2479,문경시 공공처리시설 유입 처리,2025-11-12
8,대한한돈협회(문경지부),경상북도 문경시 산북면 운달로 1126-31,2013-05-21,700681,운영,신고,2025-11-02,143,22,3,647,406,579,1800,문경시 공공처리시설 유입 처리,2025-11-12
9,대한한돈협회(문경지부),경상북도 문경시 농암면 상신농장길  83,2014-09-14,700696,운영,신고,2025-11-04,0,0,0,0,530,400,930,문경시 공공처리시설 유입 처리,2025-11-12
10,대한한돈협회(문경지부),경상북도 문경시 마성면 안늘목1길 20,2014-10-14,700689,운영,신고,2025-11-04,310,20,3,1500,1000,900,3733,문경시 공공처리시설 유입 처리,2025-11-12
11,대한한돈협회(문경지부),경상북도 문경시 산북면 소정길 52-17,2014-10-21,700682,운영,신고,2025-11-04,0,0,0,0,400,675,1075,문경시 공공처리시설 유입 처리,2025-11-12
12,대한한돈협회(문경지부),경상북도 문경시 호계면 가섭길 401,2014-10-22,700676,운영,신고,2025-11-04,105,15,1,424,420,240,1205,문경시 공공처리시설 유입 처리,2025-11-12
13,축산물품질평가원,경상북도 문경시 농암면  ,2018-04-12,700694,운영,신고,2025-11-04,0,0,0,118,146,0,264,문경시 공공처리시설 유입 처리,2025-11-12
14,축산물품질평가원,경상북도 문경시 산양면 산동로 263-7,2018-07-06,700668,운영,신고,2025-11-03,0,0,0,1290,0,834,2124,문경시 공공처리시설 유입 처리,2025-11-12
15,대한한돈협회(문경지부),경상북도 문경시 가은읍 공단강변길 295-8,2020-07-30,700661,운영,신고,2025-11-04,300,0,0,1100,1400,800,3600,문경시 공공처리시설 유입 처리,2025-11-12
16,대한한돈협회(문경지부),경상북도 문경시 농암면 갈동길 179,2021-12-15,700695,운영,신고,2025-11-04,259,69,3,488,1494,824,3137,문경시 공공처리시설 유입 처리,2025-11-12
17,대한한돈협회(문경지부),경상북도 문경시 호계면 태봉1길 70-36,2022-12-28,700675,운영,신고,2025-11-04,0,0,0,0,400,600,1000,문경시 공공처리시설 유입 처리,2025-11-12
18,대한한돈협회(문경지부),경상북도 문경시 문경읍 하푸실길 60-103,2023-01-13,700658,운영,신고,2025-11-04,125,11,1,498,334,453,1422,문경시 공공처리시설 유입 처리,2025-11-12
19,축산물품질평가원,경상북도 문경시 산북면 강동로 312-24,2023-01-26,700683,운영,신고,2025-11-03,1473,481,11,7548,384,0,9897,문경시 공공처리시설 유입 처리,2025-11-12
20,대한한돈협회(문경지부),경상북도 문경시 호계면 선암길 38-1,2024-08-23,700677,운영,신고,2025-11-04,0,0,0,1792,0,0,1792,문경시 공공처리시설 유입 처리,2025-11-12
21,대한한돈협회(문경지부),경상북도 문경시 호계면 연역길 25,2024-08-23,700679,운영,신고,2025-11-04,543,6,70,2242,0,0,2861,문경시 공공처리시설 유입 처리,2025-11-12
