사업장명칭,등록축종,사업장소재지(지번),사육두수,동수(계),면적(계),오폐수처리방법,데이터기준일자
**농장,양돈,경상북도 봉화군 봉화읍 적덕리,1973,6,2243,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 도촌리,4608,17,3047.35,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 화천리,2429,8,2904.65,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 상운면 운계리,679,3,913.1,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 적덕리,4556,8,4766.45,퇴액비자원화,2025-11-11
**팜,양돈,경상북도 봉화군 봉화읍 석평리,1481,4,2170.36,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 문단리,2953,8,2828.06,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 도촌리,1211,3,1332,퇴액비자원화,2025-11-11
*농장,양돈,경상북도 봉화군 봉화읍 거촌리,0,6,3488.7,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 도촌리,1485,9,1275.78,퇴액비자원화,2025-11-11
**축산,양돈,경상북도 봉화군 봉화읍 문단리,1814,,2466.13,퇴액비자원화,2025-11-11
**양돈,양돈,경상북도 봉화군 봉성면 금봉리,1637,6,2452.17,퇴액비자원화,2025-11-11
*****농장,양돈,경상북도 봉화군 소천면 분천리,0,2,308.07,퇴액비자원화,2025-11-11
**장,양돈,경상북도 봉화군 명호면 양곡리,24,2,784,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 석평리,0,4,2143.2,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 명호면 양곡리,0,3,810.74,퇴액비자원화,2025-11-11
**축산,양돈,경상북도 봉화군 봉화읍 도촌리,1821,5,2185.6,퇴액비자원화,2025-11-11
****축사,양돈,경상북도 봉화군 봉성면 봉양리,113,3,716.04,퇴액비자원화,2025-11-11
***농장,양돈,경상북도 봉화군 봉화읍 문단리,7187,12,6498,퇴액비자원화,2025-11-11
**림,양돈,경상북도 봉화군 봉화읍 도촌리,3674,5,2249.79,퇴액비자원화,2025-11-11
**농장(주),양돈,경상북도 봉화군 봉화읍 도촌리,1570,2,2879.92,퇴액비자원화,2025-11-11
***농장(주),양돈,경상북도 봉화군 봉화읍 도촌리,800,3,2819.7,퇴액비자원화,2025-11-11
**농장,양돈,경상북도 봉화군 봉화읍 도촌리,3180,4,3503.15,퇴액비자원화,2025-11-11
**종돈장,양돈,경상북도 봉화군 봉화읍 석평리,3316,6,2155.7,퇴액비자원화,2025-11-11
****농장,양돈,경상북도 봉화군 상운면 운계리,2474,8,2113.4,퇴액비자원화,2025-11-11
**농장 봉화지점,양돈,경상북도 봉화군 상운면 설매리,1955,3,2682.52,퇴액비자원화,2025-11-11
