연번,읍면,농장명,축사소재지, 사육두수 ,오폐수처리방법
1,성주읍,대립농장,성주읍 금산리,2000 ,퇴비화 액비화
2,성주읍,성주한돈,성주읍 용산리,3150 ,"퇴비화, 액비화, 정화방류(역삼투막분리)"
3,선남면,연구농장,선남면 성원리,1640 ,퇴비화 위탁처리
4,선남면,원농장,선남면 오도리,1068 ,퇴비화 액비화
5,선남면,선남농장,선남면 문방리,1617 ,퇴비화
6,선남면,용신2농장,선남면 오도리,3173 ,"퇴비화 액비화, 정화방류"
7,선남면,용신영농조합법인,선남면 용신리,17785 ,"퇴비화, 액비화, 정화방류(R/O시스템)"
8,선남면,농업회사법인㈜포크랜드,선남면 문방리,7279 ,퇴비화 액비화
9,용암면,능인축산,용암면 덕평리,1400 ,퇴비화 액비화 위탁
10,용암면,슬기농장,용암면 운산리,1401 ,퇴비화 액비화
11,용암면,문명농장,용암면 문명리,1125 ,퇴비화 액비화
12,용암면,일번지농장,용암면 문명리,4492 ,"퇴비화, 액비화, 정화방류(순정시스템)"
13,금수면,금수농장,금수면 광산리,1292 ,퇴비화 액비화 위탁
14,금수면,무학농장,금수면 무학리,1793 ,퇴비화 액비화
15,대가면,옥화농장,대가면 옥화리,1400 ,"퇴비화, 액비화, 위탁"
16,대가면,대하농장,대가면 용흥리,1591 ,퇴비화 액비화
17,가천면,동강3농장,가천면 창천리,1296 ,퇴비화 액비화
18,벽진면,동강2농장,벽진면 외기리,3112 ,퇴비화 위탁처리
19,벽진면,동강농장,벽진면 외기리,1910 ,퇴비화 위탁
20,초전면,㈜일 농업회사법인,초전면 용성리,10784 ,"퇴비화, 액비화, 정화방류(역삼투막분리)"
21,초전면,한솔농장,초전면 용성리,,퇴비화 액비화
22,초전면,우영농장,초전면 용봉리,2132 ,"퇴비화, 위탁"
23,초전면,,초전면 용봉리 ,1393 ,"퇴비화, 위탁"
24,초전면,삼형제농장,초전면 용봉리,2520 ,"퇴비화, 액비화, 정화방류(A2O)"
25,초전면,성신농장,초전면 용봉리,650 ,"퇴비화, 액비화, 정화방류(A2O)"
26,초전면,성신농장,초전면 용봉리,765 ,"퇴비화, 액비화, 정화방류(A2O)"
27,초전면,성신농장,초전면 용봉리,1880 ,"퇴비화, 액비화, 정화방류(A2O)"
28,초전면,성신농장,초전면 용봉리,1270 ,"퇴비화, 액비화, 정화방류(A2O)"
29,초전면,성신농장,초전면 용봉리,1019 ,"퇴비화, 액비화, 정화방류(A2O)"
30,초전면,성신농장,초전면 용봉리,1350 ,"퇴비화, 액비화, 정화방류(A2O)"
31,초전면,성신농장,초전면 용봉리,600 ,"퇴비화, 액비화, 정화방류(A2O)"
32,초전면,성신농장,초전면 용봉리,1420 ,"퇴비화, 액비화, 정화방류(A2O)"
33,초전면,학윤농장,초전면 용봉리,1000 ,"퇴비화, 액비화, 정화방류(A2O)"
34,초전면,,초전면 용봉리,500 ,"퇴비화, 액비화, 정화방류(A2O)"
35,월항면,화랑농장,월항면 대산리,2907 ,퇴비화 액비화
36,월항면,창성농장,월항면 대산리,2873 ,"퇴비화, 액비화"
37,월항면,은혜농장,월항면 수죽리,1986 ,"퇴비화, 액비화"
38,월항면,세리농장,월항면 수죽리,3208 ,퇴비화 액비화 위탁
39,월항면,솔꿈농장,월항면 안포리 ,923 ,퇴비화 위탁처리
40,월항면,농업회사법인㈜하이팜,월항면 장산리 ,9029 ,"퇴비화, 액비화, 정화방류(고액분리)"
