사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
안동민속한우영농조합법인,한우,"경상북도 안동시 서후면 이개리 669번지 1호 외4필지(616-2,616-1,312-4,312-26) ","경상북도 안동시 서후면 백현길 122 (외4필지(616-2,616-1,312-4,312-26))",2025-11-25
성우농장 1,한우,경상북도 안동시 서후면 이개리 386번지  ,경상북도 안동시 서후면 귀여리길 406,2025-11-25
성우농장 2,한우,경상북도 안동시 서후면 이개리 386번지  ,"경상북도 안동시 서후면 귀여리길 406, (이개리 387,387-1,387-2)",2025-11-25
김재준농장,한우,"경상북도 안동시 와룡면 주계리 777번지 ,777-1 ",경상북도 안동시 와룡면 장수골길 217-15,2025-11-25
김상목농장,한우,경상북도 안동시 와룡면 주계리 595번지 5호  ,경상북도 안동시 와룡면 가야길 439,2025-11-25
조이팜농장,돼지,경상북도 안동시 와룡면 가구리 429번지  ,경상북도 안동시 와룡면 농암로 134-12,2025-11-25
와룡농장,육계,경상북도 안동시 와룡면 주계리 642번지  ,경상북도 안동시 와룡면 농암로 365-15,2025-11-25
우안농장,한우,경상북도 안동시 풍산읍 안교리 27번지  ,경상북도 안동시 풍산읍 어란길 69,2025-11-25
태성농장,한우,경상북도 안동시 풍산읍 회곡리 556번지  ,경상북도 안동시 풍산읍 청회길 91,2025-11-25
연곡농장,한우,경상북도 안동시 북후면 연곡리 590번지 1호 588-1 ,"경상북도 안동시 북후면 와북로 274, 285",2025-11-25
안석동목장,젖소,경상북도 안동시 북후면 장기리 389번지  ,경상북도 안동시 북후면 토골길 98-37,2025-11-25
안동축우촌,한우,경상북도 안동시 북후면 도진리 107번지 2호  ,경상북도 안동시 북후면 태리금산로 378-13,2025-11-25
두진축산,한우,경상북도 안동시 북후면 도진리 103번지 2호  ,경상북도 안동시 북후면 태리금산로 378-16,2025-11-25
물한리농장,한우,경상북도 안동시 북후면 물한리 176번지  ,경상북도 안동시 북후면 저전물한길 96-20,2025-11-25
안동민속한우농장,한우,"경상북도 안동시 서후면 이개리 392-1,506,507,507-1,508 ",,2025-11-25
원조농장,한우,"경상북도 안동시 풍산읍 회곡리 556번지 1호 외 2필지(556-2, 553) ",경상북도 안동시 풍산읍 청회길 91,2025-11-25
도진축산,한우,"경상북도 안동시 북후면 도진리 104번지 3호 , 105-1, 105-3, 105-5 ",,2025-11-25
한국생명과학고등학교,한우,경상북도 안동시 옥동 1202번지  ,경상북도 안동시 하이마로 385 (옥동),2025-11-25
대성농장,한우,경상북도 안동시 서후면 성곡리 16번지 1호  ,경상북도 안동시 서후면 풍산태사로 3075,2025-11-25
작산농장,한우,경상북도 안동시 서후면 저전리 252번지  ,경상북도 안동시 서후면 저전3길 9-2,2025-11-25
순농장,육계,경상북도 안동시 서후면 이송천리 78번지  ,경상북도 안동시 서후면 이송천한터길 45-24,2025-11-25
와룡농산,한우,"경상북도 안동시 와룡면 지내리 745번지 , 745-1, 746-1, 746-2, 산178-3 ",,2025-11-25
김삼기농장,한우,경상북도 안동시 북후면 물한리 116번지  ,,2025-11-25
실로암농장,한우,"경상북도 안동시 녹전면 매정리 867번지 ,881-1, 882-1 ","경상북도 안동시 녹전면 고정길 28, 외 2필지",2025-11-25
