구분,사업장명,주소,사육두수,가축분뇨처리방법
1,개인,경상북도 영덕군 영덕읍 남산리 548 ,30,퇴비화
2,개인,경상북도 영덕군 강구면 하저리 237 외3필(237-1.238.234) ,576,퇴비화
3,개인,경상북도 영덕군 영덕읍 남산리 534 ,150,저장액비화
4,개인,경상북도 영덕군 강구면 금호리 131 ,100,장기폭기법
5,개인,경상북도 영덕군 강구면 금호리 215 ,236,장기폭기법
6,개인,경상북도 영덕군 강구면 하저리 238 ,300,"장기폭기법, 퇴비화"
7,설레임팜,경상북도 영덕군 영해면 성내리 913 913-1 ,668,퇴비화
8,수정축산,경상북도 영덕군 강구면 금호리 157. 159 ,480,퇴비화
9,개인,경상북도 영덕군 강구면 소월리 231. 232 ,150,"장기폭기법, 퇴비화"
10,개인,경상북도 영덕군 병곡면 영리 1096-1 ,180,"장기폭기법, 퇴비화"
11,개인,경상북도 영덕군 영덕읍 화수리 637-1 ,270,퇴비화
12,개인,경상북도 영덕군 영덕읍 삼계리 166 ,282,퇴비화
13,(주)무영친환경복지농장농업회사법인,경상북도 영덕군 지품면 황장리 74-1 ,293,퇴비화
14,개인,경상북도 영덕군 지품면 황장리 82-3 ,280,"장기폭기법, 퇴비화"
15,차돌농장,경상북도 영덕군 영해면 묘곡리 101-1 ,150,"저장액비화, 퇴비화"
16,개인,경상북도 영덕군 강구면 원직리 118 ,60,"저장액비화, 퇴비화"
17,개인,경상북도 영덕군 강구면 금호리 60 ,612,"저장액비화, 퇴비화"
18,단비농장,경상북도 영덕군 창수면 갈천리 294-6 ,300,"저장액비화, 퇴비화"
19,에벤에셀농장,경상북도 영덕군 병곡면 사천리 499 외 7필지(497-2. 491-2. 498. 491-5. 497-1. 491-1. 491-6) ,4000,"퇴비화, 정화처리"
20,진불축산,경상북도 영덕군 강구면 금호리 41 외1필지(48) ,1013,퇴비화
21,개인,경상북도 영덕군 영덕읍 화수리 744 . 743-1 ,350,"저장액비화, 퇴비화"
22,개인,경상북도 영덕군 영덕읍 화수리 598-3 ,0,"저장액비화, 퇴비화"
23,개인,경상북도 영덕군 영덕읍 화수리 604-7 ,0,"저장액비화, 퇴비화"
24,화수농장,경상북도 영덕군 영덕읍 화수리 652 외3필지(642.652-1.652-5) ,659,"저장액비화, 퇴비화"
25,개인,경상북도 영덕군 영덕읍 우곡리 53 ,0,"장기폭기법, 저장액비화"
26,개인,경상북도 영덕군 영덕읍 매정리 1048 ,793,퇴비화
27,개인,경상북도 영덕군 지품면 속곡리 58 외1필(59-1) ,51,퇴비화
28,월곡농장,경상북도 영덕군 축산면 부곡리 367-2 외 1필(367-4) ,370,퇴비화
