연번,사업장명,축종,주소,사육두수,오폐수처리시설
1,강산농원,돼지,경상북도 영천시 청통면 용내길 18916,  ,자원화시설 위탁처리
2,최신농장,돼지,경상북도 영천시 청통면 용내길 21520,  ,정화처리자원화시설위탁처리
3,활보농장,돼지,경상북도 영천시 고경면 가수길 4023,1950,자원화시설 위탁처리
4,수호농장,돼지,경상북도 영천시 고경면 단포구보길 94,1080,자원화시설 위탁처리
5,대천농장,돼지,경상북도 영천시 고경면 청정길 132,3892,자원화시설 위탁처리
6,오성농장,돼지,경상북도 영천시 고경면 청정길 128,768,자원화시설 위탁처리
7,황금농장,돼지,경상북도 영천시 고경면 청정길 11824,640,자원화시설   
8,삼원농장,돼지,경상북도 영천시 금호읍 금호제방길 18864,2641,자원화시설 위탁처리
9,남영농장,돼지,경상북도 영천시 북안면 신평탑골길 93132,1427,자원화시설 위탁처리
10,왕초축산,돼지,경상북도 영천시 임고면 운주로 242149,400,자원화시설 위탁처리
11,우농장,돼지,경상북도 영천시 신녕면 원낙길 34,1718,자원화시설 위탁처리
12,일출2농장,돼지,경상북도 영천시 청통면 용내길 21545,  ,자원화시설 위탁처리
13,이상농장,돼지,경상북도 영천시 북안면 신평탑골길 7522,1550,위탁처리
14,명성농장,돼지,경상북도 영천시 대창면  대창리 28,3407,정화처리자원화시설위탁처리
15,경북 AI,돼지,경상북도 영천시 대창면 성갈길 59,3662,자원화시설
16,일출농장,돼지,경상북도 영천시 청통면 용내길 21538,3995,정화처리자원화시설위탁처리
17,성현1농장,돼지,경상북도 영천시 화산면 대안2길 104,3273,정화처리 
18,미래농장,돼지,경상북도 영천시 청통면 용내길 157,3910,정화처리자원화시설위탁처리
19,대성농장,돼지,경상북도 영천시 청통면 용내길 18916,950,자원화시설 위탁처리
20,말밭농장,돼지,경상북도 영천시 청통면 사일로 515,4121,자원화시설위탁처리
21,창바우농장,돼지,경상북도 영천시 고경면 호국로 575262,3128,자원화시설 위탁처리
22,성현농장,돼지,경상북도 영천시 청통면 구정길 428,1636,자원화시설 위탁처리
23,한결농장,돼지,경상북도 영천시 금호읍 거여로 2279,2526,위탁처리
24,선진농장,돼지,경상북도 영천시 금호읍 거여로 34280,1843,호기액비화시설
25,말밭2농장,돼지,경상북도 영천시 청통면 신덕1길 25,7017,정화처리자원화시설위탁처리
26,송림양돈제3농장,돼지,경상북도 영천시 북안면 신평탑골길 7522,1810,정화처리 자원화시설위탁처리
27,송림양돈제1농장,돼지,경상북도 영천시 북안면 돌할매로 21013,4350,정화처리자원화시설위탁처리
28,대의농장,돼지,경상북도 영천시 고경면 거곡로 27424,989,자원화시설위탁처리
29,SF농장,돼지,경상북도 영천시 금호읍 거여로 36091,2546,자원화시설위탁처리
30,에덴농장,돼지,경상북도 영천시 금호읍  황정리 7036,3240,자원화시설위탁처리
31,청계농장,돼지,경상북도 영천시 청통면 망지1길 24,1513,자원화시설   
32,청산농장,돼지,경상북도 영천시 청통면  계지리 741,2121,자원화시설위탁처리
33,권영건,돼지,경상북도 영천시 금호읍 거여로 34273,1350,자원화시설위탁처리
34,비원농장,돼지,경상북도 영천시 북안면 팔암길 981,3006,자원화시설 위탁처리
35,대광농장,돼지,경상북도 영천시 임고면 신방로 4083,4804,자원화시설 위탁처리
36,약농농장,돼지,경상북도 영천시 대창면 장곡길 18412,  ,자원화시설위탁처리
37,제이농장,돼지,경상북도 영천시 고경면 차당실로 70927,760,자원화시설위탁처리
38,구일농장,돼지,경상북도 영천시 화남면 귀호1길 175,  ,자원화시설위탁처리
39,봉무농장,돼지,경상북도 영천시 청통면 솔밭길 8,900,자원화시설위탁처리
40,원화축산,돼지,경상북도 영천시 금호읍 남성길 10415,1650,자원화시설
41,한얼농장,돼지,경상북도 영천시 청통면 한티길 160,4152,자원화시설 정화시설 위탁처리
42,룸비니농장,돼지,경상북도 영천시 청통면 애련길 82,3877,자원화시설 위탁처리 
43,현대농장,돼지,경상북도 영천시 화남면 천문로 177110,818,자원화시설 위탁처리 
44,도천축산,돼지,경상북도 영천시 북안면 신평탑골길 758,1612,자원화시설 위탁처리 
45,지덕농장,돼지,경상북도 영천시 신녕면 구디티길 6529,3221,자원화시설 위탁처리 
46,죽곡농장,돼지,경상북도 영천시 화남면 신선로 350,  ,자원화시설 위탁처리
47,샛별농장,돼지,경상북도 영천시 신녕면 장수로 14469,813,자원화시설 위탁처리 
48,중원농장,돼지,경상북도 영천시 대창면 영지길 3016,  ,자원화시설 위탁처리 
49,금호농장,돼지,경상북도 영천시 금호읍 금창로 1447,2514,자원화시설 위탁처리 
50,으뜸축산,돼지,경상북도 영천시 청통면 용내길 5635,1800,자원회시설 위탁처리 
51,송림양돈제2농장,돼지,경상북도 영천시 북안면 신평탑골길 93111,7710,자원화시설 정화시설 위탁처리
52,성현농장,돼지,경상북도 영천시 청통면 망지2길 46,796,자원화시설 위탁처리 
53,농업회사법인 은혜 주식회사,돼지,경상북도 영천시 청통면 애련길 12042,2515,자원화시설 정화시설 위탁처리
54,대림농장,돼지,경상북도 영천시 고경면 호국로 1433127,4837,자원화시설 정화시설 위탁처리
55,석산영농조합법인,돼지,경상북도 영천시 고경면 모시밭길 1610,7216,자원화시설 정화시설 위탁처리
56,예찬농장,돼지,경상북도 영천시 화산면 신화로 77015,8428,자원화시설 정화시설 위탁처리
57,임마누엘농장,돼지,경상북도 영천시 고경면 모시밭길 104 (외 2필),992,자원화시설 위탁처리 
58,후니네농장,돼지,경상북도 영천시 금호읍  황정리 34292,2816,자원회시설 정화시설 
