사업장명,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,오폐수 처리방법,데이터기준일자
자유농장,돼지,경상북도 의성군 단촌면 병방리 888번지  ,경상북도 의성군 단촌면 마들길 38,5300,퇴비화/액비화/정화처리,2025-11-05
일송농장,돼지,경상북도 의성군 점곡면 명고리 산 83번지,경상북도 의성군 점곡면 명고길 89-107,5000,퇴비화/액비화,2025-11-05
사곡오농장,돼지,경상북도 의성군 사곡면 토현리 301번지,경상북도 의성군 사곡면 토현2길 88,4000,퇴비화/액비화/정화처리,2025-11-05
삼오농장,돼지,경상북도 의성군 비안면 이두리 618번지,경상북도 의성군 비안면 이두1길 25,1300,퇴비화/액비화/위탁처리,2025-11-05
영농조합법인 사곡양돈단지,돼지,경상북도 의성군 사곡면 토현리 301번지 외 7필지 ,,8500,퇴비화/액비화/정화처리,2025-11-05
남부축산,돼지,경상북도 의성군 의성읍 오로리 1025번지,경상북도 의성군 의성읍 오로4길 56,1100,퇴비화/액비화/위탁처리,2025-11-05
금성농장,돼지,경상북도 의성군 금성면 도경리 18번지 ,경상북도 의성군 금성면 도경4길 180-6,1200,퇴비화/액비화/위탁처리,2025-11-05
농업회사법인구룡축산(주) 제1농장,돼지,경상북도 의성군 단북면 연제리 189번지,,1700,퇴비화/정화처리,2025-11-05
현지농장,돼지,경상북도 의성군 점곡면 구암리 107번지,경상북도 의성군 점곡면 구암새터길 4-15,800,퇴비화/액비화/위탁처리,2025-11-05
도옥농장,돼지,경상북도 의성군 안평면 도옥리 49번지,경상북도 의성군 안평면 신안길 86-18,1500,퇴비화/위탁처리,2025-11-05
신한농장,돼지,경상북도 의성군 봉양면 신평리 300번지  ,,1500,퇴비화/액비화/위탁처리,2025-11-05
시안농장,돼지,경상북도 의성군 안계면 시안리 326번지,경상북도 의성군 안계면 시안2길 35,1000,퇴비화/액비화/위탁처리,2025-11-05
광림축산,돼지,경상북도 의성군 비안면 이두리 377번지  ,경상북도 의성군 비안면 이두1길 54,1200,퇴비화/액비화/위탁처리,2025-11-05
경완농장,돼지,경상북도 의성군 구천면 내산리 546번지 외 2필지,경상북도 의성군 구천면 소보안계로 1847-46,1700,퇴비화/액비화/위탁처리,2025-11-05
은광농장,돼지,경상북도 의성군 신평면 교안리 1216번지  ,경상북도 의성군 신평면 절골길 21-26,3000,퇴비화/액비화/정화처리/위탁처리,2025-11-05
서산농장,돼지,경상북도 의성군 비안면 서부리 17번지,경상북도 의성군 비안면 만세길 373,1200,퇴비화/액비화/위탁처리,2025-11-05
농업회사법인 다인(주),돼지,경상북도 의성군 다인면 외정리 761번지  ,경상북도 의성군 다인면 서부로 2372-43,1000,퇴비화/액비화/위탁처리,2025-11-05
삼영농장,돼지,경상북도 의성군 다인면 삼분리  ,경상북도 의성군 다인면 서부로 2336-10,2300,퇴비화/액비화/정화처리,2025-11-05
솔개농장,돼지,경상북도 의성군 단촌면 하화리 933번지,경상북도 의성군 단촌면 경북대로 6370-18,800,퇴비화/액비화/위탁처리,2025-11-05
수성농장,돼지,경상북도 의성군 금성면 도경리 1435번지,경상북도 의성군 금성면 도경4길 145,500,퇴비화/액비화/정화처리/위탁처리,2025-11-05
원당농장,돼지,경상북도 의성군 의성읍 원당리 770번지,경상북도 의성군 의성읍 원당2길 260,2000,퇴비화/액비화/위탁처리,2025-11-05
동명2농장,돼지,경상북도 의성군 다인면 서릉리 557번지,경상북도 의성군 다인면 단북다인로 1153-29,800,퇴비화/액비화/위탁처리,2025-11-05
선지양돈장,돼지,경상북도 의성군 금성면 청로리 1099번지  ,경상북도 의성군 금성면 동부로 1963-16,900,퇴비화/액비화/위탁처리,2025-11-05
농업회사법인구룡축산(주) 제3농장,돼지,경상북도 의성군 다인면 가원리 114번지,,1800,퇴비화,2025-11-05
성안농장,돼지,경상북도 의성군 비안면 장춘리 784번지  ,경상북도 의성군 비안면 용재길 102-158,900,퇴비화/액비화/정화처리/위탁처리,2025-11-05
복있는농장,돼지,경상북도 의성군 구천면 용사리 113번지  ,경상북도 의성군 구천면 애못마을길 184,1100,퇴비화/액비화/위탁처리,2025-11-05
K팜 축산,돼지,경상북도 의성군 단촌면 후평리 378번지,경상북도 의성군 단촌면 후평들길 25-6,2000,퇴비화/액비화/위탁처리,2025-11-05
조은농장,돼지,경상북도 의성군 다인면 삼분리 1724번지,경상북도 의성군 다인면 삼분4길 32-69,2400,퇴비화,2025-11-05
강변축산,돼지,경상북도 의성군 구천면 위성리 31번지 ,경상북도 의성군 구천면 위성1길 124,600,퇴비화,2025-11-05
화신농장,돼지,경상북도 의성군 비안면 화신리 553번지  ,경상북도 의성군 비안면 교화길 1058-46,1000,퇴비화,2025-11-05
동명축산,돼지,경상북도 의성군 금성면 대리리 988번지  ,경상북도 의성군 금성면 쌍계천길 224,1000,퇴비화/액비화/위탁처리,2025-11-05
황금농장,돼지,경상북도 의성군 단촌면 장림리 815번지,,1200,퇴비화/액비화/위탁처리,2025-11-05
골드팜,돼지,경상북도 의성군 금성면 개일리 492번지,경상북도 의성군 금성면 개일길 19,2000,퇴비화/액비화,2025-11-05
서산팜스,돼지,경상북도 의성군 구천면 위성리 199번지,경상북도 의성군 구천면 위성2길 110-9,600,퇴비화,2025-11-05
형제농장,돼지,경상북도 의성군 비안면 화신리 554번지,,5000,퇴비화/액비화/위탁처리,2025-11-05
은광2농장,돼지,경상북도 의성군 단촌면 장림리 770번지 ,,2000,퇴비화/정화처리,2025-11-05
강촌스마트팜,돼지,경상북도 의성군 다인면 서릉리 536번지 외 5필지 ,,7000,퇴비화/정화처리,2025-11-05
농업회사법인 삼승스마트팜(주),돼지,경상북도 의성군 다인면 서릉리 536번지,경상북도 의성군 다인면 상주다인로 1046-34,9000,퇴비화/정화처리,2025-11-05
농업회사법인(주) 산수골군위 의성지점,돼지,경상북도 의성군 단밀면 낙정리 54번지,,4000,퇴비화/정화처리,2025-11-05
농업회사법인 유한회사 한 피그,돼지,경상북도 의성군 단밀면 낙정리 10번지 외 1필지,,700,퇴비화/정화처리,2025-11-05
우성 팜,돼지,경상북도 의성군 금성면 산운리 22-1,경상북도 의성군 금성면 금성산길 163-74,9000,퇴비화/액비화/정화처리,2025-11-05
우성농업회사법인,돼지,경상북도 의성군 다인면 도암리 989-42,경상북도 의성군 다인면 서부로 2858-36,5000,퇴비화/정화처리,2025-11-05
대성농장,돼지,경상북도 의성군 금성면 탑리리 256-5,경상북도 의성군 금성면 금학산길 40,3500,퇴비화/액비화/정화처리/위탁처리,2025-11-05
농협경제지주(주) 농협종돈개량사업소GGP,돼지,경상북도 의성군 단북면 정안리 552-1,경상북도 의성군 단북면 서부로 2040-31,4200,퇴비화/액비화/정화처리,2025-11-05
