연번,대표축종,농장명,소재지, 사육두수 ,동수,면적(제곱미터),오폐수처리방법
1,돼지,**농장,경상북도 청도군 매전면 덕산리,917,6,1174,퇴액비
2,돼지,**조은농장,경상북도 청도군 이서면 가금리,665,2,1479,퇴액비
3,돼지,**회사법인 강산농장(주),경상북도 청도군 풍각면 안산리,4573,2,3743,퇴액비
4,돼지,**농장,경상북도 청도군 풍각면 성곡리,3325,2,4112,퇴액비
5,돼지,**농장,경상북도 청도군 풍각면 흑석리,2204,8,2379,퇴비
6,돼지,**농장(주),경상북도 청도군 각남면 구곡리,743,2,969,퇴액비
7,돼지,**농장,경상북도 청도군 매전면 덕산리,1778,6,1210,퇴액비
8,돼지,**농장,경상북도 청도군 청도읍 평양리,315,4,942,퇴액비
9,돼지,**농장,경상북도 청도군 청도읍 내호리,4727,15,6253,퇴액비
10,돼지,**농장,경상북도 청도군 이서면 금촌리,1126,5,1386,퇴액비
11,돼지,**농장,경상북도 청도군 이서면 가금리,2249,7,2393,퇴액비
12,돼지,**학농장,경상북도 청도군 매전면 장연리,3105,5,2248,퇴액비
13,돼지,**연 농원,경상북도 청도군 이서면 서원리,3201,17,4001,퇴액비
14,돼지,**농장,경상북도 청도군 이서면 흥선리,2000,8,1919,퇴액비
15,돼지,**농장,경상북도 청도군 금천면 소천리,1681,6,2192,퇴액비
16,돼지,**이농장,경상북도 청도군 이서면 흥선리,4721,1,3898,퇴액비
17,돼지,**농장,경상북도 청도군 풍각면 덕양리,2001,4,2414,퇴액비
18,돼지,**농장,경상북도 청도군 이서면 대곡리,1499,7,2178,퇴액비
19,돼지,**농장,경상북도 청도군 풍각면 월봉리,1325,4,1590,퇴액비
20,돼지,**농장,경상북도 청도군 풍각면 현리리,190,2,660,퇴액비
21,돼지,**조은농장,경상북도 청도군 이서면 가금리,2315,7,1502,퇴액비
22,돼지,**축산,경상북도 청도군 매전면 하평리,2837,6,2058,퇴액비
