사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
병**농장,한우,경상북도 청도군 각남면 구곡리 ,19,2026-05-11
희**농장,한우,경상북도 청도군 각남면 구곡리 ,80,2026-05-11
한**영농,한우,경상북도 청도군 각남면 구곡리 ,160,2026-05-11
대**농장,한우,경상북도 청도군 각남면 구곡리 ,40,2026-05-11
푸**농장,한우,경상북도 청도군 각남면 녹명리,9,2026-05-11
도**농장,한우,경상북도 청도군 각남면 녹명리 ,97,2026-05-11
녹**농장,한우,경상북도 청도군 각남면 녹명리 ,50,2026-05-11
수**농장,한우,경상북도 청도군 각남면 녹명리 ,51,2026-05-11
도**농장,한우,경상북도 청도군 각남면 녹명리 ,5,2026-05-11
믿**농장,한우,경상북도 청도군 각남면 녹명리 ,0,2026-05-11
화**농장,한우,경상북도 청도군 각남면 사리 ,420,2026-05-11
학**농장,한우,경상북도 청도군 각남면 사리 ,55,2026-05-11
정**농장,한우,경상북도 청도군 각남면 사리 ,50,2026-05-11
늘**농장,한우,경상북도 청도군 각남면 사리 ,116,2026-05-11
학**농장Ⅱ,한우,경상북도 청도군 각남면 사리 ,0,2026-05-11
변**농장,한우,경상북도 청도군 각남면 사리 6,7,2026-05-11
상**농장,한우,경상북도 청도군 각남면 신당리 ,56,2026-05-11
용**농장,한우,경상북도 청도군 각남면 신당리 ,40,2026-05-11
신**농장,한우,경상북도 청도군 각남면 신당리 ,13,2026-05-11
정**농장,한우,경상북도 청도군 각남면 신당리 ,2,2026-05-11
김**농장,한우,경상북도 청도군 각남면 신당리 ,9,2026-05-11
광**농장,한우,경상북도 청도군 각남면 예리리 ,120,2026-05-11
향**농장,한우,경상북도 청도군 각남면 옥산리,43,2026-05-11
정**농장,한우,경상북도 청도군 각남면 옥산리 ,65,2026-05-11
양**농장,한우,경상북도 청도군 각남면 옥산리 ,11,2026-05-11
동**농장,한우,경상북도 청도군 각남면 옥산리 ,30,2026-05-11
병**농장,한우,경상북도 청도군 각남면 옥산리 ,78,2026-05-11
지**농장,한우,경상북도 청도군 각남면 옥산리 ,25,2026-05-11
강**농장,한우,경상북도 청도군 각남면 옥산리 ,31,2026-05-11
최**농장,한우,경상북도 청도군 각남면 옥산리 ,30,2026-05-11
양**농장,한우,경상북도 청도군 각남면 옥산리 ,11,2026-05-11
병**농장,한우,경상북도 청도군 각남면 옥산리 ,60,2026-05-11
병**농장,한우,경상북도 청도군 각남면 옥산리 ,20,2026-05-11
오**농장,한우,경상북도 청도군 각남면 옥산리 ,0,2026-05-11
현**농장,한우,경상북도 청도군 각남면 옥산리 ,18,2026-05-11
정**농장,한우,경상북도 청도군 각남면 옥산리 ,0,2026-05-11
영**농장,한우,경상북도 청도군 각남면 일곡리 ,16,2026-05-11
남**목장,한우,경상북도 청도군 각남면 칠성리 ,85,2026-05-11
학**농장,한우,경상북도 청도군 각남면 칠성리 ,20,2026-05-11
칠**한우,한우,경상북도 청도군 각남면 칠성리 ,33,2026-05-11
성**농장,한우,경상북도 청도군 각남면 칠성리 ,16,2026-05-11
정**농장,한우,경상북도 청도군 각남면 칠성리 ,7,2026-05-11
칠**성점,한우,경상북도 청도군 각남면 칠성리 ,60,2026-05-11
정**농장,한우,경상북도 청도군 각남면 칠성리 ,0,2026-05-11
지**농장,한우,경상북도 청도군 각남면 함박리 ,32,2026-05-11
함**농장,한우,경상북도 청도군 각남면 함박리 ,11,2026-05-11
장**농장,한우,경상북도 청도군 각남면 함박리 ,2,2026-05-11
정**농장,한우,경상북도 청도군 각남면 화리 3,13,2026-05-11
최**농장,한우,경상북도 청도군 각북면 덕촌리 ,18,2026-05-11
영**농장,한우,경상북도 청도군 각북면 명대리 ,6,2026-05-11
가**농장,한우,경상북도 청도군 각북면 명대리 ,24,2026-05-11
보**농장,한우,경상북도 청도군 각북면 명대리 ,160,2026-05-11
김**농장,한우,경상북도 청도군 각북면 명대리 ,6,2026-05-11
푸**농장,한우,경상북도 청도군 각북면 삼평리 ,10,2026-05-11
율**농장,한우,경상북도 청도군 각북면 삼평리 ,23,2026-05-11
김**농장,한우,경상북도 청도군 각북면 삼평리 ,7,2026-05-11
일**농장,한우,경상북도 청도군 각북면 오산리 ,70,2026-05-11
한**농원2,한우,경상북도 청도군 각북면 오산리 ,35,2026-05-11
한**농장,한우,경상북도 청도군 각북면 오산리 ,21,2026-05-11
햇**농원,한우,경상북도 청도군 각북면 오산리 ,41,2026-05-11
상**농장,한우,경상북도 청도군 각북면 우산리 ,28,2026-05-11
고**농장,한우,경상북도 청도군 각북면 우산리 ,75,2026-05-11
협**농장,한우,경상북도 청도군 각북면 우산리 ,25,2026-05-11
동**농장,한우,경상북도 청도군 각북면 우산리 ,41,2026-05-11
윤**농장,한우,경상북도 청도군 각북면 우산리 ,10,2026-05-11
고**농장2,한우,경상북도 청도군 각북면 우산리 ,10,2026-05-11
박**농장,한우,경상북도 청도군 각북면 우산리 ,0,2026-05-11
대**축산,한우,경상북도 청도군 각북면 지슬리 ,20,2026-05-11
한**농원,한우,경상북도 청도군 각북면 지슬리 ,40,2026-05-11
햇**농원,한우,경상북도 청도군 각북면 지슬리 ,6,2026-05-11
서**농장,한우,경상북도 청도군 금천면 갈지리,13,2026-05-11
김**농장,한우,경상북도 청도군 금천면 갈지리 ,23,2026-05-11
호**농장,한우,경상북도 청도군 금천면 갈지리 ,2,2026-05-11
영**농장,한우,경상북도 청도군 금천면 갈지리 ,3,2026-05-11
익**농장,한우,경상북도 청도군 금천면 갈지리 ,8,2026-05-11
영**농장,한우,경상북도 청도군 금천면 갈지리 ,4,2026-05-11
우**농산,한우,경상북도 청도군 금천면 갈지리 ,15,2026-05-11
조**농장,한우,경상북도 청도군 금천면 갈지리 ,20,2026-05-11
백**농장,한우,경상북도 청도군 금천면 갈지리 ,11,2026-05-11
전**농장,한우,경상북도 청도군 금천면 갈지리 ,2,2026-05-11
천**농장,한우,경상북도 청도군 금천면 갈지리 ,10,2026-05-11
김**농장,한우,경상북도 청도군 금천면 김전리,6,2026-05-11
최**농장,한우,경상북도 청도군 금천면 김전리,2,2026-05-11
병**농장,한우,경상북도 청도군 금천면 김전리 ,20,2026-05-11
현**농원,한우,경상북도 청도군 금천면 김전리 ,9,2026-05-11
양**농장,한우,경상북도 청도군 금천면 김전리 ,16,2026-05-11
원**농장,한우,경상북도 청도군 금천면 김전리 ,10,2026-05-11
민**농장,한우,경상북도 청도군 금천면 김전리 ,30,2026-05-11
한**농장,한우,경상북도 청도군 금천면 김전리 ,1,2026-05-11
무**농장,한우,경상북도 청도군 금천면 김전리 ,100,2026-05-11
창**농장,한우,경상북도 청도군 금천면 김전리 ,0,2026-05-11
최**농장,한우,경상북도 청도군 금천면 동곡리 ,70,2026-05-11
경**농장,한우,경상북도 청도군 금천면 동곡리 ,45,2026-05-11
영**농장,한우,경상북도 청도군 금천면 동곡리 ,21,2026-05-11
황**농장,한우,경상북도 청도군 금천면 동곡리 ,15,2026-05-11
김**농장,한우,경상북도 청도군 금천면 동곡리 ,3,2026-05-11
임**농장,한우,경상북도 청도군 금천면 동곡리 ,1,2026-05-11
일**농장,한우,경상북도 청도군 금천면 동곡리 ,13,2026-05-11
행**농장,한우,경상북도 청도군 금천면 동곡리 ,134,2026-05-11
유**농장,한우,경상북도 청도군 금천면 동곡리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 금천면 동곡리 ,5,2026-05-11
대**농장,한우,경상북도 청도군 금천면 박곡리 ,32,2026-05-11
김**농장,한우,경상북도 청도군 금천면 박곡리 ,15,2026-05-11
박**농장,한우,경상북도 청도군 금천면 박곡리 ,60,2026-05-11
준**농장,한우,경상북도 청도군 금천면 박곡리 ,17,2026-05-11
갈**농장,한우,경상북도 청도군 금천면 박곡리 ,11,2026-05-11
소**농원,한우,경상북도 청도군 금천면 박곡리 ,50,2026-05-11
성**농장,한우,경상북도 청도군 금천면 박곡리 ,43,2026-05-11
순**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
시**농장,한우,경상북도 청도군 금천면 박곡리 ,17,2026-05-11
경**농장,한우,경상북도 청도군 금천면 박곡리 ,52,2026-05-11
옥**농장,한우,경상북도 청도군 금천면 박곡리 ,71,2026-05-11
청**한우,한우,경상북도 청도군 금천면 박곡리 ,27,2026-05-11
검**농장,한우,경상북도 청도군 금천면 박곡리 ,28,2026-05-11
청**농장,한우,경상북도 청도군 금천면 박곡리 ,20,2026-05-11
상**농장,한우,경상북도 청도군 금천면 박곡리 ,110,2026-05-11
