연번,사업장명칭,주사육업종,사업장소재지(지번),사육두수
1,천혜농장,한우,경상북도 구미시 옥성면 초곡리 1080번지 32호  ,48
2,현대농장,한우,경상북도 구미시 옥성면 주아리 911번지  ,103
3,강준농장,한우,경상북도 구미시 고아읍 괴평리 1112번지 405호 외 3필지 ,130
4,실로암,돼지,경상북도 구미시 도개면 다곡리 161번지  ,6800
5,초일농장,젖소,경상북도 구미시 옥성면 초곡리 243번지  ,74
6,유우니 목장,젖소,경상북도 구미시 옥성면 초곡리 252번지 외 7필지 ,90
7,선화양돈단지,돼지,경상북도 구미시 옥성면 산촌리 883번지 1호  ,5300
8,나녕농장,돼지,경상북도 구미시 고아읍 문성리 400번지  ,1620
9,이실농장,한우,경상북도 구미시 옥성면 농소리 929번지 1호  ,59
10,백마농장,한우,경상북도 구미시 해평면 월호리 67번지 3호  ,0
11,황금 한우 농장,한우,경상북도 구미시 해평면 월호리 529번지 1호  ,55
12,일번지 농장,젖소,경상북도 구미시 선산읍 이문리 737번지 1호  ,23
13,만희농장,한우,경상북도 구미시 선산읍 원리 1번지 43호  ,40
14,낙동,한우,경상북도 구미시 고아읍 문성리 419번지  ,40
15,푸른목장,젖소,경상북도 구미시 고아읍 원호리 293번지 1호  ,75
16,대진목장,한우,경상북도 구미시 고아읍 대망리 772번지 2호  ,20
17,살을농장,젖소,경상북도 구미시 옥성면 덕촌리 736번지 1호  ,69
18,학용농장,육계,경상북도 구미시 옥성면 농소리 890번지  ,50000
19,매골농장,육계,경상북도 구미시 옥성면 농소리 970번지  ,56000
20,오로농장,한우,"경상북도 구미시 고아읍 오로리 490번지 1호 ,488-1,490-2,490-5,490-6,686 ",240
21,선산농장,육계,경상북도 구미시 선산읍 죽장리 737번지 4호  ,16000
22,미래농장,육계,경상북도 구미시 선산읍 교리 582번지  ,25000
23,으뜸농장,한우,경상북도 구미시 무을면 원리 427번지 3호  ,45
24,에덴농장,종계/산란계,경상북도 구미시 무을면 원리 779번지  ,5600
25,밀알농장,육우,경상북도 구미시 고아읍 원호리 377번지  ,10
26,월림농장,육계,경상북도 구미시 도개면 월림리 770번지 2호  ,28000
27,주원농장,육계,경상북도 구미시 고아읍 대망리 822번지 2호  ,15000
28,꽃돼지농장,돼지,경상북도 구미시 옥성면 주아리 447번지  ,1000
29,양지농장,돼지,경상북도 구미시 옥성면 주아리 772번지 1호  ,2000
30,기호농장,한우,경상북도 구미시 선산읍 이문리 804번지  ,29
31,일선농장,한우,경상북도 구미시 도개면 도개리 574번지 1호  ,200
32,정농장,육계,경상북도 구미시 선산읍 독동리 538번지  ,40000
33,남○○농장,육계,경상북도 구미시 선산읍 독동리 544번지  ,33000
34,기성축산,돼지,경상북도 구미시 고아읍 외예리 58번지 1호  ,4960
35,낙성농장,한우,경상북도 구미시 장천면 금산리 465번지  ,229
36,혁이농장,한우,경상북도 구미시 장천면 상장리 산 50번지 1호  ,40
37,현흥농장,한우,경상북도 구미시 장천면 상장리 165번지 1호  ,70
38,영식이농장,한우,"경상북도 구미시 해평면 월호리 244번지 244외 5필지, 235-3, 247-2, 248 ",180
39,금산농장,돼지,경상북도 구미시 장천면 금산리 821번지  ,1500
40,광호농장,한우,경상북도 구미시 선산읍 원리 1번지 122호  ,50
41,적림목장,한우,경상북도 구미시 산동읍 동곡리 612번지 2호  ,46
42,백자농장,한우,경상북도 구미시 무을면 백자리 446번지  ,37
43,양지1농장,한우,경상북도 구미시 무을면 백자리 422번지 2호  ,40
44,양지2농장,한우,경상북도 구미시 무을면 백자리 466번지 1호  ,70
45,양지3농장,한우,경상북도 구미시 무을면 백자리 452번지 1호  ,80
46,구미칠곡축협선산생축장,한우,경상북도 구미시 선산읍 교리 429번지  ,39
47,구미칠곡축협고아생축장,한우,경상북도 구미시 고아읍 봉한리 890번지 4호  ,157
