제조업체명,사료구분,생산사료명
(주)우성사료 경산공장,배합,"양축용 배합사료, 그 밖의 동물·어류용 배합사료"
(주)농협사료 경주배합사료공장,배합,양축용 배합사료
(주)팜스토리 서울사료 경산,배합,"양축용 배합사료, 그밖의 동물·어류용 배합사료"
주식회사 케이씨피드,배합,양축용 배합사료
강민산업(주),단미,"동물성/단백질류, 유지류"
주식회사 홍창엠앤티,단미,"동물성/단백질류, 무기물류, 유지류, 기타/유지류"
주식회사 렉셈,보조,"비단백태질소화합물, 규산염제"
(주) 농협사료 경북지사,배합,양축용 배합사료
주식회사 알파사료,배합,배합사료/섬유질
영산만산업(주),단미,남은음식물
클라리언트코리아 주식회사,보조,규산염제
다음사료 영농조합법인,배합,반추동물용 섬유질배합사료
우리숯농법영농조합,보조,"보존제/항응고제, 추출제/초목추출물"
(주) 하나사료,배합,반추동물용 섬유질배합사료
거여목초산업,보조,"보존제/항응고제, 추출제/초목추출물"
한국이엠산업(주),보조,미생물제(생균제)
대덕농산 주식회사,배합,반추동물용섬유질배합사료
(주)명광이엔에프,단미,남은음식물
주식회사 올품,단미,"동물성/단백질류, 유지류"
(주)크린랜드,보조,미생물제(생균제)/유익균
새천년미생물,보조,생균제
주식회사 경동물산,단미,동물성/단백질류
경북대구낙농협동조합,배합,반추동물용섬유질배합사료
맥섬석지엠(맥섬석GM)주식회사,보조,규산염제
뉴엘림락토,보조,생균제
(주)농업회사법인 명랑,배합,반추동물용섬유질 배합사료
아미코젠씨앤씨주식회사,보조,추출제(키토산)
구미시남은음식물사료화시설,단미,남은음식물
의성축산업협동조합,보조,향미제(마늘분말)
주식회사 앞선환경,단미,남은음식물
(주)대창그린,단미,남은음식물
주식회사 세아신소재,보조,기타규산염제
농업회사법인 합자회사 포발,배합,반추동물용섬유질배합사료
자옥산 맥반석,보조,보조사료/규산염제
농업회사법인 합자회사 포발,보조,미생물제(합제)
영농조합법인 안동민속티엠알,배합,반추동물용 섬유질 배합사료
(주)에스엔제이,보조,혼합제(올리고당+포도당)
웰빙은브레싱(주),단미,기타 식물성 박류
전진바이오팜(주),보조,"생균제, 아미노산제"
농업회사법인여물(주)상주TMR공장,배합,반추동물용 섬유질배합사료
(주)이창산업,단미,식물성/박류(단백질류)
우진에스에프(주),단미,"동물성-단백질류, 유지류"
(주)경동상사,단미,게분
세종사료,배합,
태승산업,단미,탄산칼슘
청도참다운한우영농조합법인,배합,반추동물용섬유질배합사료
우림사료,배합,반추동물용 섬유질배합사료
주식회사 동신에스앤에프,보조,생균제
봉화TMR사료,단미,식물성/섬유질류(섬유질가공·발효사료)
경주시종합자원화단지,단미,남은음식물
샤론통상,보조,생균제
영주축산연합영농조합법인,보조,생균제
김천양파포크영농조합법인,보조,생균제
주식회사 한국광물,보조,규산염제
주식회사 티앤엘,단미,식물성/섬유질류(가공·발효사료)
(주)케이알그린,보조,기타규산염제
주식회사 준화A&F,단미,우모분
(주)휴머스코리아,보조,기타규산염제
진성사료,단미,"제빵,제과,제면부산물"
경주시농업기술센터,보조,미생물제
명품 TMR 사료,배합,반추동물용섬유질배합사료
(주) 대승산업,단미,어즙흡착사료
한두교역,보조,규산염제(제오라이트)
(주) 진농산업,보조,"보조사료/규산염제, 혼합성 보조사료"
(주)대명오앤씨,단미,"동물성-단백질류, 유지류"
(주)그레니에 농업회사법인,배합,반추동물용 섬유질배합사료
영천생약영농조합법인,단미,섬유질사료
삼성바이오(주),보조,생균제
농업회사법인 대원바이오(주),배합,반추동물용섬유질 배합사료
예천생균제참우영농조합법인,보조,생균제
(주)보드레,보조,규산염제
경주TMF영농조합법인,배합,섬유질배합사료
(주)세아신소재,단미,다량광물질류(유황)
예천군농업기술센터,보조,"미생물제(유익균, 유익곰팡이, 유익효모, 합제)"
한국효모(주),단미,단세포단백질사료
영농조합법인 큰집한우,배합,반추동물섬유질배합사료
(주)세방에이에프,단미,식품가공부산물류(제과·제빵·제면부산물)
동해소재(주),보조,보조사료/규산염제
애닉스주식회사 농업회사법인,보조,"보조사료(규산염제, 비타민제, 혼합성보조사료, 보존제)"
동건산업,단미,인산염류 및 칼슘염류
B&K LAB,보조,보조사료(생균제)
애닉스주식회사 농업회사법인,보조,보조사료(미생물제)
의성군농업기술센터,보조,보조사료(생균제)
칠곡군농업기술센터,보조,보조사료/미생물제(생균제)
구미시농업기술센터,보조,생균제
비앤에이(주),보조,보조사료(기타규산염제)
영천시농업기술센터,보조,미생물제
토리네 수제간식,단미,애완견(간식용)
(주)오케이산업,단미,기타/남은음식물
(주)진성상사,단미,단미사료/제빵ㆍ제과ㆍ 제면부산물
(주)케이비친환경,단미,혼합성(혼합류)
울릉도 TMR사료공장,배합,배합사료/섬유질
애니서포트,보조,효소제
밀바이오 농업회사법인 주식회사,배합,반추동물용섬유질배합사료
농업회사법인 새얼바이오푸드(주),단미,식품가공부산물류(음료가공부산물)
한국킴스 중앙연구소,보조,생균제
문경축산농협 TMR사료사업소,배합,반추동물용섬유질배합사료
강아지맛집,단미,애완견 간식
영천축산농협 티엠에프(TMF) 사료사업소,배합,반추동물용섬유질배합사료
상주시농업기술센터,보조,미생물제(생균제)
안동봉화축협 생균제공장,보조,생균제
백광화학,보조,규산염제
천년한우TMF영농조합법인,보조,생균제
영덕군농업기술센터,보조,미생물제
(주)이앤바이오,보조,규산염제
도로시,단미,혼합성(애완견간식)
농업회사법인 대원바이오(주),단미,식물성/섬유질류-가공·발효사료
(주)성원,보조,미생물제
무을농협 발효사료(TMF),배합,반추동물용 섬유질배합사료
(주)풍국,배합,섬유질배합사료
금오산바이오영농조합법인,보조,보조사료/미생물제(생균제)
동우당제약(주),보조,추출제
SB-bio(에스비-바이오),보조,추출제
대구농산주식회사,단미,식물성(곡물부산물류)
(주)메나리,보조,규산염제
경산한우조사료사업단,단미,섬유질류(섬유질가공사료)
야이노마,단미,혼합제
(주)에스에이치바이오,보조,"혼합제, 아미노산제, 미생물제"
명성산업,보조,규산염제
야이노마,단미,동물성-단백질류
견을위해 자연을 담다,단미,혼합성
진성바이오,보조,생균제
신광식품,보조,미생물제/유익효모
경북친환경한돈영농조합법인,보조,미생물제(생균제)/유익균
고령군농업기술센터,보조,"보조사료/미생물제(생균제)-유익균, 유익효모"
주식회사 엘림에스앤와이,단미,식품가공부산물류
(주)케이와이환경,단미,기타-남은음식물
성주군농업기술센터,보조,미생물제(생균제)
(주)씨엔지,보조,혼합제
아쿠아플랜트디자인,배합,"배합사료/그밖의 동물·어류용-수산동물, 애완용동물"
씨지 컴퍼니,단미,"동물성/단백질류, 혼합성/혼합제"
주식회사 동산,보조,미생물제/합제
삼우화학,보조,규산염제
삼육네이처세븐,단미,식물성-식품가공부산물류
농업회사법인 자연환경기술,단미,혼합성-혼합제
제일양봉산업,배합,양축용배합사료
라이포,단미,혼합성-혼합제
(주)캣프렌즈,보조,보조사료-혼합제
(주)캣프렌즈,단미,단미사료/혼합성
농업회사법인 (주)한국팜,보조,"보조사료/규산염제, 미생물제"
멍미,단미,혼합성-혼합제
농업회사법인 농협티엠알 주식회사,배합,배합사료/섬유질
문경시농업기술센터,보조,미생물제
(주)엘림에스앤와이,보조,"추출제, 미생물제"
(주)영성바이오케미칼 포항제1공장지점,보조,규산염제
씨엠푸드,단미,단미/혼합성-혼합제
앙지스(ANGI'S),단미,단미사료/동물성-단백질류
(주)삼보나노소재,보조,보조사료/규산염제
헬시펫,단미,동물성단백질류
(주)미드미푸드,단미,"동물성-단백질류, 혼합성-혼합제"
청도군농업기술센터,보조,보조사료/미생물제
프롬벳,단미,단미사료/혼합성-혼합제
프롬벳,보조,보조사료/혼합제
동해화학공업(주),보조,보조사료/규산염제
동우당제약(주),단미,단미사료/혼합성-혼합제
개밥그릇,단미,혼합성 단미사료
(주)세운,배합,반추동물용 섬유질 배합사료
까까멍냥,단미,"단미사료/동물성-단백질류, 혼합성-혼합제"
(주)위즈바이오,보조,보조사료-혼합제
마리의냉장고,단미,"단미사료/동물성-단백질류, 혼합성-혼합제"
(주)씨엔지,보조,보조사료/미생물제
삼성축산,단미,단미사료/식물성-섬유질류
(주)풍원바이오,보조,보조사료-규산염제
(주)엘림에스앤와이,보조,보조사료-규산염제
(주)기술과창조,보조,보조사료-미생물제
현주팜,보조,"보조사료-규산염제, 혼합제"
(주)바이오피드,단미,단미사료/식물성-박류
동원엔에프,보조,보조사료/기타
상록농장,단미,남은음식물사료
(주)케이티앤에프,배합,그 밖의 동물·어류용 배합사료
(주)티피엘,단미,혼합성 단미사료
도꾸앤나비,단미,혼합성 단미사료
현주팜,단미,혼합성 단미사료
주식회사 현대그린텍,단미,남은음식물사료
주식회사 터틀바이오,단미,"혼합성 단미사료, 단세포단백질"
주식회사 휴먼바이오,보조,"산미제, 비타민제, 혼합제, 미생물제, 향미제, 올리고당"
삼해산업,단미,유도단백질
봉봉,단미,"육포, 혼합성단미사료"
청옥산분말,보조,세피올라이트
야미(YUMMY),단미,혼합성 단미사료
아토맘수제간식카페,단미,단미사료/동물성-단백질류
파피&덕(duck),단미,동물성 단백질류
진성산업,단미,식물성 박류
홍익테크,보조,보조사료/혼합제/혼합성보조사료
라이조프코리아,보조,키토산
주식회사 인리치바이오,단미,혈분
주식회사 슈퍼바이오,보조,미생물제
코리아히록스,보조,"미생물제(유익균,아미노산제제,비타민제합제), 혼합성 보조사료"
냠딱지개,단미,"단미사료(혼합성 혼합제, 동물성 단백질류)"
뚱독스 수제간식,단미,"동물성 단백질류, 식물성 채소류, 혼합성 혼합제"
멍슐리,단미,혼합성 단미사료
펫스미스,단미,혼합성 단미사료
펫스미스,배합,그 밖의 동물어류용 배합사료/애완용 동물
주식회사 서우,보조,혼합성 보조사료
군위군농업기술센터,보조,"보조사료/미생물제-유익균, 유익효모"
헬시펫,단미,혼합성 단미사료
(주)일성케미칼,보조,규산염제 합제
