사업장명칭,주사육업종,사업장소재지,면적,기준일자
안0농장,돼지,경상북도 예천군 풍양면 흔효리,11772.59,2026-01-14
경0농장,돼지,경상북도 예천군 개포면 동송리,3585.59,2026-01-14
하0농장,한우,경상북도 예천군 유천면 화지리,894.1,2026-01-14
옥0농장,돼지,경상북도 예천군 지보면 수월리,2748.7,2026-01-14
부0목장,젖소,경상북도 예천군 은풍면 부초리,1556.44,2026-01-14
수0농장,한우,경상북도 예천군 유천면 수심리,964.1,2026-01-14
대0농장,종계/산란계,경상북도 예천군 호명읍 종산리,5045.68,2026-01-14
승0농장,육계,경상북도 예천군 보문면 승본리,2039.1,2026-01-14
고0리골 제1농장,한우,경상북도 예천군 용문면 덕신리,906,2026-01-14
용0목장,젖소,경상북도 예천군 용궁면 금남리,2266.62,2026-01-14
인0농장,한우,경상북도 예천군 감천면 돈산리,1438,2026-01-14
고0황금농장,돼지,경상북도 예천군 풍양면 고산리,1227.44,2026-01-14
덕0농장,돼지,경상북도 예천군 풍양면 와룡리,1669.3,2026-01-14
세0농장,돼지,경상북도 예천군 풍양면 와룡리,3636.2,2026-01-14
황0농장,돼지,경상북도 예천군 풍양면 고산리,3303.33,2026-01-14
양0농장,돼지,경상북도 예천군 개포면 금리,1160.87,2026-01-14
중0축산,한우,경상북도 예천군 개포면 금리,583.1,2026-01-14
무0축산,육계,경상북도 예천군 풍양면 효갈리,1685.25,2026-01-14
대0축산,한우,경상북도 예천군 풍양면 흔효리,1212,2026-01-14
유0농장,육계,경상북도 예천군 풍양면 흔효리,2050.24,2026-01-14
풍0농장,육계,경상북도 예천군 풍양면 낙상리,3745.65,2026-01-14
두0농장,한우,경상북도 예천군 효자면 용두리,331,2026-01-14
제0축산,한우,경상북도 예천군 지보면 소화리,540,2026-01-14
하0축산,한우,경상북도 예천군 풍양면 괴당리,862,2026-01-14
수0축산,한우,경상북도 예천군 풍양면 고산리,1084.4,2026-01-14
동0축산,한우,경상북도 예천군 풍양면 고산리,1037,2026-01-14
하0농장,한우,경상북도 예천군 풍양면 하풍리,440,2026-01-14
청0농장,한우,경상북도 예천군 풍양면 청운리,512,2026-01-14
풍0축산,한우,경상북도 예천군 풍양면 낙상리,1303.4,2026-01-14
풍0축산,한우,경상북도 예천군 풍양면 낙상리,1989.5,2026-01-14
왕0농장,한우,경상북도 예천군 예천읍 왕신리,1030.62,2026-01-14
금0농장,한우,경상북도 예천군 호명읍 직산리,1334.48,2026-01-14
하0농장,돼지,경상북도 예천군 호명읍 내신리,1387.2,2026-01-14
동0축산,한우,경상북도 예천군 호명읍 직산리,1225,2026-01-14
솔0농장,한우,경상북도 예천군 지보면 도장리,800,2026-01-14
새0농장,한우,경상북도 예천군 예천읍 용산리,2284.2,2026-01-14
