농장명,주사육업종,소재지지번주소,소재지도로명주소,사육면적(제곱미터),사육두수(마리),데이터기준일자
대성한우농장,한우,경상북도 울진군 평해읍 삼달리 369번지 1호  ,경상북도 울진군 평해읍 학곡2길 190-3,1536.07,0,2023-12-31
협심농장,한우,경상북도 울진군 기성면 삼산리 109번지  ,경상북도 울진군 기성면 삼산신흥로 189-1,262.25,0,2023-12-31
한성농장,한우,경상북도 울진군 죽변면 화성리 339번지 1호  ,경상북도 울진군 죽변면 용장길 45 (한성농장),396,0,2023-12-31
봉평농장,한우,경상북도 울진군 죽변면 봉평리 661번지  ,경상북도 울진군 죽변면 하죽로 1742-38,0,62,2023-12-31
성덕농장,한우,경상북도 울진군 죽변면 화성리 88번지 1호  ,경상북도 울진군 죽변면 용장길 34,368,27,2023-12-31
정명농장,한우,경상북도 울진군 기성면 정명리 1242번지  ,경상북도 울진군 기성면 정다이로 278-1,840.74,40,2023-12-31
대호농장,한우,경상북도 울진군 평해읍 삼달리 356번지 3호  ,경상북도 울진군 평해읍 학곡2길 168,476.5,31,2023-12-31
지독농장,한우,경상북도 울진군 북면 사계리 253번지  ,경상북도 울진군 북면 하죽로 1162,0,23,2023-12-31
반석농장,한우,경상북도 울진군 매화면 매화리 1105번지 2호  ,경상북도 울진군 매화면 매화매실길 51,2227.32,0,2023-12-31
산포농장,한우,경상북도 울진군 근남면 산포리 314번지  ,경상북도 울진군 근남면 검월길 18,0,50,2023-12-31
거산농장,한우,"경상북도 울진군 북면 나곡리 44번지 외 4필지(16, 17, 19, 42) ",,3921.93,0,2023-12-31
거성농장,한우,경상북도 울진군 북면 상당리 186번지 2호  ,,727,0,2023-12-31
올미골농장,한우,경상북도 울진군 울진읍 정림리 878번지  ,,200,7,2023-12-31
해룡농장,한우,경상북도 울진군 기성면 기성리 571번지  ,경상북도 울진군 기성면 황보길 274-42,622.86,30,2023-12-31
