시군명,한우,육우,젖소,돼지,닭,육계
포항시,717 ,33 ,30 ,11 ,14 ,1 
경주시,2406 ,182 ,171 ,56 ,163 ,4 
김천시,853 ,72 ,57 ,32 ,64 ,37 
안동시,982 ,10 ,7 ,39 ,337 ,33 
구미시,1381 ,105 ,44 ,18 ,470 ,8 
영주시,1294 ,16 ,14 ,37 ,55 ,11 
영천시,904 ,47 ,45 ,78 ,104 ,18 
상주시,1729 ,58 ,41 ,43 ,84 ,76 
문경시,723 ,11 ,9 ,20 ,318 ,12 
경산시,788 ,57 ,51 ,26 ,10 ,1 
의성군,751 ,9 ,8 ,42 ,485 ,56 
청송군,136 ,5 ,6 ,6 ,4 ,1 
영양군,105 ,2 ,1 ,0 ,72 ,14 
영덕군,203 ,5 ,2 ,7 ,101 ,10 
청도군,560 ,20 ,17 ,24 ,67 ,1 
고령군,428 ,8 ,6 ,44 ,605 ,7 
성주군,404 ,23 ,16 ,40 ,221 ,8 
칠곡군,277 ,17 ,17 ,16 ,97 ,11 
예천군,1278 ,27 ,13 ,25 ,524 ,60 
봉화군,561 ,6 ,2 ,24 ,24 ,12 
울진군,335 ,0 ,0 ,2 ,438 ,45 
울릉군,13 ,0 ,0 ,1 ,45 ,31 
