농가명,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,데이터 기준일자
송학농장,돼지,경상북도 포항시 남구 연일읍 학전리 340번지  ,경상북도 포항시 남구 연일읍 새마을로 615-23,1000,2025-08-14
장포농장,한우,경상북도 포항시 남구 장기면 산서리 416번지  ,경상북도 포항시 남구 장기면 산서길 113-27,47,2025-08-14
송학농장,돼지,경상북도 포항시 남구 연일읍 학전리 산 86번지 1호  ,경상북도 포항시 남구 연일읍 새마을로 615-23,0,2025-08-14
별농장,한우,경상북도 포항시 북구 기계면 내단리 1088-422외 4필지 ,경상북도 포항시 북구 기계면 새마을로1525번길 147-20,227,2025-08-14
예훈농장,한우,경상북도 포항시 북구 기계면 내단리 962번지 10호  ,경상북도 포항시 북구 기계면 새마을로 1347-25,71,2025-08-14
덕장농장,한우,경상북도 포항시 북구 흥해읍 덕장리 746번지 1호  ,경상북도 포항시 북구 흥해읍 덕실마을길174번길 40-6,40,2025-08-14
덕실농장,한우,경상북도 포항시 북구 흥해읍 덕성리 436번지 2호  ,경상북도 포항시 북구 흥해읍 덕실마을길 490-12,60,2025-08-14
병태농장,한우,경상북도 포항시 북구 흥해읍 덕성리 555번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 516-5,16,2025-08-14
대성농장,한우,경상북도 포항시 북구 기계면 미현리 169번지 1호  ,경상북도 포항시 북구 기계면 기동지길 522,40,2025-08-14
부림농장,한우,경상북도 포항시 북구 기계면 미현리 18번지 5호  ,경상북도 포항시 북구 기계면 기동지길 551,22,2025-08-14
안골농장,한우,경상북도 포항시 북구 기계면 미현리 772번지  ,경상북도 포항시 북구 기계면 기동지길525번길 273,15,2025-08-14
호룡농장,한우,경상북도 포항시 북구 기계면 미현리 193번지  ,경상북도 포항시 북구 기계면 기동지길525번길 34,20,2025-08-14
천하제일한우 제1농장,한우,"경상북도 포항시 북구 기계면 인비리 600번지 , 608 ",경상북도 포항시 북구 기계면 기남길475번길 74,120,2025-08-14
성지농장,종계/산란계,경상북도 포항시 북구 흥해읍 금장리 484번지 1호  ,경상북도 포항시 북구 흥해읍 용금길163번길 50,99252,2025-08-14
안일영농,한우,경상북도 포항시 북구 흥해읍 학천리 602번지  ,경상북도 포항시 북구 흥해읍 도음로 733-10,40,2025-08-14
이도농장,한우,경상북도 포항시 북구 기계면 내단리 232번지  ,경상북도 포항시 북구 기계면 새마을로1314번길 21-11,24,2025-08-14
청솔농장,돼지,경상북도 포항시 북구 신광면 흥곡리 55번지 2호  ,경상북도 포항시 북구 신광면 비학로 579-89,900,2025-08-14
형수농장,한우,경상북도 포항시 북구 기계면 학야리 160번지  ,경상북도 포항시 북구 기계면 학야길129번길 37,55,2025-08-14
지후네 농장,한우,"경상북도 포항시 남구 호미곶면 대보리 549번지 1호 외4필지 (519, 520, 520-1, 548-2) ",경상북도 포항시 남구 호미곶면 대천길 28,75,2025-08-14
봉등산농장,한우,경상북도 포항시 남구 호미곶면 강사리 828번지 6호  ,경상북도 포항시 남구 호미곶면 호미로1111번길 40,80,2025-08-14
삼산농장,한우,경상북도 포항시 남구 호미곶면 강사리 833번지  ,경상북도 포항시 남구 호미곶면 일출로707번길 44-15,0,2025-08-14
일권농장,한우,경상북도 포항시 북구 흥해읍 남송리 458번지  ,경상북도 포항시 북구 흥해읍 삼흥로502번길 126-18,60,2025-08-14
송동농장,한우,경상북도 포항시 북구 흥해읍 남송리 447번지  ,경상북도 포항시 북구 흥해읍 삼흥로502번길 116,95,2025-08-14
천상리농장,한우,경상북도 포항시 북구 흥해읍 학천리 511번지  ,경상북도 포항시 북구 흥해읍 도음로856번길 80,32,2025-08-14
대성농장,한우,경상북도 포항시 북구 신광면 흥곡리 217번지  ,,80,2025-08-14
목골농장,한우,경상북도 포항시 북구 신광면 냉수리 792번지  ,,50,2025-08-14
하송농장,한우,경상북도 포항시 북구 송라면 하송리 428번지 4호  ,경상북도 포항시 북구 송라면 삼송길74번길 12-29,24,2025-08-14
영광농장,한우,경상북도 포항시 북구 송라면 방석리 255번지 3호  ,경상북도 포항시 북구 송라면 동해대로 2985,20,2025-08-14
송월농장,한우,경상북도 포항시 북구 신광면 안덕리 182번지 2호  ,경상북도 포항시 북구 신광면 비학로963번길 64-6,100,2025-08-14
영봉농장,한우,경상북도 포항시 북구 신광면 상읍리 457번지 1호  ,경상북도 포항시 북구 신광면 상읍길64번길 33,76,2025-08-14
재일농원,한우,경상북도 포항시 북구 기계면 내단리 1088번지 194호  ,경상북도 포항시 북구 기계면 새마을로1525번길 121-13,100,2025-08-14
영신농장,한우,경상북도 포항시 북구 신광면 사정리 120번지  ,경상북도 포항시 북구 신광면 신흥로 197-7,70,2025-08-14
삼화축산,돼지,경상북도 포항시 남구 오천읍 갈평리 376번지 14호 외 1필지 ,경상북도 포항시 남구 오천읍 기림로 1589-25 (외 1필지),1474,2025-08-14
장안목장,한우,경상북도 포항시 북구 기북면 오덕리 산 11번지  ,,20,2025-08-14
엘림농장,한우,경상북도 포항시 북구 기계면 지가리 1009번지  ,경상북도 포항시 북구 기계면 새마을로 2135,28,2025-08-14
청보리목장,한우,경상북도 포항시 남구 호미곶면 구만리 211번지 4호  ,,24,2025-08-14
산하목장,한우,경상북도 포항시 남구 호미곶면 구만리 237번지 2호  ,경상북도 포항시 남구 호미곶면 호미로1495번길 43-2,52,2025-08-14
농업회사법인(주)룸비니2농장,돼지,경상북도 포항시 북구 기계면 지가리 693번지 14호  ,경상북도 포항시 북구 기계면 기계로 509-57,1728,2025-08-14
경주축산,돼지,경상북도 포항시 북구 기계면 지가리 693번지 22호  ,경상북도 포항시 북구 기계면 기계로 509-59,1700,2025-08-14
명품농장,한우,경상북도 포항시 북구 기계면 고지리 244번지 8호  ,경상북도 포항시 북구 기계면 기남길 112,65,2025-08-14
용화농장,한우,경상북도 포항시 북구 죽장면 두마리 771번지 1호  ,,28,2025-08-14
숲고을농장,한우,경상북도 포항시 북구 죽장면 두마리 243번지  ,경상북도 포항시 북구 죽장면 면봉산길 713,20,2025-08-14
정의농장,염소,경상북도 포항시 북구 죽장면 두마리 283번지  ,,26,2025-08-14
영진농장,한우,경상북도 포항시 북구 죽장면 두마리 560번지  ,경상북도 포항시 북구 죽장면 면봉산길780번길 4,32,2025-08-14
모모목장,한우,경상북도 포항시 남구 오천읍 세계리 385번지 2호  ,경상북도 포항시 남구 오천읍 장기로 1487,25,2025-08-14
세원농장,한우,경상북도 포항시 남구 오천읍 세계리 382번지 4호  ,경상북도 포항시 남구 오천읍 장기로 1512-2,15,2025-08-14
외돌목장,한우,경상북도 포항시 남구 장기면 창지리 556번지 1호  ,경상북도 포항시 남구 장기면 장기로781번길 33-7,28,2025-08-14
서촌목장,한우,경상북도 포항시 남구 장기면 서촌리 293번지 2호  ,경상북도 포항시 남구 장기면 장기로 465,30,2025-08-14
동진목장,젖소,경상북도 포항시 남구 호미곶면 강사리 179번지  ,경상북도 포항시 남구 호미곶면 일출로 561,65,2025-08-14
황복도목장,한우,"경상북도 포항시 남구 호미곶면 강사리 705번지 ,705-1 ","경상북도 포항시 남구 호미곶면 호미로1111번길 28 (,705-1)",45,2025-08-14
한나농장,한우,경상북도 포항시 남구 호미곶면 강사리 799번지  ,경상북도 포항시 남구 호미곶면 호미로1133번길 40,15,2025-08-14
