년도,등록번호,일련번호,가축구분,지역구분,당해계약농가수,전년계약농가수,전전년계약농가수
"2025","6542024001","1","닭","충남","1","0","0"
"2025","6542024001","2","닭","전북","9","0","0"
"2025","6542024001","3","닭","전남","18","0","0"
"2025","6542024001","4","닭","경남","1","0","0"
"2025","6482020002","1","돼지","경남","36","41","39"
"2025","6482020002","2","돼지","경북","8","12","9"
"2025","6482020002","3","돼지","울산","1","1","1"
"2025","6482020002","4","돼지","전북","1","0","0"
"2025","6482020002","5","돼지","전남","0","0","1"
"2025","6482020001","1","돼지","경남","119","116","114"
"2025","6482020001","2","돼지","울산","2","2","2"
"2025","6472020001","1","닭","세종","4","4","1"
"2025","6472020001","2","닭","경기","4","8","7"
"2025","6472020001","3","닭","충북","28","27","28"
"2025","6472020001","4","닭","충남","40","33","32"
"2025","6472020001","5","닭","전북","12","10","12"
"2025","6472020001","6","닭","경북","130","137","135"
"2025","6472020001","7","닭","경남","18","19","21"
"2025","6462020002","1","오리","충북","0","3","3"
"2025","6462020002","2","오리","충남","3","3","3"
"2025","6462020002","3","오리","전북","3","18","19"
"2025","6462020002","4","오리","전남","15","87","90"
"2025","6462020002","5","오리","경북","82","1","1"
"2025","6462020002","6","오리","경남","1","16","22"
"2025","6462020002","7","오리","경기","17","1","0"
"2025","6452023002","1","닭","전북","4","4","0"
"2025","6452022002","1","오리","전북","0","0","1"
"2025","6452022002","2","오리","전남","7","8","8"
"2025","6452022001","1","닭","충남","2","6","6"
"2025","6452022001","2","닭","전북","20","20","11"
"2025","6452022001","3","닭","전남","19","31","35"
"2025","6452020015","1","돼지","충남","4","4","3"
"2025","6452020015","2","돼지","전북","17","21","19"
"2025","6452020015","3","돼지","전남","7","9","9"
"2025","6452020014","1","오리","충남","2","2","1"
"2025","6452020014","2","오리","전남","85","81","76"
"2025","6452020014","3","오리","전북","24","34","35"
"2025","6452020014","4","오리","경남","2","1","1"
"2025","6452020013","1","닭","충남","22","26","25"
"2025","6452020013","2","닭","전북","80","83","91"
"2025","6452020013","3","닭","강원","63","60","54"
"2025","6452020013","4","닭","경남","26","18","9"
"2025","6452020013","5","닭","경북","1","1","0"
"2025","6452020013","6","닭","경기","3","2","5"
"2025","6452020013","7","닭","충북","15","5","2"
"2025","6452020013","8","돼지","인천","0","0","2"
"2025","6452020013","9","돼지","전남","0","2","1"
"2025","6452020008","1","닭","충남","5","3","3"
"2025","6452020008","2","닭","전북","14","12","12"
"2025","6452020008","3","닭","전남","2","1","1"
"2025","6452020006","1","닭","경남","5","5","6"
"2025","6452020006","2","닭","경북","5","5","12"
"2025","6452020006","3","닭","전남","196","186","178"
"2025","6452020006","4","닭","전북","326","328","312"
"2025","6452020006","5","닭","충남","35","35","42"
"2025","6452020006","6","닭","충북","1","1","1"
"2025","6452020006","7","닭","경기","1","4","3"
"2025","6452020005","1","닭","전북","15","12","11"
"2025","6452020003","1","닭","세종","1","0","1"
"2025","6452020003","2","닭","경기","0","2","2"
"2025","6452020003","3","닭","충북","2","1","2"
"2025","6452020003","4","닭","충남","20","28","25"
"2025","6452020003","5","닭","전북","114","105","126"
"2025","6452020003","6","닭","전남","69","73","78"
"2025","6452020003","7","닭","경남","5","4","4"
"2025","6452020002","1","돼지","경기","5","9","5"
"2025","6452020002","2","돼지","강원","3","3","3"
"2025","6452020002","3","돼지","충북","2","2","1"
"2025","6452020002","4","돼지","충남","2","3","5"
"2025","6452020002","5","돼지","전북","3","6","8"
"2025","6452020002","6","돼지","전남","4","4","4"
"2025","6452020002","7","돼지","경북","14","12","12"
"2025","6452020002","8","돼지","경남","6","5","4"
"2025","6442023004","1","돼지","충남","1","1","0"
"2025","6442023002","1","닭","충남","0","1","0"
"2025","6442023002","2","닭","경기","1","1","0"
"2025","6442020036","1","돼지","충남","6","4","8"
"2025","6442020036","2","돼지","충북","1","1","2"
"2025","6442020036","3","돼지","전북","2","2","2"
"2025","6442020036","4","돼지","경기","5","4","10"
"2025","6442020034","1","돼지","충남","12","14","8"
"2025","6442020034","2","돼지","세종","0","0","1"
"2025","6442020034","3","돼지","경기","1","0","2"
"2025","6442020027","1","돼지","충남","29","31","28"
"2025","6442020027","2","돼지","전북","2","1","0"
"2025","6442020027","3","돼지","경기","1","1","1"
"2025","6442020019","1","닭","충남","1","1","2"
"2025","6442020019","2","닭","충북","1","2","2"
"2025","6442020014","1","돼지","충남","3","6","5"
"2025","6442020014","2","돼지","경기","1","4","3"
"2025","6442020014","3","돼지","충북","1","1","3"
"2025","6442020014","4","돼지","전남","9","6","5"
"2025","6442020014","5","돼지","전북","2","5","9"
"2025","6442020007","1","닭","충남","1","1","1"
"2025","6442020007","2","닭","경기","1","1","1"
"2025","6442020006","1","닭","충남","4","5","6"
"2025","6442020006","2","닭","충북","1","3","1"
"2025","6442020006","3","닭","경기","0","0","2"
"2025","6442020005","1","돼지","충남","2","0","0"
"2025","6442020004","1","닭","충남","1","0","2"
