농가일련번호,시설등록여부,축종 코드,축종코드,사육 수량,전년도 출하 수량
B0001,N,415130,육계(성축),9,0
B0001,N,417000,개류,3,
B0011,N,412100,한우,3,0
B0011,N,412100,한우,1,0
B0012,N,418600,벌류,150,
B0014,Y,418400,사슴,7,
B0019,N,415130,육계(성축),3,0
B0022,Y,418400,사슴,2,
B0023,Y,414100,산양,6,
B0024,N,417000,개류,1,
B0025,Y,412200,젖소,20,
B0027,Y,412200,젖소,35,58
B0033,Y,417000,개류,8,
B0036,N,412100,한우,2,0
B0038,N,417000,개류,2,
B0040,N,417000,개류,2,
B0051,N,417000,개류,2,
B0052,N,412100,한우,5,0
B0052,N,412100,한우,0,2
B0055,N,417000,개류,2,
B0059,Y,414100,산양,50,
B0060,N,417000,개류,2,
B0062,N,417000,개류,6,
B0063,N,417000,개류,1,
B0064,N,417000,개류,2,
B0064,N,416201,오리(일반),2,0
B0064,N,415130,육계(성축),2,0
B0065,N,417000,개류,1,
B0072,N,417000,개류,1,
B0073,Y,414100,산양,3,
B0077,N,417000,개류,10,
B0078,N,418600,벌류,5,
B0089,Y,414100,산양,30,
B0092,N,418600,벌류,10,
B0099,N,418600,벌류,60,
B0105,N,417000,개류,2,
B0105,N,418100,토끼,3,
B0106,Y,414100,산양,30,
B0106,Y,414100,산양,30,
B0107,Y,418600,벌류,40,
B0108,Y,417000,개류,100,
B0110,Y,414100,산양,50,
B0111,N,415130,육계(성축),5,0
B0113,Y,414100,산양,20,
B0113,Y,417000,개류,100,
B0116,N,417000,개류,2,
B0116,N,418100,토끼,3,
B0119,Y,412200,젖소,8,125
B0119,Y,412200,젖소,8,125
B0119,Y,412200,젖소,8,125
B0119,Y,412200,젖소,11,125
B0127,N,417000,개류,2,
B0130,Y,412200,젖소,46,292
B0131,N,412100,한우,0,2
B0132,N,417000,개류,2,
B0133,N,417000,개류,1,
B0134,N,417000,개류,2,
B0137,N,417000,개류,2,
B0137,N,415130,육계(성축),10,0
B0138,N,417000,개류,1,
B0139,N,417000,개류,1,
B0142,N,417000,개류,1,
B0142,N,415250,산란계성축,5,0
B0146,N,417000,개류,2,
B0151,N,417000,개류,2,
B0152,N,417000,개류,2,
B0154,N,415130,육계(성축),0,30
B0158,Y,412200,젖소,32,146
B0160,N,417000,개류,2,
B0161,N,414100,산양,2,
B0162,N,412100,한우,2,0
B0168,N,417000,개류,4,
B0168,N,418100,토끼,10,
B0172,Y,417000,개류,20,
B0179,Y,414100,산양,103,
B0180,N,418600,벌류,230,
B0187,N,414100,산양,3,
B0190,N,418100,토끼,10,
B0196,N,417000,개류,1,
B0199,N,417000,개류,1,
B0201,N,417000,개류,5,
B0203,N,417000,개류,2,
B0204,N,415130,육계(성축),18,36
B0208,N,418600,벌류,100,
B0210,N,417000,개류,3,
B0212,N,417000,개류,1,
B0215,N,412100,한우,0,0
B0217,N,417000,개류,1,
B0218,N,414100,산양,10,
B0224,Y,418400,사슴,4,
B0226,N,418600,벌류,1,
B0235,N,415130,육계(성축),3,0
B0235,N,417000,개류,2,
B0235,N,418100,토끼,1,
B0239,N,417000,개류,1,
B0239,N,412100,한우,1,0
B0240,Y,412200,젖소,11,2810
B0240,Y,412200,젖소,11,2811
B0245,N,412100,한우,2,2
B0247,N,417000,개류,1,
B0253,Y,417000,개류,10,
B0255,N,417000,개류,20,
B0258,N,418600,벌류,100,
B0260,N,413000,돼지류,30,20
B0265,N,417000,개류,1,
B0266,Y,414100,산양,5,
B0267,N,418600,벌류,120,
B0269,Y,417000,개류,20,
B0272,N,412100,한우,4,2
B0273,Y,426100,지렁이,2209,
B0273,Y,426100,지렁이,2209,
B0273,Y,426100,지렁이,2209,
B0273,Y,426100,지렁이,2209,
B0273,Y,426100,지렁이,2209,
B0276,Y,412100,한우,0,
B0278,N,418600,벌류,120,
B0280,N,417000,개류,5,
B0282,N,414100,산양,4,
B0285,Y,412200,젖소,8,28
B0285,Y,412200,젖소,8,28
B0285,Y,412200,젖소,8,28
B0285,Y,412200,젖소,8,31
B0287,Y,412300,육우,9,21
B0288,Y,417000,개류,100,
B0288,Y,417000,개류,100,
B0289,N,417000,개류,3,
B0291,Y,417000,개류,50,
B0294,N,417000,개류,1,
B0295,N,417000,개류,2,
B0299,N,417000,개류,3,
B0300,N,417000,개류,1,
B0301,N,417000,개류,1,
B0301,N,415250,산란계성축,4,0
B0304,N,417000,개류,3,
B0308,Y,412200,젖소,13,73
B0308,Y,412200,젖소,12,73
B0311,N,418600,벌류,40,
B0316,Y,412200,젖소,40,206
B0316,Y,412200,젖소,39,206
B0319,N,417000,개류,1,
B0319,N,414100,산양,10,
B0320,N,417000,개류,1,
B0320,N,415130,육계(성축),30,0
B0321,N,417000,개류,3,
B0327,Y,414100,산양,4,
B0328,Y,414100,산양,45,
B0328,Y,414100,산양,45,
B0330,N,417000,개류,5,
B0332,N,417000,개류,1,
B0332,N,414100,산양,1,
B0336,Y,414100,산양,15,
B0336,Y,418400,사슴,30,
B0339,Y,412200,젖소,36,155
B0339,Y,412200,젖소,37,155
B0345,N,417000,개류,4,
B0354,N,417000,개류,2,
B0360,N,414100,산양,10,
B0362,N,417000,개류,4,
B0362,N,415130,육계(성축),1,0
