축종,농장명,농장 주소,가축분뇨시설 보유여부,데이터기준일자
돼지,대흥종돈장,대구광역시 군위군 군위읍 도군로 2257-35,여,2025-10-29
돼지,범일농장,대구광역시 군위군 군위읍 대북길 62-10,여,2025-10-29
돼지,외량농장,대구광역시 군위군 군위읍 내외량길 44,여,2025-10-29
돼지,대성농장,대구광역시 군위군 효령면 장기길 339,여,2025-10-29
돼지,원산농장,대구광역시 군위군 군위읍 수서사직길 138-55,여,2025-10-29
돼지,한실축산,대구광역시 군위군 효령면 한실길 54,여,2025-10-29
돼지,피그앤팜(본장),대구광역시 군위군 군위읍 무성2길 31-39,여,2025-10-29
돼지,신한양농장,대구광역시 군위군 군위읍 내외량길 288-6,여,2025-10-29
돼지,이화농장,대구광역시 군위군 우보면 수서1길 45-117,여,2025-10-29
돼지,대하농장,대구광역시 군위군 효령면 장군로 1271-53,여,2025-10-29
돼지,안심농장,대구광역시 군위군 효령면 새들길 52,여,2025-10-29
돼지,율림농장,대구광역시 군위군 효령면 치산효령로 2061,여,2025-10-29
돼지,흥진농장,대구광역시 군위군 효령면 장군로 1271-44,여,2025-10-29
돼지,피그앤팜(3농장),대구광역시 군위군 군위읍 외량리 640,여,2025-10-29
돼지,한양축산,대구광역시 군위군 군위읍 서금로 777-93,여,2025-10-29
돼지,영일농장,대구광역시 군위군 의흥면 가지골길 34-34,여,2025-10-29
돼지,경일농장,대구광역시 군위군 군위읍 서금로 745-52,여,2025-10-29
돼지,신일농장,대구광역시 군위군 효령면 불로길 73,여,2025-10-29
돼지,새들농장,대구광역시 군위군 효령면 새들길 32,여,2025-10-29
돼지,부광농장,대구광역시 군위군 효령면 새들길 186,여,2025-10-29
돼지,대신축산,대구광역시 군위군 의흥면 원산금양길 600-87,여,2025-10-29
돼지,이레농장,대구광역시 군위군 군위읍 도군로 2609-20,여,2025-10-29
돼지,원산농장,대구광역시 군위군 의흥면 배태길 236,여,2025-10-29
돼지,오케이축산,대구광역시 군위군 군위읍 내외량길 288-31,여,2025-10-29
돼지,서산농장,대구광역시 군위군 군위읍 사직1길 21-30,여,2025-10-29
돼지,우보종돈,대구광역시 군위군 우보면 선동길 84-25,여,2025-10-29
돼지,대성농장,대구광역시 군위군 군위읍 내외량길 288-13,여,2025-10-29
돼지,봉천농장,대구광역시 군위군 우보면 수서1길 45-29,여,2025-10-29
돼지,이화양돈영농조합법인,대구광역시 군위군 의흥면 배태길 202-27,여,2025-10-29
돼지,부강농장,대구광역시 군위군 부계면 치산효령로 989-27,여,2025-10-29
돼지,농업회사법인 주식회사 명성,대구광역시 군위군 군위읍 수서사직길 38-45,여,2025-10-29
돼지,산너머숲속에,대구광역시 군위군 부계면 치산효령로 989-35,여,2025-10-29
돼지,대한농장,대구광역시 군위군 소보면 내의길 201,여,2025-10-29
돼지,백연농장,대구광역시 군위군 군위읍 도군로 2577-22,여,2025-10-29
돼지,골드농장,대구광역시 군위군 효령면 경북대로 2540-9,여,2025-10-29
돼지,농업회사법인 주식회사 산수골군위,대구광역시 군위군 효령면 불곡길 73-4,여,2025-10-29
돼지,이서팜,대구광역시 군위군 의흥면 동부로 935-138,여,2025-10-29
돼지,해금농장,대구광역시 군위군 소보면 봉내길 367,여,2025-10-29
돼지,선감농장,대구광역시 군위군 의흥면 원산금양길 16-23,여,2025-10-29
돼지,들판에 정원,대구광역시 군위군 의흥면 동부로 1220,여,2025-10-29
돼지,피그앤팜(2농장),대구광역시 군위군 효령면 금매리 408-12,여,2025-10-29
돼지,㈜한돈농업회사법인,대구광역시 군위군 삼국유사면 안용아길 135,여,2025-10-29
돼지,지호누리팜,대구광역시 군위군 의흥면 연계지호길 124,여,2025-10-29
